date,hustle,hustler,inflation,jobless,laid,isPartial
2008-03-04,12,32,50,1,15,False
2008-03-05,10,24,48,0,13,False
2008-03-06,16,46,54,0,11,False
2008-03-07,12,38,46,2,14,False
2008-03-08,16,47,38,0,10,False
2008-03-09,15,37,36,0,13,False
2008-03-10,11,31,53,0,13,False
2008-03-11,12,19,42,1,16,False
2008-03-12,17,26,52,1,18,False
2008-03-13,12,45,45,0,20,False
2008-03-14,15,31,49,0,16,False
2008-03-15,22,42,40,0,16,False
2008-03-16,24,48,46,0,20,False
2008-03-17,14,33,52,1,21,False
2008-03-18,12,31,63,1,23,False
2008-03-19,20,28,62,1,18,False
2008-03-20,17,25,50,4,15,False
2008-03-21,18,30,29,0,20,False
2008-03-22,18,52,33,0,13,False
2008-03-23,17,100,46,0,16,False
2008-03-24,8,38,46,2,14,False
2008-03-25,16,45,45,2,26,False
2008-03-26,20,35,46,0,19,False
2008-03-27,12,38,49,1,16,False
2008-03-28,12,35,50,2,18,False
2008-03-29,16,46,33,0,16,False
2008-03-30,15,66,34,0,13,False
2008-03-31,18,37,47,1,9,False
2008-04-01,19,30,58,0,19,False
2008-04-02,15,34,44,1,17,False
2008-04-03,16,35,51,3,17,False
2008-04-04,18,28,46,1,19,False
2008-04-05,19,31,25,1,18,False
2008-04-06,15,43,41,2,19,False
2008-04-07,15,33,48,0,15,False
2008-04-08,11,29,44,2,18,False
2008-04-09,11,31,53,1,23,False
2008-04-10,17,32,53,1,13,False
2008-04-11,16,31,39,3,20,False
2008-04-12,21,43,32,1,19,False
2008-04-13,11,46,40,0,20,False
2008-04-14,8,31,55,1,22,False
2008-04-15,15,24,57,0,14,False
2008-04-16,9,22,50,0,25,False
2008-04-17,12,24,64,2,16,False
2008-04-18,17,30,47,0,19,False
2008-04-19,17,49,35,1,19,False
2008-04-20,20,48,51,0,15,False
2008-04-21,11,24,49,0,12,False
2008-04-22,13,25,50,1,18,False
2008-04-23,11,27,54,1,27,False
2008-04-24,11,27,48,1,16,False
2008-04-25,13,35,36,1,17,False
2008-04-26,11,47,31,0,30,False
2008-04-27,20,44,32,0,18,False
2008-04-28,17,17,55,3,19,False
2008-04-29,18,23,55,0,15,False
2008-04-30,11,30,62,0,14,False
2008-05-01,8,36,52,3,16,False
2008-05-02,14,34,52,2,12,False
2008-05-03,10,36,38,0,18,False
2008-05-04,34,33,29,0,20,False
2008-05-05,12,26,50,0,14,False
2008-05-06,12,22,39,1,17,False
2008-05-07,14,35,43,0,22,False
2008-05-08,9,24,46,1,17,False
2008-05-09,16,26,41,4,14,False
2008-05-10,14,40,26,1,26,False
2008-05-11,24,46,39,0,17,False
2008-05-12,13,23,43,0,17,False
2008-05-13,10,25,53,0,16,False
2008-05-14,16,20,50,0,16,False
2008-05-15,12,25,45,2,13,False
2008-05-16,11,32,49,1,18,False
2008-05-17,16,32,25,0,12,False
2008-05-18,19,34,36,0,17,False
2008-05-19,12,30,48,1,17,False
2008-05-20,10,33,47,1,12,False
