date,costliness,costly,debtor,default,depression,isPartial
2015-10-28,0,1,1,58,86,False
2015-10-29,0,1,1,57,77,False
2015-10-30,0,1,1,53,67,False
2015-10-31,0,0,0,34,52,False
2015-11-01,0,1,0,32,67,False
2015-11-02,0,1,1,59,85,False
2015-11-03,0,1,1,61,89,False
2015-11-04,0,1,1,62,85,False
2015-11-05,0,1,1,59,88,False
2015-11-06,0,1,1,55,75,False
2015-11-07,0,1,0,41,61,False
2015-11-08,0,0,0,33,65,False
2015-11-09,0,1,1,58,88,False
2015-11-10,0,1,1,65,85,False
2015-11-11,0,1,1,56,74,False
2015-11-12,0,1,2,58,80,False
2015-11-13,0,1,1,55,71,False
2015-11-14,0,1,0,36,54,False
2015-11-15,0,1,0,36,67,False
2015-11-16,0,1,1,53,78,False
2015-11-17,0,1,1,57,78,False
2015-11-18,0,1,1,57,81,False
2015-11-19,0,1,1,56,79,False
2015-11-20,0,1,1,55,70,False
2015-11-21,0,1,0,36,55,False
2015-11-22,0,1,0,38,58,False
2015-11-23,0,1,1,58,70,False
2015-11-24,0,1,1,61,70,False
2015-11-25,0,1,1,52,52,False
2015-11-26,0,1,1,35,40,False
2015-11-27,0,1,0,38,43,False
2015-11-28,0,1,0,37,55,False
2015-11-29,0,1,0,36,69,False
2015-11-30,0,1,1,50,82,False
2015-12-01,0,1,1,58,86,False
2015-12-02,0,1,1,65,84,False
2015-12-03,0,1,1,62,87,False
2015-12-04,0,1,1,58,77,False
2015-12-05,0,1,1,40,54,False
2015-12-06,0,0,0,38,68,False
2015-12-07,0,1,1,50,92,False
2015-12-08,0,1,1,64,90,False
2015-12-09,0,0,1,60,84,False
2015-12-10,0,1,1,59,91,False
2015-12-11,0,1,1,60,78,False
2015-12-12,0,1,0,40,56,False
2015-12-13,0,1,0,33,66,False
2015-12-14,0,1,1,55,79,False
2015-12-15,0,1,1,63,89,False
2015-12-16,0,1,1,58,73,False
2015-12-17,0,1,2,55,70,False
2015-12-18,0,1,1,54,67,False
2015-12-19,0,0,1,38,51,False
2015-12-20,0,1,0,36,57,False
2015-12-21,0,1,1,60,61,False
2015-12-22,0,0,0,54,55,False
2015-12-23,0,0,1,50,55,False
2015-12-24,0,0,1,44,46,False
2015-12-25,0,0,0,40,42,False
2015-12-26,0,1,0,41,51,False
2015-12-27,0,1,0,39,53,False
2015-12-28,0,0,1,54,59,False
2015-12-29,0,0,1,52,55,False
2015-12-30,0,0,0,54,57,False
2015-12-31,0,1,1,50,50,False
2016-01-01,0,0,1,32,45,False
2016-01-02,0,0,1,31,52,False
2016-01-03,0,1,0,33,57,False
2016-01-04,0,1,0,53,69,False
2016-01-05,0,1,1,53,70,False
2016-01-06,0,1,0,56,71,False
2016-01-07,0,1,1,52,76,False
2016-01-08,0,1,1,51,71,False
2016-01-09,0,0,1,34,56,False
2016-01-10,0,0,0,32,60,False
2016-01-11,0,1,1,50,74,False
2016-01-12,0,1,1,50,72,False
2016-01-13,0,1,1,53,73,False
2016-01-14,0,1,1,48,69,False
2016-01-15,0,0,1,50,70,False
2016-01-16,0,0,0,33,57,False
2016-01-17,0,1,0,32,55,False
2016-01-18,0,1,1,47,66,False
2016-01-19,0,1,1,53,78,False
2016-01-20,0,1,1,55,73,False
2016-01-21,0,1,1,56,76,False
2016-01-22,0,1,0,51,68,False
2016-01-23,0,0,0,34,57,False
2016-01-24,0,1,0,34,62,False
2016-01-25,0,1,1,54,81,False
2016-01-26,0,1,0,56,85,False
2016-01-27,0,0,1,58,85,False
2016-01-28,0,1,1,55,89,False
2016-01-29,0,1,1,51,74,False
2016-01-30,0,1,0,34,56,False
2016-01-31,0,1,1,33,63,False
2016-02-01,0,1,1,50,81,False
2016-02-02,0,1,1,56,84,False
2016-02-03,0,1,1,55,81,False
2016-02-04,0,1,1,54,88,False
2016-02-05,0,1,1,48,78,False
2016-02-06,0,0,0,34,59,False
2016-02-07,0,1,0,32,62,False
2016-02-08,0,1,1,48,80,False
2016-02-09,0,1,1,54,82,False
2016-02-10,0,1,1,50,80,False
2016-02-11,0,1,1,54,85,False
2016-02-12,0,1,1,50,71,False
2016-02-13,0,1,0,33,54,False
2016-02-14,0,1,0,30,51,False
2016-02-15,0,1,0,43,67,False
2016-02-16,0,1,0,48,81,False
2016-02-17,0,1,1,60,87,False
2016-02-18,0,1,1,53,84,False
2016-02-19,0,1,1,51,78,False
2016-02-20,0,1,0,33,60,False
2016-02-21,0,1,1,35,71,False
2016-02-22,0,1,1,52,88,False
2016-02-23,0,1,1,55,100,False
2016-02-24,0,1,1,56,84,False
2016-02-25,0,0,1,51,87,False
2016-02-26,0,1,1,47,84,False
2016-02-27,0,0,0,34,57,False
2016-02-28,0,1,1,34,68,False
2016-02-29,0,1,1,45,81,False
2016-03-01,0,1,1,52,88,False
2016-03-02,0,1,1,51,85,False
2016-03-03,0,1,1,54,89,False
2016-03-04,0,1,0,49,78,False
2016-03-05,0,1,1,34,54,False
2016-03-06,0,1,1,33,69,False
2016-03-07,0,1,1,49,89,False
2016-03-08,0,1,1,55,90,False
2016-03-09,0,1,0,52,85,False
2016-03-10,0,1,0,52,93,False
2016-03-11,0,1,1,51,80,False
2016-03-12,0,0,0,36,55,False
2016-03-13,0,1,0,31,67,False
2016-03-14,0,1,1,52,83,False
2016-03-15,0,1,0,50,85,False
2016-03-16,0,1,1,54,83,False
2016-03-17,0,1,0,53,78,False
2016-03-18,0,1,1,48,73,False
2016-03-19,0,0,1,32,53,False
2016-03-20,0,0,0,34,64,False
2016-03-21,0,2,1,54,81,False
2016-03-22,0,1,1,53,86,False
2016-03-23,0,1,2,50,86,False
2016-03-24,0,1,1,54,74,False
2016-03-25,0,1,1,44,60,False
2016-03-26,0,1,0,33,57,False
2016-03-27,0,0,1,31,55,False
2016-03-28,0,1,1,53,81,False
2016-03-29,0,1,1,55,86,False
2016-03-30,0,2,1,55,81,False
2016-03-31,0,1,0,54,83,False
2016-04-01,0,1,1,46,72,False
2016-04-02,0,0,0,31,59,False
2016-04-03,0,0,1,34,74,False
2016-04-04,0,1,1,54,91,False
2016-04-05,0,1,1,50,95,False
2016-04-06,0,1,1,54,93,False
2016-04-07,0,1,1,51,93,False
2016-04-08,0,1,1,48,78,False
2016-04-09,0,0,0,31,69,False
2016-04-10,0,1,1,30,78,False
2016-04-11,0,1,1,53,92,False
2016-04-12,0,1,1,56,92,False
2016-04-13,0,1,1,51,93,False
2016-04-14,0,1,1,51,88,False
2016-04-15,0,1,1,51,77,False
2016-04-16,0,1,0,33,65,False
2016-04-17,0,1,1,35,69,False
2016-04-18,0,1,1,52,89,False
2016-04-19,0,1,1,50,84,False
2016-04-20,0,1,1,54,91,False
2016-04-21,0,1,1,51,86,False
2016-04-22,0,1,0,48,74,False
2016-04-23,0,0,0,32,57,False
2016-04-24,0,0,0,34,71,False
2016-04-25,0,1,1,51,86,False
2016-04-26,0,1,1,51,82,False
2016-04-27,0,1,1,51,82,False
2016-04-28,0,1,1,52,82,False
2016-04-29,0,0,1,47,71,False
2016-04-30,0,1,1,30,55,False
2016-05-01,0,0,0,33,70,False
2016-05-02,0,1,1,54,83,False
2016-05-03,0,1,1,52,79,False
2016-05-04,0,1,0,53,80,False
2016-05-05,0,1,0,52,79,False
2016-05-06,0,1,1,52,70,False
2016-05-07,0,1,1,31,57,False
2016-05-08,0,1,0,32,60,False
2016-05-09,0,1,1,51,81,False
2016-05-10,0,1,1,51,87,False
2016-05-11,0,1,1,52,84,False
2016-05-12,0,0,0,52,78,False
2016-05-13,0,1,0,50,77,False
2016-05-14,0,0,0,30,61,False
2016-05-15,0,1,0,31,67,False
2016-05-16,0,1,1,53,83,False
2016-05-17,0,1,1,51,79,False
2016-05-18,0,1,1,53,78,False
2016-05-19,0,1,1,54,75,False
2016-05-20,0,1,1,51,69,False
2016-05-21,0,0,0,30,58,False
2016-05-22,0,0,1,30,67,False
2016-05-23,0,1,1,49,69,False
2016-05-24,0,1,0,54,72,False
2016-05-25,0,1,1,52,73,False
2016-05-26,0,1,1,50,66,False
2016-05-27,0,1,1,48,62,False
2016-05-28,0,1,1,31,57,False
2016-05-29,0,0,0,31,56,False
2016-05-30,0,1,0,30,63,False
2016-05-31,0,1,1,50,63,False
2016-06-01,0,1,0,52,66,False
2016-06-02,0,1,1,56,63,False
2016-06-03,0,1,1,51,53,False
2016-06-04,0,0,0,29,49,False
2016-06-05,0,1,0,28,67,False
2016-06-06,0,1,1,51,65,False
2016-06-07,0,1,1,52,65,False
2016-06-08,0,1,0,53,62,False
2016-06-09,0,0,1,52,60,False
2016-06-10,0,0,0,50,53,False
2016-06-11,0,0,0,27,48,False
2016-06-12,0,0,0,26,50,False
2016-06-13,0,1,1,49,57,False
2016-06-14,0,1,0,57,60,False
2016-06-15,0,0,1,52,59,False
2016-06-16,0,0,1,51,54,False
2016-06-17,0,0,1,49,49,False
2016-06-18,0,0,0,29,51,False
2016-06-19,0,1,0,27,55,False
2016-06-20,0,0,0,50,60,False
2016-06-21,0,1,1,50,58,False
2016-06-22,0,1,1,58,57,False
2016-06-23,0,1,1,52,54,False
2016-06-24,0,0,0,46,54,False
2016-06-25,0,0,1,33,51,False
2016-06-26,0,0,0,31,49,False
2016-06-27,0,1,1,48,58,False
2016-06-28,0,0,1,55,56,False
2016-06-29,0,0,1,57,53,False
2016-06-30,0,1,0,52,56,False
2016-07-01,0,0,0,44,52,False
2016-07-02,0,0,0,34,43,False
2016-07-03,0,0,0,26,53,False
2016-07-04,0,0,0,30,56,False
2016-07-05,0,0,0,53,55,False
2016-07-06,0,1,1,54,57,False
2016-07-07,0,1,1,48,57,False
2016-07-08,0,0,1,50,47,False
2016-07-09,0,0,0,30,48,False
2016-07-10,0,0,0,27,50,False
2016-07-11,0,1,1,50,55,False
2016-07-12,0,1,1,51,52,False
2016-07-13,0,0,1,51,51,False
2016-07-14,0,0,0,49,58,False
2016-07-15,0,0,1,43,48,False
2016-07-16,0,1,0,29,51,False
2016-07-17,0,0,0,26,55,False
2016-07-18,0,1,1,49,54,False
2016-07-19,0,0,1,54,52,False
2016-07-20,0,0,1,49,51,False
2016-07-21,0,1,0,54,57,False
2016-07-22,0,1,1,47,49,False
2016-07-23,0,0,0,29,44,False
