date,warfare,waste,bankrupt,bankruptcy,beggar,isPartial
2015-10-28,20,48,3,22,1,False
2015-10-29,18,44,3,22,1,False
2015-10-30,21,47,3,20,1,False
2015-10-31,19,29,2,11,1,False
2015-11-01,25,29,2,11,1,False
2015-11-02,17,53,3,24,1,False
2015-11-03,21,50,2,24,1,False
2015-11-04,21,45,4,25,0,False
2015-11-05,23,49,2,22,1,False
2015-11-06,26,45,2,19,1,False
2015-11-07,27,34,2,13,0,False
2015-11-08,26,32,2,13,1,False
2015-11-09,21,52,2,23,1,False
2015-11-10,20,49,3,27,1,False
2015-11-11,20,56,3,20,1,False
2015-11-12,24,52,2,23,1,False
2015-11-13,20,51,2,22,1,False
2015-11-14,23,29,2,12,0,False
2015-11-15,19,29,3,11,1,False
2015-11-16,20,45,3,22,1,False
2015-11-17,22,45,3,24,1,False
2015-11-18,24,48,3,22,1,False
2015-11-19,19,48,3,23,1,False
2015-11-20,22,49,2,21,0,False
2015-11-21,21,27,2,13,1,False
2015-11-22,24,23,2,10,0,False
2015-11-23,19,47,2,21,1,False
2015-11-24,19,47,3,21,1,False
2015-11-25,18,50,2,16,0,False
2015-11-26,19,27,2,8,0,False
2015-11-27,27,53,2,9,0,False
2015-11-28,23,34,2,12,1,False
2015-11-29,24,27,2,11,1,False
2015-11-30,20,49,3,20,1,False
2015-12-01,21,49,3,23,1,False
2015-12-02,20,46,2,22,0,False
2015-12-03,20,44,3,21,0,False
2015-12-04,17,45,3,22,0,False
2015-12-05,20,30,2,13,0,False
2015-12-06,19,22,2,11,1,False
2015-12-07,18,48,1,22,1,False
2015-12-08,23,45,3,24,1,False
2015-12-09,19,49,3,23,1,False
2015-12-10,19,42,2,22,0,False
2015-12-11,20,41,3,20,1,False
2015-12-12,21,28,2,13,1,False
2015-12-13,20,23,1,13,1,False
2015-12-14,20,44,2,20,1,False
2015-12-15,19,44,3,23,1,False
2015-12-16,21,42,3,23,1,False
2015-12-17,19,39,4,22,1,False
2015-12-18,18,38,3,18,1,False
2015-12-19,21,30,3,14,1,False
2015-12-20,23,22,3,13,0,False
2015-12-21,20,44,3,20,0,False
2015-12-22,19,45,3,20,0,False
2015-12-23,18,47,3,18,1,False
2015-12-24,19,49,2,11,1,False
2015-12-25,24,25,3,8,0,False
2015-12-26,20,47,2,10,1,False
2015-12-27,25,27,2,11,1,False
2015-12-28,19,53,3,19,0,False
2015-12-29,18,47,3,21,1,False
2015-12-30,19,51,3,21,0,False
2015-12-31,21,55,2,16,1,False
2016-01-01,22,39,2,10,1,False
2016-01-02,19,41,2,13,1,False
2016-01-03,19,30,2,14,1,False
2016-01-04,17,53,3,28,0,False
2016-01-05,18,49,4,29,0,False
2016-01-06,17,50,3,29,0,False
2016-01-07,19,53,4,24,1,False
2016-01-08,18,55,3,29,1,False
2016-01-09,16,42,3,18,1,False
2016-01-10,19,35,3,14,1,False
2016-01-11,17,48,2,26,0,False
2016-01-12,18,49,3,28,1,False
2016-01-13,19,45,4,25,1,False
2016-01-14,25,43,4,22,1,False
2016-01-15,27,43,3,25,0,False
2016-01-16,30,32,3,18,1,False
2016-01-17,29,31,2,16,1,False
2016-01-18,25,62,3,20,1,False
2016-01-19,24,57,4,26,1,False
2016-01-20,19,49,5,28,0,False
2016-01-21,18,51,4,26,1,False
2016-01-22,20,45,2,24,1,False
2016-01-23,23,30,2,16,1,False
2016-01-24,23,30,3,16,1,False
2016-01-25,18,48,4,26,1,False
2016-01-26,19,50,3,29,1,False
2016-01-27,16,50,3,27,0,False
2016-01-28,18,48,2,27,0,False
2016-01-29,19,48,3,25,1,False
2016-01-30,18,36,3,19,1,False
2016-01-31,19,29,2,16,1,False
2016-02-01,16,53,3,27,1,False
2016-02-02,15,55,3,28,1,False
2016-02-03,18,56,3,26,1,False
2016-02-04,18,66,3,28,1,False
2016-02-05,17,62,4,25,1,False
2016-02-06,18,60,2,16,1,False
2016-02-07,19,69,2,17,1,False
2016-02-08,14,81,4,26,1,False
2016-02-09,15,47,2,27,1,False
2016-02-10,17,47,3,28,1,False
2016-02-11,18,47,4,25,1,False
2016-02-12,18,42,4,24,1,False
2016-02-13,19,29,3,23,0,False
2016-02-14,19,31,6,16,0,False
2016-02-15,18,57,6,23,0,False
2016-02-16,18,51,6,27,0,False
2016-02-17,18,51,5,30,1,False
2016-02-18,18,44,5,29,1,False
2016-02-19,21,49,5,27,1,False
2016-02-20,23,31,4,17,1,False
2016-02-21,20,26,4,16,1,False
2016-02-22,24,51,4,29,1,False
2016-02-23,30,48,4,28,1,False
2016-02-24,31,46,4,31,1,False
2016-02-25,29,46,3,28,0,False
2016-02-26,27,46,5,27,1,False
2016-02-27,35,35,4,16,0,False
2016-02-28,34,32,3,17,0,False
2016-02-29,26,49,4,26,1,False
2016-03-01,25,51,4,28,1,False
2016-03-02,22,49,4,35,1,False
2016-03-03,25,47,5,32,1,False
2016-03-04,23,44,4,27,0,False
2016-03-05,25,30,3,17,0,False
2016-03-06,25,31,3,17,1,False
2016-03-07,22,49,3,27,1,False
2016-03-08,21,45,4,31,1,False
2016-03-09,19,46,4,30,1,False
2016-03-10,20,50,3,28,1,False
2016-03-11,19,42,4,26,1,False
2016-03-12,22,34,3,16,0,False
2016-03-13,23,29,3,17,0,False
2016-03-14,20,53,3,27,1,False
2016-03-15,18,49,3,29,0,False
2016-03-16,18,51,4,26,1,False
2016-03-17,19,49,3,26,1,False
2016-03-18,17,49,3,24,1,False
2016-03-19,22,37,2,14,1,False
2016-03-20,20,29,2,17,0,False
2016-03-21,20,53,3,27,0,False
2016-03-22,18,50,3,29,1,False
2016-03-23,17,48,3,27,1,False
2016-03-24,18,51,3,24,1,False
2016-03-25,21,43,3,20,0,False
2016-03-26,20,36,3,12,0,False
2016-03-27,21,30,3,11,1,False
2016-03-28,18,58,3,26,1,False
2016-03-29,20,54,2,27,0,False
2016-03-30,21,47,5,32,0,False
2016-03-31,19,49,4,26,1,False
2016-04-01,20,52,3,26,0,False
2016-04-02,18,35,2,16,1,False
2016-04-03,19,35,3,18,1,False
2016-04-04,16,53,3,27,0,False
2016-04-05,16,52,5,29,1,False
2016-04-06,15,53,5,30,1,False
2016-04-07,17,51,6,33,0,False
2016-04-08,17,48,4,29,1,False
2016-04-09,20,36,3,17,1,False
2016-04-10,19,32,3,15,1,False
2016-04-11,17,52,3,29,1,False
2016-04-12,18,57,3,31,1,False
2016-04-13,17,54,4,35,1,False
2016-04-14,16,49,4,27,1,False
2016-04-15,16,46,3,28,1,False
2016-04-16,16,41,3,19,0,False
2016-04-17,20,40,2,15,1,False
2016-04-18,14,57,3,27,1,False
2016-04-19,16,57,4,30,0,False
2016-04-20,15,54,3,26,0,False
2016-04-21,16,49,4,26,1,False
2016-04-22,17,52,3,26,1,False
2016-04-23,17,40,3,16,1,False
2016-04-24,21,35,3,16,1,False
2016-04-25,15,54,3,25,1,False
2016-04-26,25,51,3,27,1,False
2016-04-27,42,52,3,26,1,False
2016-04-28,40,46,3,27,0,False
2016-04-29,37,47,3,23,1,False
2016-04-30,42,37,3,15,0,False
2016-05-01,41,35,2,15,0,False
2016-05-02,100,57,4,28,1,False
2016-05-03,94,56,3,32,1,False
2016-05-04,61,50,4,31,1,False
2016-05-05,45,50,3,30,0,False
2016-05-06,41,46,4,23,0,False
2016-05-07,48,38,3,16,0,False
2016-05-08,49,31,4,13,1,False
2016-05-09,44,56,4,27,1,False
2016-05-10,37,54,3,28,1,False
2016-05-11,34,47,3,29,1,False
2016-05-12,32,50,3,29,1,False
2016-05-13,32,47,3,25,1,False
2016-05-14,35,38,2,16,0,False
2016-05-15,34,33,3,14,1,False
2016-05-16,28,56,2,30,0,False
2016-05-17,29,52,3,29,1,False
2016-05-18,28,47,3,29,1,False
2016-05-19,24,46,4,26,1,False
2016-05-20,23,45,3,21,1,False
2016-05-21,24,41,3,16,1,False
2016-05-22,26,30,2,12,1,False
2016-05-23,24,50,4,26,0,False
2016-05-24,23,51,4,28,1,False
2016-05-25,20,53,3,25,1,False
2016-05-26,18,53,3,24,1,False
2016-05-27,19,50,3,23,1,False
2016-05-28,19,39,2,14,0,False
2016-05-29,22,37,2,12,1,False
2016-05-30,21,63,2,12,1,False
2016-05-31,19,71,3,27,1,False
2016-06-01,21,68,4,26,1,False
2016-06-02,18,57,3,26,1,False
2016-06-03,16,53,3,24,1,False
2016-06-04,20,43,3,15,1,False
2016-06-05,20,30,3,15,1,False
2016-06-06,18,55,4,24,0,False
2016-06-07,16,54,3,29,0,False
2016-06-08,18,48,4,25,0,False
2016-06-09,18,46,3,26,0,False
2016-06-10,18,47,6,26,1,False
2016-06-11,18,33,4,17,0,False
2016-06-12,20,29,2,14,1,False
2016-06-13,21,50,4,24,0,False
2016-06-14,29,47,2,26,0,False
2016-06-15,22,46,2,27,0,False
2016-06-16,23,48,2,26,1,False
2016-06-17,22,46,2,22,1,False
2016-06-18,22,35,2,13,1,False
2016-06-19,22,26,2,11,0,False
2016-06-20,17,50,2,26,0,False
2016-06-21,15,49,4,31,0,False
2016-06-22,18,48,3,27,0,False
2016-06-23,18,45,3,26,0,False
2016-06-24,17,44,2,24,1,False
2016-06-25,19,35,2,17,1,False
2016-06-26,20,27,3,18,1,False
2016-06-27,17,51,3,27,0,False
2016-06-28,16,49,3,26,0,False
2016-06-29,16,50,2,28,1,False
2016-06-30,16,50,2,27,0,False
2016-07-01,18,49,3,24,0,False
2016-07-02,18,36,3,13,1,False
2016-07-03,20,35,2,14,1,False
2016-07-04,19,48,2,13,0,False
2016-07-05,17,69,2,24,0,False
2016-07-06,16,59,3,28,1,False
2016-07-07,17,58,2,28,1,False
2016-07-08,16,50,2,24,0,False
2016-07-09,17,36,2,15,1,False
2016-07-10,18,29,2,14,0,False
2016-07-11,14,52,2,27,1,False
2016-07-12,12,46,3,27,0,False
2016-07-13,14,51,2,26,0,False
2016-07-14,15,46,2,24,0,False
2016-07-15,15,46,3,25,1,False
2016-07-16,16,36,2,17,0,False
2016-07-17,17,29,2,14,0,False
2016-07-18,17,48,3,27,1,False
2016-07-19,14,48,2,28,1,False
2016-07-20,15,47,3,28,1,False
2016-07-21,19,48,3,27,0,False
2016-07-22,16,42,4,26,0,False
2016-07-23,18,32,3,17,0,False
