date,poverty,recession,crisis
2004-01-01,41.878592995,0.0,122.253633442
2004-01-02,44.7667718222,0.0,52.6154878105
2004-01-03,33.2140565132,5.42618787951,64.9956025895
2004-01-04,33.2140565132,0.0,75.828203021
2004-01-05,37.5463247541,0.0,108.326004316
2004-01-06,49.0990400631,4.06964090963,61.9005738947
2004-01-07,67.8722024401,0.0,86.6608034526
2004-01-08,64.9840236129,0.0,63.4480882421
2004-01-09,40.4345035813,0.0,68.0906312842
2004-01-10,20.2172517907,5.42618787951,38.6878586842
2004-01-11,59.2076659584,9.49582878914,52.6154878105
2004-01-12,47.6549506494,0.0,54.1630021579
2004-01-13,54.8753977175,8.13928181926,58.8055452
2004-01-14,75.0926495082,0.0,92.8508608421
2004-01-15,60.651755372,0.0,102.135946926
2004-01-16,50.5431294767,0.0,72.7331743263
2004-01-17,57.7635765448,0.0,55.7105165053
2004-01-18,15.8849835498,0.0,44.8779160737
2004-01-19,17.3290729634,0.0,102.135946926
2004-01-20,46.2108612358,2.71309393975,43.3304017263
2004-01-21,46.2108612358,2.71309393975,85.1132891053
2004-01-22,60.651755372,8.13928181926,91.3033464947
2004-01-23,46.2108612358,2.71309393975,66.5431169368
2004-01-24,20.2172517907,9.49582878914,52.6154878105
2004-01-25,38.9904141677,4.06964090963,92.8508608421
2004-01-26,43.3226824086,8.13928181926,72.7331743263
2004-01-27,62.0958447856,8.13928181926,60.3530595474
2004-01-28,41.878592995,8.13928181926,85.1132891053
2004-01-29,43.3226824086,2.71309393975,63.4480882421
2004-01-30,49.0990400631,2.71309393975,86.6608034526
2004-01-31,38.9904141677,4.06964090963,85.1132891053
2004-02-01,50.5431294767,0.0,75.828203021
2004-02-02,59.2076659584,2.71309393975,47.9729447684
2004-02-03,67.8722024401,0.0,69.6381456316
2004-02-04,63.5399341992,2.71309393975,85.1132891053
2004-02-05,46.2108612358,5.42618787951,71.1856599789
2004-02-06,69.3162918537,2.71309393975,54.1630021579
2004-02-07,0.0,0.0,97.4934038842
2004-02-08,59.2076659584,0.0,38.6878586842
2004-02-09,73.6485600946,5.42618787951,85.1132891053
2004-02-10,54.8753977175,2.71309393975,89.7558321474
2004-02-11,64.9840236129,0.0,111.421033011
2004-02-12,86.6453648172,2.71309393975,95.9458895368
2004-02-13,44.7667718222,2.71309393975,44.8779160737
2004-02-14,15.8849835498,5.42618787951,54.1630021579
2004-02-15,63.5399341992,0.0,51.0679734632
2004-02-16,40.4345035813,2.71309393975,72.7331743263
2004-02-17,47.6549506494,2.71309393975,91.3033464947
2004-02-18,109.750795435,2.71309393975,108.326004316
2004-02-19,50.5431294767,0.0,60.3530595474
2004-02-20,63.5399341992,5.42618787951,95.9458895368
2004-02-21,38.9904141677,9.49582878914,68.0906312842
2004-02-22,62.0958447856,4.06964090963,71.1856599789
2004-02-23,57.7635765448,5.42618787951,108.326004316
2004-02-24,72.204470681,8.13928181926,102.135946926
2004-02-25,54.8753977175,5.42618787951,111.421033011
2004-02-26,60.651755372,8.13928181926,68.0906312842
2004-02-27,82.3130965763,5.42618787951,60.3530595474
2004-02-28,40.4345035813,4.06964090963,95.9458895368
2004-02-29,70.7603812673,13.5654696988,60.3530595474
2004-03-01,75.0926495082,4.06964090963,72.7331743263
2004-03-02,82.3130965763,5.42618787951,109.873518663
2004-03-03,30.325877686,9.49582878914,108.326004316
2004-03-04,56.3194871312,0.0,103.683461274
2004-03-05,21.6613412043,0.0,92.8508608421
2004-03-06,46.2108612358,0.0,99.0409182316
2004-03-07,14.4408941362,13.5654696988,15.4751434737
2004-03-08,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0
2004-03-10,76.5367389218,4.06964090963,57.2580308526
2004-03-11,63.5399341992,9.49582878914,114.516061705
2004-03-12,51.9872188903,4.06964090963,64.9956025895
2004-03-13,34.6581459269,4.06964090963,26.3077439053
2004-03-14,63.5399341992,0.0,85.1132891053
2004-03-15,63.5399341992,5.42618787951,89.7558321474
2004-03-16,44.7667718222,8.13928181926,60.3530595474
2004-03-17,80.8690071627,2.71309393975,95.9458895368
2004-03-18,88.0894542308,2.71309393975,58.8055452
2004-03-19,63.5399341992,2.71309393975,92.8508608421
2004-03-20,34.6581459269,0.0,54.1630021579
2004-03-21,53.4313083039,0.0,89.7558321474
2004-03-22,105.418527194,0.0,137.728776916
2004-03-23,0.0,0.0,0.0
2004-03-24,38.9904141677,0.0,131.538719526
2004-03-25,63.5399341992,9.49582878914,125.348662137
2004-03-26,53.4313083039,0.0,82.0182604105
2004-03-27,44.7667718222,4.06964090963,58.8055452
2004-03-28,88.0894542308,0.0,77.3757173684
2004-03-29,92.4217224716,10.852375759,95.9458895368
2004-03-30,56.3194871312,2.71309393975,125.348662137
2004-03-31,33.2140565132,5.42618787951,83.5657747579
2004-04-01,79.4249177491,2.71309393975,102.135946926
2004-04-02,51.9872188903,5.42618787951,88.2083178
2004-04-03,83.7571859899,4.06964090963,41.7828873789
2004-04-04,47.6549506494,0.0,92.8508608421
2004-04-05,53.4313083039,13.5654696988,75.828203021
2004-04-06,95.3099012989,5.42618787951,99.0409182316
2004-04-07,66.4281130265,5.42618787951,114.516061705
2004-04-08,63.5399341992,2.71309393975,103.683461274
2004-04-09,82.3130965763,6.78273484938,57.2580308526
2004-04-10,36.1022353405,0.0,108.326004316
2004-04-11,0.0,0.0,86.6608034526
2004-04-12,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0
2004-04-14,69.3162918537,5.42618787951,97.4934038842
2004-04-15,88.0894542308,2.71309393975,82.0182604105
2004-04-16,36.1022353405,5.42618787951,154.751434737
2004-04-17,30.325877686,5.42618787951,55.7105165053
2004-04-18,73.6485600946,4.06964090963,72.7331743263
2004-04-19,63.5399341992,5.42618787951,116.063576053
2004-04-20,77.9808283354,14.9220166686,120.706119095
2004-04-21,73.6485600946,5.42618787951,119.158604747
2004-04-22,54.8753977175,0.0,71.1856599789
2004-04-23,56.3194871312,0.0,112.968547358
2004-04-24,20.2172517907,4.06964090963,95.9458895368
2004-04-25,85.2012754035,0.0,86.6608034526
2004-04-26,102.530348367,2.71309393975,140.823805611
2004-04-27,67.8722024401,0.0,95.9458895368
2004-04-28,70.7603812673,8.13928181926,58.8055452
2004-04-29,76.5367389218,8.13928181926,108.326004316
2004-04-30,72.204470681,2.71309393975,47.9729447684
2004-05-01,38.9904141677,0.0,99.0409182316
2004-05-02,51.9872188903,0.0,85.1132891053
2004-05-03,57.7635765448,5.42618787951,134.633748221
2004-05-04,86.6453648172,0.0,116.063576053
2004-05-05,90.977633058,2.71309393975,97.4934038842
2004-05-06,64.9840236129,0.0,117.6110904
2004-05-07,46.2108612358,8.13928181926,116.063576053
2004-05-08,46.2108612358,0.0,61.9005738947
2004-05-09,67.8722024401,5.42618787951,105.230975621
2004-05-10,72.204470681,8.13928181926,140.823805611
2004-05-11,60.651755372,2.71309393975,111.421033011
2004-05-12,63.5399341992,0.0,100.588432579
2004-05-13,66.4281130265,2.71309393975,114.516061705
2004-05-14,66.4281130265,8.13928181926,100.588432579
2004-05-15,25.9936094451,0.0,64.9956025895
2004-05-16,34.6581459269,4.06964090963,75.828203021
2004-05-17,85.2012754035,2.71309393975,119.158604747
2004-05-18,56.3194871312,5.42618787951,103.683461274
2004-05-19,46.2108612358,12.2089227289,85.1132891053
2004-05-20,70.7603812673,8.13928181926,100.588432579
2004-05-21,38.9904141677,2.71309393975,97.4934038842
2004-05-22,34.6581459269,0.0,64.9956025895
2004-05-23,60.651755372,4.06964090963,102.135946926
2004-05-24,30.325877686,0.0,85.1132891053
2004-05-25,77.9808283354,8.13928181926,103.683461274
2004-05-26,38.9904141677,5.42618787951,100.588432579
2004-05-27,25.9936094451,5.42618787951,109.873518663
2004-05-28,59.2076659584,0.0,61.9005738947
2004-05-29,21.6613412043,5.42618787951,75.828203021
2004-05-30,34.6581459269,0.0,61.9005738947
2004-05-31,36.1022353405,12.2089227289,63.4480882421
2004-06-01,41.878592995,2.71309393975,91.3033464947
2004-06-02,33.2140565132,2.71309393975,112.968547358
2004-06-03,57.7635765448,2.71309393975,80.4707460632
2004-06-04,56.3194871312,0.0,97.4934038842
2004-06-05,34.6581459269,0.0,64.9956025895
2004-06-06,40.4345035813,4.06964090963,58.8055452
2004-06-07,41.878592995,2.71309393975,75.828203021
2004-06-08,56.3194871312,10.852375759,89.7558321474
