date,inexpensive,inherit,invaluable,legal,lucrative,isPartial
2007-06-24,8,0,0,62,0,False
2007-06-25,8,1,0,78,0,False
2007-06-26,8,1,0,72,1,False
2007-06-27,10,1,0,83,0,False
2007-06-28,9,2,1,81,0,False
2007-06-29,8,0,0,79,0,False
2007-06-30,12,2,0,61,2,False
2007-07-01,8,2,0,53,0,False
2007-07-02,12,1,0,74,1,False
2007-07-03,9,2,0,77,0,False
2007-07-04,7,2,0,77,0,False
2007-07-05,9,1,0,76,1,False
2007-07-06,9,1,0,71,0,False
2007-07-07,10,1,0,56,1,False
2007-07-08,9,1,0,59,0,False
2007-07-09,9,0,0,77,1,False
2007-07-10,8,1,0,79,0,False
2007-07-11,8,1,0,70,0,False
2007-07-12,6,2,0,77,0,False
2007-07-13,9,0,0,69,0,False
2007-07-14,8,0,0,65,1,False
2007-07-15,10,0,0,60,1,False
2007-07-16,11,1,0,75,0,False
2007-07-17,9,1,0,81,0,False
2007-07-18,7,1,0,74,0,False
2007-07-19,10,0,0,80,1,False
2007-07-20,9,1,0,74,0,False
2007-07-21,7,1,0,58,0,False
2007-07-22,8,1,0,60,0,False
2007-07-23,9,1,0,84,0,False
2007-07-24,9,1,0,79,0,False
2007-07-25,9,1,0,74,0,False
2007-07-26,8,1,0,78,0,False
2007-07-27,8,0,0,77,0,False
2007-07-28,9,1,0,63,0,False
2007-07-29,12,0,0,59,0,False
2007-07-30,9,1,1,75,1,False
2007-07-31,8,1,0,77,0,False
2007-08-01,7,1,0,80,0,False
2007-08-02,7,0,0,80,0,False
2007-08-03,8,1,0,64,0,False
2007-08-04,7,0,0,69,1,False
2007-08-05,7,1,0,58,0,False
2007-08-06,8,1,0,87,0,False
2007-08-07,9,2,1,74,0,False
2007-08-08,9,1,0,74,0,False
2007-08-09,11,1,0,74,0,False
2007-08-10,8,1,0,78,0,False
2007-08-11,9,1,0,54,0,False
2007-08-12,9,0,0,56,0,False
2007-08-13,7,2,0,80,0,False
2007-08-14,6,2,0,82,0,False
2007-08-15,10,0,0,81,1,False
2007-08-16,9,2,0,81,0,False
2007-08-17,8,1,0,69,0,False
2007-08-18,9,0,0,63,0,False
2007-08-19,8,2,0,69,1,False
2007-08-20,8,1,0,77,0,False
2007-08-21,7,0,1,80,1,False
2007-08-22,10,2,0,79,0,False
2007-08-23,10,1,0,83,0,False
2007-08-24,5,2,0,74,0,False
2007-08-25,8,1,0,49,0,False
2007-08-26,9,1,0,63,1,False
2007-08-27,8,1,0,84,0,False
2007-08-28,7,1,0,84,0,False
2007-08-29,5,2,0,83,0,False
2007-08-30,8,1,0,68,0,False
2007-08-31,7,1,0,72,1,False
2007-09-01,9,1,0,50,0,False
2007-09-02,6,0,0,56,0,False
2007-09-03,6,1,0,55,0,False
2007-09-04,10,1,0,81,0,False
2007-09-05,6,1,0,82,0,False
2007-09-06,5,1,0,79,0,False
2007-09-07,7,1,1,77,1,False
2007-09-08,8,1,0,59,0,False
2007-09-09,8,1,0,64,0,False
2007-09-10,8,1,0,78,0,False
2007-09-11,9,1,0,71,0,False
2007-09-12,8,1,0,83,0,False
2007-09-13,6,1,0,79,1,False
2007-09-14,8,0,0,72,1,False
2007-09-15,8,1,0,56,0,False
2007-09-16,11,1,0,52,1,False
2007-09-17,7,1,0,83,0,False
2007-09-18,8,1,1,80,0,False
2007-09-19,5,1,0,95,1,False
2007-09-20,8,1,0,80,0,False
2007-09-21,7,2,0,73,0,False
2007-09-22,7,1,0,54,0,False
2007-09-23,9,1,0,59,1,False
2007-09-24,6,2,0,83,0,False
2007-09-25,7,1,0,96,0,False
2007-09-26,9,1,0,100,0,False
2007-09-27,8,1,0,88,0,False
2007-09-28,6,1,1,84,0,False
2007-09-29,8,1,0,58,0,False
2007-09-30,10,1,0,58,0,False
2007-10-01,7,1,1,80,0,False
2007-10-02,7,1,0,85,0,False
2007-10-03,7,1,0,95,1,False
2007-10-04,8,1,1,78,0,False
