date,backward,backwardness,broke,cheap,colony,isPartial
2004-09-11,0,0,1,84,7,False
2004-09-12,1,0,1,76,5,False
2004-09-13,0,0,1,77,5,False
2004-09-14,0,0,1,72,5,False
2004-09-15,1,0,1,72,5,False
2004-09-16,1,0,1,68,5,False
2004-09-17,0,0,2,70,4,False
2004-09-18,1,0,1,83,5,False
2004-09-19,1,0,0,77,5,False
2004-09-20,1,0,1,71,7,False
2004-09-21,1,0,1,69,6,False
2004-09-22,0,0,2,70,6,False
2004-09-23,0,0,1,68,7,False
2004-09-24,0,0,1,59,5,False
2004-09-25,0,0,0,88,4,False
2004-09-26,1,0,1,90,7,False
2004-09-27,1,0,0,69,6,False
2004-09-28,1,0,2,66,5,False
2004-09-29,0,0,2,63,6,False
2004-09-30,0,0,1,70,7,False
2004-10-01,0,0,1,74,6,False
2004-10-02,0,0,1,86,3,False
2004-10-03,1,0,2,78,7,False
2004-10-04,0,0,1,74,7,False
2004-10-05,1,0,1,70,6,False
2004-10-06,1,0,2,69,6,False
2004-10-07,0,0,1,66,8,False
2004-10-08,0,0,1,68,5,False
2004-10-09,0,0,1,80,3,False
2004-10-10,0,0,1,88,4,False
2004-10-11,0,0,1,78,4,False
2004-10-12,1,0,1,91,3,False
2004-10-13,0,0,0,66,5,False
2004-10-14,0,0,1,69,6,False
2004-10-15,1,0,1,62,5,False
2004-10-16,1,0,1,75,6,False
2004-10-17,2,0,2,75,4,False
2004-10-18,0,0,1,70,6,False
2004-10-19,1,0,1,63,6,False
2004-10-20,1,0,2,71,4,False
2004-10-21,1,0,1,67,6,False
2004-10-22,0,0,1,61,4,False
2004-10-23,1,0,3,80,4,False
2004-10-24,0,0,2,83,4,False
2004-10-25,0,0,1,68,5,False
2004-10-26,1,0,1,72,5,False
2004-10-27,1,0,2,69,5,False
2004-10-28,0,0,1,68,5,False
2004-10-29,1,0,4,69,3,False
2004-10-30,1,0,1,76,2,False
2004-10-31,0,0,2,70,4,False
2004-11-01,0,0,1,58,5,False
2004-11-02,0,0,1,64,4,False
2004-11-03,1,0,2,60,4,False
2004-11-04,0,0,1,69,6,False
2004-11-05,0,0,1,65,5,False
2004-11-06,0,0,1,77,3,False
2004-11-07,1,0,2,81,4,False
2004-11-08,1,0,2,90,4,False
2004-11-09,0,0,0,0,0,True
2004-11-10,0,0,0,63,5,False
2004-11-11,1,0,1,64,7,False
2004-11-12,0,0,1,63,4,False
2004-11-13,1,0,1,74,6,False
2004-11-14,0,0,1,76,4,False
2004-11-15,0,0,1,65,7,False
2004-11-16,1,0,1,68,5,False
2004-11-17,0,0,1,68,5,False
2004-11-18,0,0,1,65,6,False
2004-11-19,1,0,1,76,4,False
2004-11-20,0,0,0,74,5,False
2004-11-21,0,0,1,72,4,False
2004-11-22,1,0,1,69,5,False
2004-11-23,1,0,1,69,6,False
2004-11-24,1,0,1,62,5,False
2004-11-25,0,0,1,68,4,False
2004-11-26,1,0,1,84,4,False
2004-11-27,0,0,2,81,3,False
2004-11-28,0,0,1,83,7,False
2004-11-29,0,0,1,66,5,False
2004-11-30,1,0,1,71,4,False
2004-12-01,0,0,1,69,8,False
2004-12-02,0,0,2,67,7,False
2004-12-03,1,0,2,65,7,False
2004-12-04,0,0,0,86,4,False
2004-12-05,1,0,1,85,4,False
2004-12-06,1,0,1,69,6,False
2004-12-07,0,0,1,74,5,False
2004-12-08,1,0,1,70,5,False
2004-12-09,0,0,0,64,4,False
2004-12-10,1,0,0,61,5,False
2004-12-11,0,0,2,76,6,False
2004-12-12,1,0,0,72,7,False
2004-12-13,1,0,2,65,5,False
2004-12-14,0,0,1,66,7,False
2004-12-15,1,0,1,67,4,False
2004-12-16,1,0,1,64,4,False
2004-12-17,0,0,2,61,5,False
2004-12-18,0,0,1,63,4,False
2004-12-19,0,0,2,75,4,False
2004-12-20,0,0,1,64,4,False
2004-12-21,0,0,1,58,5,False
2004-12-22,0,0,1,57,4,False
2004-12-23,1,0,1,63,3,False
2004-12-24,2,0,2,65,3,False
2004-12-25,0,0,1,69,2,False
2004-12-26,0,0,1,88,5,False
2004-12-27,1,0,1,80,4,False
2004-12-28,0,0,1,79,4,False
2004-12-29,0,0,1,72,4,False
2004-12-30,1,0,1,73,4,False
2004-12-31,1,0,1,83,4,False
2005-01-01,0,0,1,77,3,False
2005-01-02,0,0,1,82,5,False
2005-01-03,0,0,1,72,4,False
2005-01-04,0,0,1,81,4,False
2005-01-05,0,0,1,77,6,False
2005-01-06,0,0,1,79,4,False
2005-01-07,0,0,1,78,5,False
2005-01-08,0,0,0,89,5,False
2005-01-09,1,0,2,86,3,False
2005-01-10,0,0,1,84,4,False
2005-01-11,0,0,1,78,6,False
2005-01-12,0,0,1,81,5,False
2005-01-13,0,0,1,76,4,False
2005-01-14,0,0,1,75,5,False
2005-01-15,0,0,2,100,3,False
2005-01-16,0,0,1,96,4,False
2005-01-17,0,0,1,87,5,False
2005-01-18,0,0,1,77,4,False
2005-01-19,0,0,1,85,5,False
2005-01-20,0,0,2,77,3,False
2005-01-21,0,0,2,71,4,False
2005-01-22,1,0,2,91,5,False
2005-01-23,0,0,2,87,6,False
2005-01-24,1,0,1,79,5,False
2005-01-25,1,0,1,78,3,False
2005-01-26,1,0,2,79,4,False
2005-01-27,1,0,1,75,5,False
2005-01-28,1,0,2,74,5,False
2005-01-29,0,0,2,85,3,False
2005-01-30,0,0,1,80,4,False
2005-01-31,0,0,2,80,4,False
2005-02-01,0,0,1,75,5,False
2005-02-02,0,0,1,76,6,False
2005-02-03,1,0,1,71,3,False
2005-02-04,1,0,2,70,3,False
2005-02-05,0,0,1,86,5,False
2005-02-06,1,0,3,78,5,False
2005-02-07,1,0,1,67,4,False
2005-02-08,1,0,1,80,5,False
2005-02-09,1,0,0,70,5,False
2005-02-10,1,0,1,76,3,False
2005-02-11,1,0,1,69,3,False
2005-02-12,0,0,2,83,4,False
2005-02-13,1,0,2,80,2,False
2005-02-14,1,0,1,64,4,False
2005-02-15,0,0,2,70,5,False
2005-02-16,1,0,2,72,4,False
2005-02-17,1,0,1,72,4,False
2005-02-18,0,0,2,73,4,False
2005-02-19,2,0,2,76,4,False
2005-02-20,0,0,2,79,4,False
2005-02-21,0,0,2,85,4,False
2005-02-22,1,0,1,69,4,False
2005-02-23,1,0,1,69,4,False
2005-02-24,1,0,3,73,5,False
2005-02-25,0,0,2,72,3,False
2005-02-26,0,0,2,82,4,False
2005-02-27,0,0,3,72,5,False
2005-02-28,1,0,2,71,5,False
2005-03-01,0,0,1,79,3,False
2005-03-02,0,0,2,72,5,False
2005-03-03,1,0,1,71,4,False
2005-03-04,0,0,2,71,3,False
2005-03-05,1,0,2,76,6,False
2005-03-06,0,0,1,89,5,False
2005-03-07,1,0,2,77,5,False
2005-03-08,0,0,2,85,4,False
2005-03-09,0,0,2,73,5,False
2005-03-10,0,0,1,75,5,False
2005-03-11,0,0,2,73,4,False
2005-03-12,1,0,2,80,3,False
2005-03-13,0,0,1,83,4,False
2005-03-14,0,0,1,76,4,False
2005-03-15,1,0,1,73,4,False
2005-03-16,1,0,2,72,4,False
2005-03-17,0,0,1,70,4,False
2005-03-18,1,0,2,77,6,False
2005-03-19,1,0,1,82,3,False
2005-03-20,0,0,3,82,4,False
2005-03-21,1,0,1,70,4,False
2005-03-22,1,0,1,74,4,False
2005-03-23,0,0,1,69,5,False
2005-03-24,1,0,2,72,5,False
2005-03-25,0,0,1,74,3,False
2005-03-26,1,0,1,81,3,False
2005-03-27,0,0,3,74,3,False
2005-03-28,1,0,1,78,4,False
2005-03-29,1,0,2,78,4,False
2005-03-30,1,0,2,70,4,False
2005-03-31,1,0,1,73,3,False
2005-04-01,1,0,2,68,4,False
2005-04-02,1,0,2,72,3,False
2005-04-03,0,0,1,77,4,False
2005-04-04,1,0,1,93,4,False
2005-04-05,0,0,0,0,0,True
2005-04-06,1,0,1,61,5,False
2005-04-07,0,0,2,76,5,False
2005-04-08,1,0,1,63,4,False
2005-04-09,0,0,1,77,5,False
2005-04-10,0,0,2,74,3,False
2005-04-11,0,0,1,65,4,False
2005-04-12,0,0,1,72,6,False
2005-04-13,0,0,3,67,5,False
2005-04-14,0,0,1,65,4,False
2005-04-15,0,0,2,56,5,False
2005-04-16,1,0,2,67,4,False
2005-04-17,0,0,1,77,3,False
2005-04-18,1,0,1,70,4,False
2005-04-19,1,0,1,71,5,False
2005-04-20,1,0,1,61,5,False
2005-04-21,0,0,1,68,4,False
2005-04-22,1,0,1,68,4,False
2005-04-23,0,0,2,79,6,False
2005-04-24,0,0,1,74,2,False
2005-04-25,0,0,1,67,4,False
2005-04-26,1,0,1,74,5,False
2005-04-27,0,0,1,68,4,False
2005-04-28,1,0,1,70,5,False
2005-04-29,0,0,1,64,4,False
2005-04-30,0,0,2,74,5,False
2005-05-01,0,0,0,78,4,False
2005-05-02,0,0,1,66,4,False
2005-05-03,1,0,2,72,3,False
2005-05-04,1,0,2,70,5,False
2005-05-05,1,0,1,67,3,False
2005-05-06,1,0,1,62,5,False
2005-05-07,0,0,2,77,6,False
2005-05-08,1,0,2,79,4,False
2005-05-09,0,0,1,68,5,False
2005-05-10,0,0,2,77,3,False
2005-05-11,0,0,1,67,4,False
2005-05-12,1,0,2,66,3,False
2005-05-13,1,0,1,68,6,False
2005-05-14,1,0,2,77,3,False
2005-05-15,1,0,1,76,4,False
2005-05-16,1,0,2,72,4,False
2005-05-17,1,0,2,75,4,False
2005-05-18,1,0,0,75,5,False
2005-05-19,0,0,2,72,4,False
2005-05-20,0,0,1,64,4,False
2005-05-21,0,0,2,85,5,False
2005-05-22,0,0,2,77,3,False
2005-05-23,0,0,1,67,4,False
2005-05-24,0,0,1,78,5,False
2005-05-25,0,0,1,74,4,False
2005-05-26,1,0,1,69,4,False
2005-05-27,1,0,2,69,3,False
2005-05-28,0,0,1,77,4,False
2005-05-29,1,0,2,79,4,False
2005-05-30,0,0,1,78,5,False
2005-05-31,0,0,1,73,4,False
2005-06-01,0,0,1,78,4,False
2005-06-02,1,0,1,76,3,False
2005-06-03,0,0,3,73,4,False
2005-06-04,0,0,2,81,4,False
2005-06-05,0,0,2,87,3,False
2005-06-06,0,0,1,78,4,False
2005-06-07,1,0,1,77,5,False
