date,inexpensive,inherit,invaluable,legal,lucrative,isPartial
2016-07-08,5,1,1,44,0,False
2016-07-09,5,1,0,34,0,False
2016-07-10,5,1,0,36,0,False
2016-07-11,5,1,0,46,0,False
2016-07-12,5,1,1,45,0,False
2016-07-13,5,1,0,43,1,False
2016-07-14,5,1,0,44,0,False
2016-07-15,5,0,1,42,0,False
2016-07-16,4,1,0,35,0,False
2016-07-17,5,1,0,35,0,False
2016-07-18,5,1,1,43,0,False
2016-07-19,5,1,1,44,0,False
2016-07-20,5,1,1,43,0,False
2016-07-21,4,1,1,42,0,False
2016-07-22,5,1,0,39,0,False
2016-07-23,5,1,1,36,0,False
2016-07-24,4,0,0,37,0,False
2016-07-25,5,1,0,46,0,False
2016-07-26,4,1,0,46,0,False
2016-07-27,5,1,0,44,0,False
2016-07-28,4,1,0,44,0,False
2016-07-29,4,1,0,41,0,False
2016-07-30,5,1,0,34,0,False
2016-07-31,5,1,0,37,0,False
2016-08-01,5,1,1,44,0,False
2016-08-02,4,1,1,44,0,False
2016-08-03,5,1,0,42,1,False
2016-08-04,4,1,0,42,1,False
2016-08-05,4,1,1,41,0,False
2016-08-06,5,1,0,33,0,False
2016-08-07,5,1,0,34,0,False
2016-08-08,5,1,1,44,0,False
2016-08-09,5,1,0,45,0,False
2016-08-10,5,1,1,43,1,False
2016-08-11,4,1,1,43,0,False
2016-08-12,4,1,0,39,0,False
2016-08-13,5,1,0,32,0,False
2016-08-14,5,0,0,32,0,False
2016-08-15,4,1,1,43,0,False
2016-08-16,4,1,0,44,0,False
2016-08-17,4,0,1,43,0,False
2016-08-18,4,0,0,40,0,False
2016-08-19,4,1,0,40,0,False
2016-08-20,4,0,0,33,0,False
2016-08-21,5,0,0,34,0,False
2016-08-22,5,1,1,41,0,False
2016-08-23,5,1,0,45,0,False
2016-08-24,4,1,1,45,0,False
2016-08-25,4,1,1,43,0,False
2016-08-26,4,1,0,43,1,False
2016-08-27,4,0,0,34,0,False
2016-08-28,5,0,0,34,0,False
2016-08-29,4,1,1,42,1,False
2016-08-30,5,1,0,43,1,False
2016-08-31,4,1,1,45,1,False
2016-09-01,4,1,1,43,0,False
2016-09-02,4,1,1,39,1,False
2016-09-03,4,0,0,32,0,False
2016-09-04,5,1,0,35,0,False
2016-09-05,5,1,0,36,0,False
2016-09-06,5,1,1,44,0,False
2016-09-07,4,1,1,45,1,False
2016-09-08,4,1,1,45,1,False
2016-09-09,4,1,1,43,1,False
2016-09-10,4,0,0,37,0,False
2016-09-11,4,1,0,33,0,False
2016-09-12,4,1,1,44,1,False
2016-09-13,4,1,1,46,1,False
2016-09-14,5,1,0,43,1,False
2016-09-15,4,1,1,44,0,False
2016-09-16,4,1,1,42,0,False
2016-09-17,5,1,0,34,0,False
2016-09-18,5,1,0,36,1,False
2016-09-19,5,1,0,43,1,False
2016-09-20,4,1,1,45,1,False
2016-09-21,4,1,1,47,1,False
2016-09-22,4,1,1,43,1,False
2016-09-23,4,1,1,41,0,False
2016-09-24,4,1,0,35,0,False
2016-09-25,5,1,1,34,0,False
2016-09-26,4,1,1,43,1,False
2016-09-27,4,1,0,45,1,False
2016-09-28,4,1,1,46,0,False
2016-09-29,4,1,1,44,1,False
2016-09-30,3,1,1,43,1,False
2016-10-01,4,1,0,34,0,False
2016-10-02,5,1,0,32,0,False
2016-10-03,5,1,0,44,0,False
2016-10-04,4,1,1,44,1,False
2016-10-05,4,1,1,44,1,False
2016-10-06,4,1,1,43,0,False
2016-10-07,4,1,0,41,0,False
2016-10-08,4,1,0,34,0,False
2016-10-09,4,1,0,34,0,False
2016-10-10,4,1,0,41,1,False
2016-10-11,4,1,1,44,0,False
2016-10-12,4,1,1,44,1,False
2016-10-13,4,1,0,42,1,False
2016-10-14,4,1,1,41,1,False
2016-10-15,4,0,0,33,0,False
2016-10-16,5,1,0,32,0,False
2016-10-17,4,1,1,45,1,False
2016-10-18,5,1,1,44,1,False
2016-10-19,4,1,1,46,1,False
