date,aristocracy,aristocrat,aristocratic,associate,backer,isPartial
2007-06-24,3,3,0,49,13,False
2007-06-25,3,2,2,88,11,False
2007-06-26,2,5,2,78,8,False
2007-06-27,0,2,0,75,3,False
2007-06-28,0,6,0,80,10,False
2007-06-29,2,5,0,66,2,False
2007-06-30,3,3,0,48,0,False
2007-07-01,0,3,0,53,8,False
2007-07-02,3,5,0,57,10,False
2007-07-03,3,7,0,62,10,False
2007-07-04,0,9,0,53,12,False
2007-07-05,0,9,0,66,7,False
2007-07-06,0,5,0,77,8,False
2007-07-07,2,7,2,62,5,False
2007-07-08,2,0,0,46,10,False
2007-07-09,3,5,2,58,15,False
2007-07-10,2,12,3,84,8,False
2007-07-11,3,2,2,51,2,False
2007-07-12,2,10,2,82,8,False
2007-07-13,0,13,0,62,7,False
2007-07-14,0,2,0,44,12,False
2007-07-15,2,5,0,62,2,False
2007-07-16,0,3,0,54,2,False
2007-07-17,0,12,0,91,9,False
2007-07-18,0,9,2,71,8,False
2007-07-19,3,3,0,80,5,False
2007-07-20,2,3,0,57,17,False
2007-07-21,0,0,0,64,17,False
2007-07-22,0,5,0,35,10,False
2007-07-23,2,3,0,87,9,False
2007-07-24,2,9,0,93,9,False
2007-07-25,0,8,0,75,3,False
2007-07-26,2,6,0,63,8,False
2007-07-27,2,8,0,63,3,False
2007-07-28,0,10,5,46,10,False
2007-07-29,0,0,0,48,2,False
2007-07-30,2,6,2,52,12,False
2007-07-31,2,3,2,67,9,False
2007-08-01,3,5,2,65,2,False
2007-08-02,0,3,0,73,11,False
2007-08-03,0,2,0,62,15,False
2007-08-04,0,5,5,61,5,False
2007-08-05,0,0,0,39,10,False
2007-08-06,3,3,2,81,3,False
2007-08-07,0,4,1,72,13,False
2007-08-08,3,9,2,86,5,False
2007-08-09,0,6,5,96,5,False
2007-08-10,0,2,0,64,5,False
2007-08-11,0,2,5,43,2,False
2007-08-12,2,7,0,38,2,False
2007-08-13,2,6,0,96,3,False
2007-08-14,0,6,1,86,4,False
2007-08-15,2,3,0,84,8,False
2007-08-16,0,12,0,89,5,False
2007-08-17,0,10,0,62,8,False
2007-08-18,0,5,0,40,9,False
2007-08-19,2,9,2,56,12,False
2007-08-20,0,6,0,63,10,False
2007-08-21,1,0,0,52,9,False
2007-08-22,1,3,0,72,9,False
2007-08-23,2,2,0,88,0,False
2007-08-24,2,3,0,66,10,False
2007-08-25,0,7,0,41,5,False
2007-08-26,2,9,0,50,7,False
2007-08-27,3,7,0,76,10,False
2007-08-28,4,6,0,62,7,False
2007-08-29,4,3,0,78,7,False
2007-08-30,2,3,0,73,6,False
2007-08-31,2,8,0,73,11,False
2007-09-01,0,2,0,42,5,False
2007-09-02,0,2,0,54,15,False
2007-09-03,10,2,0,44,10,False
2007-09-04,4,4,0,86,6,False
2007-09-05,3,7,0,72,7,False
2007-09-06,1,0,0,77,9,False
2007-09-07,0,3,0,93,6,False
2007-09-08,6,9,0,36,15,False
2007-09-09,2,6,2,44,8,False
2007-09-10,4,4,1,73,4,False
2007-09-11,1,3,1,64,8,False
2007-09-12,3,4,0,67,10,False
2007-09-13,4,9,1,92,6,False
2007-09-14,2,11,2,83,8,False
2007-09-15,2,4,0,45,13,False
2007-09-16,4,6,2,58,0,False
2007-09-17,1,3,0,69,8,False
2007-09-18,7,4,0,66,8,False
2007-09-19,1,7,0,67,11,False
2007-09-20,4,3,1,59,3,False
2007-09-21,5,8,3,65,6,False
2007-09-22,4,4,0,53,23,False
2007-09-23,2,6,0,34,4,False
2007-09-24,4,4,0,77,4,False
2007-09-25,3,4,0,69,7,False
2007-09-26,4,6,1,81,10,False
2007-09-27,3,7,1,73,6,False
2007-09-28,1,3,0,81,7,False
2007-09-29,4,2,0,46,15,False
2007-09-30,8,8,2,47,11,False
2007-10-01,4,4,0,85,11,False
2007-10-02,1,4,0,79,8,False
2007-10-03,1,3,0,56,10,False
2007-10-04,3,3,1,67,11,False
2007-10-05,0,6,0,66,12,False
2007-10-06,2,7,2,39,11,False
2007-10-07,2,4,2,68,11,False
2007-10-08,1,6,0,64,4,False
2007-10-09,4,4,3,56,7,False
2007-10-10,5,1,0,78,11,False
2007-10-11,6,3,0,69,13,False
2007-10-12,0,10,0,60,6,False
2007-10-13,4,2,0,46,7,False
2007-10-14,0,8,4,60,6,False
2007-10-15,4,3,0,76,10,False
2007-10-16,5,5,1,94,5,False
2007-10-17,1,3,1,74,12,False
2007-10-18,5,5,4,74,4,False
2007-10-19,6,3,1,48,12,False
2007-10-20,4,2,0,32,4,False
2007-10-21,2,8,0,48,8,False
2007-10-22,0,5,1,64,8,False
2007-10-23,4,8,1,87,6,False
2007-10-24,0,3,0,75,9,False
2007-10-25,4,9,7,62,9,False
2007-10-26,3,6,3,69,12,False
2007-10-27,2,2,2,49,6,False
2007-10-28,4,4,0,57,2,False
2007-10-29,0,1,0,92,5,False
2007-10-30,0,3,1,72,12,False
2007-10-31,0,4,0,82,10,False
2007-11-01,3,0,0,74,7,False
2007-11-02,6,3,1,73,7,False
2007-11-03,2,4,0,48,21,False
2007-11-04,0,2,2,55,10,False
2007-11-05,1,4,3,63,8,False
2007-11-06,4,3,1,54,7,False
2007-11-07,4,5,0,84,12,False
2007-11-08,1,5,0,73,7,False
2007-11-09,1,3,0,54,7,False
2007-11-10,4,4,2,45,10,False
2007-11-11,2,0,0,54,2,False
2007-11-12,3,8,1,65,5,False
2007-11-13,1,9,0,75,5,False
2007-11-14,4,4,1,69,14,False
2007-11-15,3,4,4,84,7,False
2007-11-16,0,8,0,56,1,False
2007-11-17,0,2,0,50,20,False
2007-11-18,0,8,0,34,12,False
2007-11-19,4,4,0,49,7,False
2007-11-20,7,9,0,60,8,False
2007-11-21,0,0,0,72,6,False
2007-11-22,0,2,0,25,2,False
2007-11-23,6,8,2,27,2,False
2007-11-24,2,0,0,43,2,False
2007-11-25,2,2,0,50,8,False
2007-11-26,4,8,1,66,8,False
2007-11-27,5,5,0,60,2,False
2007-11-28,1,5,1,63,6,False
2007-11-29,4,8,0,71,5,False
2007-11-30,7,8,0,52,3,False
2007-12-01,2,2,4,35,7,False
2007-12-02,0,2,2,63,2,False
2007-12-03,1,2,4,73,11,False
2007-12-04,5,10,4,64,10,False
2007-12-05,4,4,3,78,5,False
2007-12-06,5,3,3,60,10,False
2007-12-07,7,5,3,74,4,False
2007-12-08,2,9,4,53,11,False
2007-12-09,2,9,2,42,9,False
2007-12-10,1,8,1,64,1,False
2007-12-11,1,5,0,60,5,False
2007-12-12,1,4,1,55,3,False
2007-12-13,4,1,1,45,4,False
2007-12-14,0,7,3,77,8,False
2007-12-15,2,4,0,34,15,False
2007-12-16,4,0,2,54,8,False
2007-12-17,0,9,3,68,3,False
2007-12-18,5,3,1,65,8,False
2007-12-19,3,7,1,79,4,False
2007-12-20,0,7,0,66,13,False
2007-12-21,2,6,0,59,5,False
2007-12-22,2,9,0,52,9,False
2007-12-23,2,0,0,32,5,False
2007-12-24,0,10,0,40,2,False
2007-12-25,0,0,0,30,5,False
2007-12-26,0,5,0,67,5,False
2007-12-27,0,2,2,44,8,False
2007-12-28,2,3,0,63,2,False
2007-12-29,0,6,0,45,8,False
2007-12-30,2,2,4,40,11,False
2007-12-31,2,8,0,50,13,False
2008-01-01,2,2,0,38,7,False
2008-01-02,6,3,1,73,7,False
2008-01-03,1,3,1,74,4,False
2008-01-04,1,4,0,62,5,False
2008-01-05,0,6,0,52,11,False
2008-01-06,4,6,2,64,4,False
2008-01-07,1,4,0,78,4,False
2008-01-08,1,4,0,70,6,False
2008-01-09,0,9,1,98,5,False
2008-01-10,5,5,0,91,3,False
2008-01-11,1,5,0,76,7,False
2008-01-12,4,4,0,52,7,False
2008-01-13,0,6,0,56,4,False
2008-01-14,4,2,0,80,2,False
2008-01-15,2,4,0,88,6,False
2008-01-16,0,4,0,68,3,False
2008-01-17,1,4,1,72,6,False
2008-01-18,3,7,1,75,5,False
2008-01-19,2,7,0,68,9,False
2008-01-20,2,4,0,58,15,False
2008-01-21,3,7,0,61,15,False
2008-01-22,0,6,1,78,7,False
2008-01-23,1,5,2,90,5,False
2008-01-24,4,7,1,70,6,False
2008-01-25,1,5,0,80,9,False
2008-01-26,0,0,0,56,10,False
2008-01-27,0,0,2,44,5,False
2008-01-28,2,5,1,75,6,False
2008-01-29,0,2,1,77,0,False
