date,hustle,hustler,inflation,jobless,laid,isPartial
2006-10-13,16,48,42,0,24,False
2006-10-14,17,77,43,0,26,False
2006-10-15,14,55,34,0,18,False
2006-10-16,10,41,36,0,26,False
2006-10-17,11,28,42,1,20,False
2006-10-18,16,43,46,0,14,False
2006-10-19,15,30,48,0,27,False
2006-10-20,13,35,41,0,27,False
2006-10-21,16,47,33,0,33,False
2006-10-22,32,43,32,0,25,False
2006-10-23,11,30,50,0,16,False
2006-10-24,18,27,44,0,16,False
2006-10-25,23,33,33,0,17,False
2006-10-26,17,32,50,1,19,False
2006-10-27,19,45,31,2,12,False
2006-10-28,22,45,34,0,9,False
2006-10-29,16,48,23,2,30,False
2006-10-30,9,32,41,0,25,False
2006-10-31,3,39,44,3,19,False
2006-11-01,23,56,53,0,14,False
2006-11-02,16,36,40,1,21,False
2006-11-03,15,41,55,3,15,False
2006-11-04,7,48,42,0,15,False
2006-11-05,7,51,24,0,20,False
2006-11-06,14,37,44,1,20,False
2006-11-07,11,35,50,0,14,False
2006-11-08,12,40,38,0,19,False
2006-11-09,19,41,52,0,10,False
2006-11-10,11,60,36,0,17,False
2006-11-11,20,55,37,2,20,False
2006-11-12,26,69,35,0,28,False
2006-11-13,17,34,43,0,18,False
2006-11-14,9,27,54,1,14,False
2006-11-15,14,40,58,0,14,False
2006-11-16,17,52,45,3,19,False
2006-11-17,18,47,44,0,22,False
2006-11-18,9,62,33,0,18,False
2006-11-19,11,41,35,2,35,False
2006-11-20,14,25,58,0,18,False
2006-11-21,6,35,47,1,16,False
2006-11-22,20,34,38,2,28,False
2006-11-23,26,59,33,0,7,False
2006-11-24,15,52,22,0,15,False
2006-11-25,32,73,25,0,25,False
2006-11-26,13,64,39,0,21,False
2006-11-27,19,35,48,0,19,False
2006-11-28,16,38,42,0,20,False
2006-11-29,13,33,57,0,16,False
2006-11-30,9,38,34,5,19,False
2006-12-01,20,41,52,0,13,False
2006-12-02,16,50,40,0,12,False
2006-12-03,18,68,53,0,14,False
2006-12-04,13,21,47,0,20,False
2006-12-05,23,28,43,1,16,False
2006-12-06,19,48,49,0,15,False
2006-12-07,9,45,59,3,16,False
2006-12-08,13,38,47,0,23,False
2006-12-09,16,53,36,0,14,False
2006-12-10,17,37,44,0,21,False
2006-12-11,12,29,49,0,24,False
2006-12-12,12,37,55,3,20,False
2006-12-13,8,51,50,0,32,False
2006-12-14,18,38,43,1,18,False
2006-12-15,10,49,39,0,22,False
2006-12-16,19,41,24,0,19,False
2006-12-17,11,43,31,0,18,False
2006-12-18,13,45,22,0,9,False
2006-12-19,11,38,57,0,19,False
2006-12-20,19,37,31,0,9,False
2006-12-21,14,29,46,2,20,False
2006-12-22,12,53,38,2,19,False
2006-12-23,12,64,21,0,12,False
2006-12-24,11,45,26,3,29,False
2006-12-25,6,56,32,0,26,False
2006-12-26,14,45,20,0,14,False
2006-12-27,15,46,30,0,7,False
2006-12-28,15,44,31,0,19,False
2006-12-29,9,53,19,0,20,False
2006-12-30,28,62,21,0,26,False
2006-12-31,9,63,20,0,22,False
2007-01-01,21,62,21,0,24,False
2007-01-02,13,32,30,1,20,False
2007-01-03,8,41,35,0,34,False
2007-01-04,11,52,37,0,21,False
2007-01-05,26,40,29,1,17,False
2007-01-06,12,44,38,0,14,False
2007-01-07,22,41,22,0,30,False
2007-01-08,12,44,39,0,25,False
2007-01-09,14,41,41,0,22,False
2007-01-10,9,46,41,0,19,False
2007-01-11,17,44,54,3,15,False
2007-01-12,18,42,36,0,15,False
2007-01-13,18,67,47,0,16,False
2007-01-14,16,53,30,0,32,False
2007-01-15,13,72,29,0,16,False
2007-01-16,17,31,48,0,22,False
2007-01-17,13,38,43,0,12,False
2007-01-18,20,42,47,0,13,False
2007-01-19,29,50,40,1,16,False
2007-01-20,13,46,27,0,17,False
2007-01-21,17,66,29,2,27,False
2007-01-22,13,49,32,0,15,False
2007-01-23,14,45,52,0,29,False
2007-01-24,14,34,37,0,23,False
