date,backward,backwardness,broke,cheap,colony
2004-03-25,0.0,0,2.08097983702,103.404181754,6.43691877831
2004-03-26,0.0,0,2.08097983702,88.8402124931,8.58255837107
2004-03-27,0.0,0,2.08097983702,106.316975606,8.58255837107
2004-03-28,0.0,0,6.24293951105,103.404181754,4.29127918554
2004-03-29,0.0,0,4.16195967403,96.1221971237,8.58255837107
2004-03-30,0.0,0,0.0,94.6658001975,10.7281979638
2004-03-31,0.0,0,2.08097983702,99.0349909759,6.43691877831
2004-04-01,0.0,0,2.08097983702,88.8402124931,8.58255837107
2004-04-02,0.0,0,4.16195967403,93.2094032714,6.43691877831
2004-04-03,0.0,0,2.08097983702,115.055357163,8.58255837107
2004-04-04,0.0,0,2.08097983702,103.404181754,8.58255837107
2004-04-05,0.0,0,2.08097983702,97.5785940498,6.43691877831
2004-04-06,0.0,0,2.08097983702,97.5785940498,6.43691877831
2004-04-07,0.0,0,2.08097983702,87.383815567,6.43691877831
2004-04-08,0.0,0,2.08097983702,99.0349909759,4.29127918554
2004-04-09,0.0,0,2.08097983702,101.947784828,4.29127918554
2004-04-10,0.0,0,0.0,90.2966094192,10.7281979638
2004-04-11,0.0,0,0.0,128.162929498,6.43691877831
2004-04-12,0.0,0,0.0,0.0,0.0
2004-04-13,0.0,0,0.0,0.0,0.0
2004-04-14,0.0,0,2.08097983702,81.5582278625,4.29127918554
2004-04-15,0.0,0,6.24293951105,97.5785940498,10.7281979638
2004-04-16,0.0,0,2.08097983702,97.5785940498,10.7281979638
2004-04-17,0.0,0,4.16195967403,100.491387902,12.8738375566
2004-04-18,0.0,0,2.08097983702,115.055357163,6.43691877831
2004-04-19,0.0,0,2.08097983702,91.7530063453,6.43691877831
2004-04-20,0.0,0,2.08097983702,100.491387902,6.43691877831
2004-04-21,0.0,0,2.08097983702,99.0349909759,6.43691877831
2004-04-22,0.0,0,2.08097983702,91.7530063453,6.43691877831
2004-04-23,0.0,0,4.16195967403,99.0349909759,4.29127918554
2004-04-24,0.0,0,0.0,103.404181754,6.43691877831
2004-04-25,0.0,0,4.16195967403,100.491387902,8.58255837107
2004-04-26,0.0,0,2.08097983702,87.383815567,6.43691877831
2004-04-27,0.0,0,2.08097983702,103.404181754,6.43691877831
2004-04-28,0.0,0,2.08097983702,91.7530063453,10.7281979638
2004-04-29,0.0,0,2.08097983702,101.947784828,8.58255837107
2004-04-30,0.0,0,2.08097983702,93.2094032714,8.58255837107
2004-05-01,0.0,0,2.08097983702,110.686166385,6.43691877831
2004-05-02,0.0,0,2.08097983702,99.0349909759,8.58255837107
2004-05-03,0.0,0,2.08097983702,93.2094032714,4.29127918554
2004-05-04,0.0,0,2.08097983702,106.316975606,6.43691877831
2004-05-05,0.0,0,2.08097983702,88.8402124931,8.58255837107
2004-05-06,0.0,0,2.08097983702,101.947784828,4.29127918554
2004-05-07,0.0,0,4.16195967403,93.2094032714,6.43691877831
2004-05-08,0.0,0,2.08097983702,128.162929498,8.58255837107
2004-05-09,0.0,0,2.08097983702,109.229769459,10.7281979638
2004-05-10,0.0,0,2.08097983702,106.316975606,6.43691877831
2004-05-11,0.0,0,4.16195967403,101.947784828,4.29127918554
2004-05-12,0.0,0,4.16195967403,87.383815567,4.29127918554
2004-05-13,0.0,0,2.08097983702,96.1221971237,8.58255837107
2004-05-14,0.0,0,2.08097983702,90.2966094192,8.58255837107
2004-05-15,0.0,0,4.16195967403,110.686166385,6.43691877831
2004-05-16,0.0,0,2.08097983702,128.162929498,6.43691877831
2004-05-17,0.0,0,4.16195967403,93.2094032714,8.58255837107
2004-05-18,0.0,0,4.16195967403,101.947784828,8.58255837107
2004-05-19,0.0,0,2.08097983702,110.686166385,6.43691877831
2004-05-20,0.0,0,2.08097983702,100.491387902,6.43691877831
2004-05-21,0.0,0,2.08097983702,90.2966094192,10.7281979638
2004-05-22,0.0,0,6.24293951105,113.598960237,4.29127918554
2004-05-23,0.0,0,4.16195967403,128.162929498,6.43691877831
2004-05-24,0.0,0,2.08097983702,107.773372533,8.58255837107
2004-05-25,0.0,0,2.08097983702,109.229769459,8.58255837107
2004-05-26,0.0,0,2.08097983702,100.491387902,6.43691877831
2004-05-27,0.0,0,2.08097983702,107.773372533,6.43691877831
2004-05-28,0.0,0,2.08097983702,93.2094032714,10.7281979638
2004-05-29,0.0,0,4.16195967403,123.79373872,6.43691877831
2004-05-30,0.0,0,2.08097983702,109.229769459,8.58255837107
2004-05-31,0.0,0,2.08097983702,119.424547942,8.58255837107
2004-06-01,0.0,0,0.0,107.773372533,8.58255837107
2004-06-02,0.0,0,2.08097983702,104.86057868,10.7281979638
2004-06-03,0.0,0,2.08097983702,109.229769459,6.43691877831
2004-06-04,0.0,0,2.08097983702,112.142563311,6.43691877831
2004-06-05,0.0,0,2.08097983702,115.055357163,8.58255837107
2004-06-06,0.0,0,2.08097983702,125.250135646,4.29127918554
2004-06-07,0.0,0,2.08097983702,106.316975606,8.58255837107
2004-06-08,0.0,0,2.08097983702,117.968151015,8.58255837107
2004-06-09,0.0,0,2.08097983702,103.404181754,6.43691877831
2004-06-10,0.0,0,2.08097983702,113.598960237,6.43691877831
2004-06-11,0.0,0,2.08097983702,113.598960237,10.7281979638
2004-06-12,0.0,0,4.16195967403,120.880944868,10.7281979638
2004-06-13,0.0,0,2.08097983702,128.162929498,6.43691877831
2004-06-14,0.0,0,2.08097983702,107.773372533,8.58255837107
2004-06-15,0.0,0,2.08097983702,116.511754089,8.58255837107
2004-06-16,0.0,0,2.08097983702,106.316975606,6.43691877831
2004-06-17,0.0,0,2.08097983702,112.142563311,6.43691877831
2004-06-18,0.0,0,2.08097983702,103.404181754,6.43691877831
2004-06-19,0.0,0,2.08097983702,120.880944868,8.58255837107
2004-06-20,0.0,0,2.08097983702,145.639692612,8.58255837107
2004-06-21,0.0,0,2.08097983702,116.511754089,8.58255837107
2004-06-22,0.0,0,2.08097983702,113.598960237,6.43691877831
2004-06-23,0.0,0,2.08097983702,117.968151015,8.58255837107
2004-06-24,0.0,0,0.0,107.773372533,8.58255837107
2004-06-25,0.0,0,2.08097983702,107.773372533,8.58255837107
2004-06-26,0.0,0,2.08097983702,112.142563311,8.58255837107
2004-06-27,0.0,0,4.16195967403,129.619326424,8.58255837107
2004-06-28,0.0,0,2.08097983702,123.79373872,8.58255837107
2004-06-29,0.0,0,4.16195967403,122.337341794,6.43691877831
2004-06-30,0.0,0,2.08097983702,107.773372533,10.7281979638
2004-07-01,0.0,0,2.08097983702,112.142563311,6.43691877831
2004-07-02,0.0,0,2.08097983702,110.686166385,8.58255837107
2004-07-03,0.0,0,4.16195967403,115.055357163,6.43691877831
2004-07-04,0.0,0,4.16195967403,125.250135646,6.43691877831
2004-07-05,0.0,0,2.08097983702,126.706532572,6.43691877831
2004-07-06,0.0,0,2.08097983702,104.86057868,6.43691877831
2004-07-07,0.0,0,2.08097983702,117.968151015,8.58255837107
2004-07-08,0.0,0,2.08097983702,119.424547942,8.58255837107
2004-07-09,0.0,0,2.08097983702,120.880944868,6.43691877831
2004-07-10,0.0,0,2.08097983702,125.250135646,4.29127918554
2004-07-11,0.0,0,0.0,135.444914129,8.58255837107
2004-07-12,0.0,0,4.16195967403,120.880944868,8.58255837107
2004-07-13,0.0,0,2.08097983702,126.706532572,6.43691877831
2004-07-14,0.0,0,4.16195967403,142.726898759,12.8738375566
2004-07-15,0.0,0,0.0,106.316975606,6.43691877831
2004-07-16,0.0,0,2.08097983702,116.511754089,10.7281979638
2004-07-17,0.0,0,4.16195967403,123.79373872,6.43691877831
2004-07-18,0.0,0,2.08097983702,145.639692612,8.58255837107
2004-07-19,0.0,0,2.08097983702,115.055357163,8.58255837107
2004-07-20,0.0,0,2.08097983702,109.229769459,8.58255837107
2004-07-21,0.0,0,2.08097983702,113.598960237,6.43691877831
2004-07-22,0.0,0,2.08097983702,119.424547942,4.29127918554
2004-07-23,0.0,0,4.16195967403,122.337341794,4.29127918554
2004-07-24,0.0,0,4.16195967403,115.055357163,8.58255837107
2004-07-25,0.0,0,6.24293951105,122.337341794,4.29127918554
2004-07-26,0.0,0,2.08097983702,103.404181754,8.58255837107
2004-07-27,0.0,0,2.08097983702,117.968151015,8.58255837107
2004-07-28,0.0,0,2.08097983702,101.947784828,10.7281979638
2004-07-29,0.0,0,2.08097983702,112.142563311,6.43691877831
2004-07-30,0.0,0,2.08097983702,110.686166385,6.43691877831
2004-07-31,0.0,0,2.08097983702,119.424547942,6.43691877831
2004-08-01,0.0,0,2.08097983702,125.250135646,4.29127918554
2004-08-02,0.0,0,2.08097983702,113.598960237,8.58255837107
2004-08-03,0.0,0,2.08097983702,115.055357163,8.58255837107
2004-08-04,0.0,0,0.0,103.404181754,6.43691877831
2004-08-05,0.0,0,0.0,113.598960237,8.58255837107
2004-08-06,0.0,0,2.08097983702,113.598960237,6.43691877831
2004-08-07,0.0,0,0.0,125.250135646,4.29127918554
2004-08-08,0.0,0,0.0,126.706532572,6.43691877831
2004-08-09,0.0,0,4.16195967403,122.337341794,6.43691877831
2004-08-10,0.0,0,2.08097983702,106.316975606,8.58255837107
2004-08-11,0.0,0,4.16195967403,113.598960237,6.43691877831
2004-08-12,0.0,0,2.08097983702,113.598960237,8.58255837107
2004-08-13,0.0,0,0.0,96.1221971237,6.43691877831
2004-08-14,0.0,0,4.16195967403,97.5785940498,6.43691877831
2004-08-15,0.0,0,2.08097983702,116.511754089,8.58255837107
