date,backward,backwardness,broke,cheap,colony,isPartial
2008-11-13,0,0,2,73,4,False
2008-11-14,0,0,2,69,5,False
2008-11-15,0,0,3,77,5,False
2008-11-16,1,0,3,85,5,False
2008-11-17,0,0,3,75,5,False
2008-11-18,1,0,3,78,5,False
2008-11-19,1,0,2,77,5,False
2008-11-20,0,0,2,72,5,False
2008-11-21,1,0,3,70,5,False
2008-11-22,0,0,2,77,4,False
2008-11-23,1,0,3,81,4,False
2008-11-24,1,0,2,71,5,False
2008-11-25,0,0,3,76,5,False
2008-11-26,1,0,3,72,4,False
2008-11-27,1,0,2,75,4,False
2008-11-28,0,0,2,80,4,False
2008-11-29,0,0,2,88,4,False
2008-11-30,1,0,3,89,5,False
2008-12-01,0,0,3,84,5,False
2008-12-02,1,0,2,85,5,False
2008-12-03,1,0,2,80,5,False
2008-12-04,0,0,2,77,5,False
2008-12-05,0,0,2,76,5,False
2008-12-06,0,0,3,86,5,False
2008-12-07,0,0,3,83,4,False
2008-12-08,0,0,2,76,5,False
2008-12-09,0,0,2,78,5,False
2008-12-10,1,0,2,75,5,False
2008-12-11,0,0,2,73,6,False
2008-12-12,1,0,3,78,5,False
2008-12-13,0,0,3,82,5,False
2008-12-14,1,0,3,85,5,False
2008-12-15,0,0,2,72,5,False
2008-12-16,0,0,2,77,5,False
2008-12-17,0,0,2,76,5,False
2008-12-18,0,0,3,72,4,False
2008-12-19,1,0,2,70,4,False
2008-12-20,0,0,3,78,4,False
2008-12-21,0,0,3,80,5,False
2008-12-22,0,0,3,71,5,False
2008-12-23,0,0,3,75,4,False
2008-12-24,0,0,3,66,4,False
2008-12-25,1,0,3,71,4,False
2008-12-26,1,0,4,82,3,False
2008-12-27,0,0,3,88,4,False
2008-12-28,1,0,3,87,4,False
2008-12-29,1,0,3,84,4,False
2008-12-30,0,0,3,89,3,False
2008-12-31,1,0,3,84,3,False
2009-01-01,0,0,3,80,4,False
2009-01-02,0,0,2,87,3,False
2009-01-03,0,0,3,90,4,False
2009-01-04,1,0,3,97,4,False
2009-01-05,1,0,3,81,3,False
2009-01-06,0,0,2,84,4,False
2009-01-07,0,0,3,84,4,False
2009-01-08,0,0,3,81,4,False
2009-01-09,0,0,3,80,4,False
2009-01-10,0,0,3,89,4,False
2009-01-11,0,0,3,92,3,False
2009-01-12,0,0,2,84,4,False
2009-01-13,0,0,2,83,5,False
2009-01-14,1,0,3,82,4,False
2009-01-15,1,0,3,79,4,False
2009-01-16,0,0,2,78,4,False
2009-01-17,1,0,3,85,4,False
2009-01-18,1,0,3,87,3,False
2009-01-19,0,0,2,84,4,False
2009-01-20,0,0,2,74,3,False
2009-01-21,0,0,2,78,4,False
2009-01-22,0,0,2,77,4,False
2009-01-23,1,0,2,76,4,False
2009-01-24,0,0,3,84,4,False
2009-01-25,0,0,3,91,4,False
2009-01-26,0,0,2,83,4,False
2009-01-27,1,0,3,82,4,False
2009-01-28,0,0,2,77,3,False
2009-01-29,0,0,2,82,4,False
2009-01-30,1,0,2,76,4,False
2009-01-31,1,0,2,85,4,False
2009-02-01,1,0,2,88,3,False
2009-02-02,0,0,2,79,4,False
2009-02-03,0,0,2,83,4,False
2009-02-04,1,0,2,87,6,False
2009-02-05,0,0,2,80,4,False
2009-02-06,1,0,3,83,4,False
2009-02-07,0,0,3,96,3,False
2009-02-08,1,0,2,94,4,False
2009-02-09,1,0,4,80,4,False
2009-02-10,1,0,3,82,4,False
2009-02-11,0,0,4,79,4,False
2009-02-12,0,0,3,77,4,False
2009-02-13,1,0,3,73,4,False
2009-02-14,1,0,3,81,4,False
2009-02-15,1,0,3,88,4,False
2009-02-16,1,0,3,78,4,False
2009-02-17,1,0,3,77,4,False
2009-02-18,0,0,3,80,3,False
2009-02-19,1,0,3,79,3,False
2009-02-20,0,0,5,74,3,False
2009-02-21,1,0,5,85,4,False
2009-02-22,1,0,4,83,3,False
2009-02-23,1,0,3,79,4,False
2009-02-24,1,0,3,80,4,False
2009-02-25,0,0,3,79,4,False
2009-02-26,0,0,2,74,4,False
2009-02-27,0,0,3,78,4,False
2009-02-28,1,0,3,88,4,False
2009-03-01,0,0,3,93,4,False
2009-03-02,0,0,3,80,4,False
2009-03-03,1,0,2,82,3,False
2009-03-04,1,0,2,85,4,False
2009-03-05,0,0,2,80,4,False
2009-03-06,1,0,3,80,4,False
2009-03-07,1,0,3,92,4,False
2009-03-08,0,0,3,93,4,False
2009-03-09,0,0,3,86,4,False
2009-03-10,1,0,3,87,4,False
2009-03-11,1,0,2,83,3,False
2009-03-12,1,0,3,81,4,False
2009-03-13,0,0,2,77,3,False
2009-03-14,1,0,3,92,3,False
2009-03-15,1,0,3,96,3,False
2009-03-16,0,0,3,79,5,False
2009-03-17,1,0,2,86,4,False
2009-03-18,0,0,2,82,4,False
2009-03-19,1,0,3,77,4,False
2009-03-20,1,0,3,79,4,False
2009-03-21,1,0,2,84,4,False
2009-03-22,1,0,3,89,4,False
2009-03-23,0,0,3,83,4,False
2009-03-24,1,0,3,88,5,False
2009-03-25,1,0,3,85,5,False
2009-03-26,1,0,3,82,4,False
2009-03-27,1,0,2,78,4,False
2009-03-28,0,0,1,83,3,False
2009-03-29,1,0,3,89,4,False
2009-03-30,1,0,3,79,3,False
2009-03-31,0,0,2,81,4,False
2009-04-01,0,0,3,77,4,False
2009-04-02,1,0,2,77,4,False
2009-04-03,0,0,1,74,3,False
2009-04-04,1,0,2,86,3,False
2009-04-05,0,0,3,91,4,False
2009-04-06,1,0,2,82,4,False
2009-04-07,0,0,2,81,4,False
2009-04-08,1,0,2,81,4,False
2009-04-09,1,0,3,74,4,False
2009-04-10,1,0,3,79,4,False
2009-04-11,0,0,3,79,4,False
2009-04-12,0,0,3,80,4,False
2009-04-13,0,0,3,77,4,False
2009-04-14,1,0,2,81,3,False
2009-04-15,0,0,2,78,3,False
2009-04-16,0,0,2,79,4,False
2009-04-17,0,0,3,76,3,False
2009-04-18,0,0,3,89,4,False
2009-04-19,0,0,4,85,4,False
2009-04-20,1,0,2,77,4,False
2009-04-21,0,0,2,78,4,False
2009-04-22,1,0,2,76,4,False
2009-04-23,1,0,2,77,4,False
2009-04-24,0,0,3,74,4,False
2009-04-25,1,0,3,77,3,False
2009-04-26,1,0,3,83,4,False
2009-04-27,1,0,2,76,4,False
2009-04-28,0,0,2,76,4,False
2009-04-29,1,0,2,73,3,False
2009-04-30,0,0,2,71,5,False
2009-05-01,1,0,2,72,4,False
2009-05-02,0,0,3,81,3,False
2009-05-03,1,0,4,83,4,False
2009-05-04,1,0,2,78,4,False
2009-05-05,0,0,2,79,4,False
2009-05-06,1,0,3,75,4,False
2009-05-07,1,0,2,73,3,False
2009-05-08,1,0,2,73,4,False
2009-05-09,1,0,3,80,4,False
2009-05-10,0,0,3,86,3,False
2009-05-11,0,0,2,80,3,False
2009-05-12,0,0,2,79,4,False
2009-05-13,0,0,2,78,4,False
2009-05-14,0,0,3,75,4,False
2009-05-15,0,0,2,80,4,False
2009-05-16,0,0,2,86,3,False
2009-05-17,0,0,3,90,4,False
2009-05-18,0,0,2,87,3,False
2009-05-19,0,0,2,81,4,False
2009-05-20,0,0,2,77,4,False
