date,unprofitable,vagabond,vagrant,abundance,accrue,isPartial
2016-04-11,1,33,31,48,11,False
2016-04-12,1,32,35,36,13,False
2016-04-13,1,34,35,45,11,False
2016-04-14,0,34,35,44,8,False
2016-04-15,2,27,26,46,17,False
2016-04-16,0,37,11,37,7,False
2016-04-17,0,44,20,40,7,False
2016-04-18,1,21,33,43,9,False
2016-04-19,3,41,29,45,12,False
2016-04-20,4,30,33,37,21,False
2016-04-21,2,27,29,41,10,False
2016-04-22,1,27,40,49,9,False
2016-04-23,2,28,11,33,2,False
2016-04-24,4,34,20,25,5,False
2016-04-25,3,31,27,46,11,False
2016-04-26,1,33,34,41,8,False
2016-04-27,2,35,39,40,9,False
2016-04-28,0,37,37,35,11,False
2016-04-29,0,24,29,31,9,False
2016-04-30,1,27,20,20,6,False
2016-05-01,5,23,22,30,3,False
2016-05-02,0,34,36,49,16,False
2016-05-03,2,38,37,54,12,False
2016-05-04,1,25,38,50,17,False
2016-05-05,1,30,28,58,11,False
2016-05-06,3,20,35,34,10,False
2016-05-07,0,44,21,37,12,False
2016-05-08,0,30,13,45,5,False
2016-05-09,2,29,40,42,15,False
2016-05-10,1,30,31,52,11,False
2016-05-11,0,38,34,37,19,False
2016-05-12,0,24,31,30,10,False
2016-05-13,1,29,32,37,7,False
2016-05-14,0,34,29,25,4,False
2016-05-15,0,26,17,36,8,False
2016-05-16,2,34,38,36,8,False
2016-05-17,0,30,42,33,12,False
2016-05-18,0,27,25,36,14,False
2016-05-19,0,27,25,38,11,False
2016-05-20,0,34,33,35,5,False
2016-05-21,0,44,15,30,2,False
2016-05-22,1,40,18,36,4,False
2016-05-23,0,34,26,35,12,False
2016-05-24,0,29,31,34,14,False
2016-05-25,2,35,43,29,9,False
2016-05-26,1,29,35,36,8,False
2016-05-27,3,39,34,31,2,False
2016-05-28,0,33,16,31,9,False
2016-05-29,0,32,16,26,5,False
2016-05-30,0,27,20,30,3,False
2016-05-31,1,33,33,34,13,False
2016-06-01,2,35,43,44,8,False
2016-06-02,1,41,34,32,17,False
2016-06-03,1,39,33,37,7,False
2016-06-04,0,48,21,31,5,False
2016-06-05,0,28,20,27,6,False
2016-06-06,0,22,34,29,15,False
2016-06-07,0,34,36,42,7,False
2016-06-08,0,35,33,25,7,False
2016-06-09,0,26,33,36,10,False
2016-06-10,1,36,30,33,15,False
2016-06-11,1,45,7,31,7,False
2016-06-12,0,37,20,33,6,False
2016-06-13,2,25,35,41,7,False
2016-06-14,0,39,29,31,13,False
2016-06-15,0,38,27,35,6,False
2016-06-16,1,35,44,40,7,False
