date,benevolent,bequeath,betroth,betrothal,bonus,isPartial
2007-06-24,2,0,0,0,48,False
2007-06-25,2,0,0,0,38,False
2007-06-26,2,1,0,1,36,False
2007-06-27,3,0,0,0,57,False
2007-06-28,2,0,0,1,33,False
2007-06-29,0,0,0,3,41,False
2007-06-30,2,0,0,0,44,False
2007-07-01,4,0,0,0,48,False
2007-07-02,4,1,0,0,40,False
2007-07-03,5,0,0,0,44,False
2007-07-04,3,0,0,0,39,False
2007-07-05,0,0,0,0,53,False
2007-07-06,8,0,0,0,40,False
2007-07-07,0,0,0,0,51,False
2007-07-08,4,0,0,0,37,False
2007-07-09,4,0,0,0,45,False
2007-07-10,4,1,0,0,52,False
2007-07-11,2,1,0,0,62,False
2007-07-12,1,0,0,0,53,False
2007-07-13,6,0,0,0,47,False
2007-07-14,4,0,0,0,55,False
2007-07-15,4,0,0,0,75,False
2007-07-16,0,0,0,0,42,False
2007-07-17,3,1,0,1,47,False
2007-07-18,1,0,0,0,33,False
2007-07-19,2,0,0,0,49,False
2007-07-20,6,0,0,0,53,False
2007-07-21,7,0,0,0,68,False
2007-07-22,4,4,0,0,57,False
2007-07-23,2,1,0,0,44,False
2007-07-24,4,0,0,0,50,False
2007-07-25,1,0,0,0,47,False
2007-07-26,1,0,0,0,60,False
2007-07-27,2,0,0,0,58,False
2007-07-28,2,0,0,0,88,False
2007-07-29,7,0,0,0,48,False
2007-07-30,4,0,0,0,39,False
2007-07-31,10,0,0,0,61,False
2007-08-01,1,1,0,0,61,False
2007-08-02,1,0,0,0,51,False
2007-08-03,1,0,0,0,43,False
2007-08-04,2,0,0,0,58,False
2007-08-05,0,0,0,0,52,False
2007-08-06,3,0,0,0,51,False
2007-08-07,2,1,0,0,42,False
2007-08-08,0,0,0,1,50,False
2007-08-09,1,0,0,0,35,False
2007-08-10,4,0,0,0,58,False
2007-08-11,3,0,0,0,37,False
2007-08-12,0,0,0,0,51,False
2007-08-13,2,0,0,0,50,False
2007-08-14,3,0,0,0,57,False
2007-08-15,3,0,0,0,43,False
2007-08-16,2,0,0,1,55,False
2007-08-17,4,0,0,0,53,False
2007-08-18,3,2,0,0,67,False
2007-08-19,0,0,0,0,55,False
2007-08-20,2,1,0,0,50,False
2007-08-21,2,0,0,1,56,False
2007-08-22,3,0,0,0,48,False
2007-08-23,4,0,0,1,57,False
2007-08-24,4,1,0,1,36,False
2007-08-25,3,0,0,0,58,False
2007-08-26,8,0,0,0,52,False
2007-08-27,2,1,0,0,39,False
2007-08-28,4,1,0,2,46,False
2007-08-29,3,0,0,0,47,False
2007-08-30,5,0,0,0,56,False
2007-08-31,0,0,1,1,43,False
2007-09-01,0,0,0,0,67,False
2007-09-02,5,0,0,0,39,False
2007-09-03,3,0,0,2,59,False
2007-09-04,2,0,0,0,56,False
2007-09-05,4,1,0,1,47,False
2007-09-06,6,0,0,2,39,False
2007-09-07,2,0,0,0,62,False
2007-09-08,2,2,0,0,44,False
2007-09-09,0,0,0,2,59,False
2007-09-10,4,1,0,0,40,False
2007-09-11,5,0,0,0,36,False
2007-09-12,3,0,0,0,55,False
2007-09-13,2,1,0,0,46,False
2007-09-14,7,0,0,0,39,False
2007-09-15,2,0,0,0,60,False
2007-09-16,0,0,0,2,57,False
2007-09-17,6,1,0,1,38,False
2007-09-18,4,0,0,0,50,False
2007-09-19,6,0,0,1,46,False
2007-09-20,5,1,0,1,41,False
2007-09-21,3,0,0,0,46,False
2007-09-22,3,0,0,0,59,False
2007-09-23,5,0,0,2,46,False
2007-09-24,3,1,0,0,37,False
2007-09-25,6,0,0,0,59,False
2007-09-26,4,0,0,3,38,False
2007-09-27,5,0,0,0,50,False
2007-09-28,0,0,0,1,59,False
2007-09-29,2,0,0,0,46,False
2007-09-30,6,0,0,0,36,False
2007-10-01,3,0,0,0,53,False
2007-10-02,2,0,0,1,50,False
2007-10-03,3,0,0,0,53,False
2007-10-04,2,1,0,0,58,False
2007-10-05,2,1,0,0,50,False
2007-10-06,8,0,0,0,65,False
2007-10-07,3,0,0,0,43,False
2007-10-08,4,0,0,0,61,False
2007-10-09,5,0,1,2,33,False
2007-10-10,7,1,0,0,54,False
2007-10-11,4,0,0,0,47,False
2007-10-12,3,0,0,0,51,False
2007-10-13,0,0,0,0,56,False
2007-10-14,3,0,0,0,52,False
2007-10-15,1,0,0,0,40,False
2007-10-16,1,0,0,1,52,False
2007-10-17,4,0,0,0,41,False
2007-10-18,3,0,0,0,40,False
2007-10-19,4,0,0,2,39,False
2007-10-20,3,0,0,0,49,False
2007-10-21,2,0,0,0,67,False
2007-10-22,4,0,0,2,50,False
2007-10-23,4,1,0,0,45,False
2007-10-24,2,0,0,2,47,False
2007-10-25,5,0,0,0,62,False
2007-10-26,1,0,0,0,75,False
2007-10-27,1,0,0,1,66,False
2007-10-28,2,0,0,0,74,False
2007-10-29,6,0,0,0,52,False
2007-10-30,5,3,0,0,55,False
2007-10-31,4,1,0,0,45,False
2007-11-01,2,0,0,0,62,False
2007-11-02,1,0,0,0,70,False
2007-11-03,6,0,0,0,52,False
2007-11-04,3,0,0,0,56,False
2007-11-05,4,0,0,0,59,False
2007-11-06,7,1,0,1,69,False
2007-11-07,3,0,1,0,62,False
2007-11-08,3,0,0,0,55,False
2007-11-09,4,0,0,1,55,False
2007-11-10,4,0,0,0,53,False
2007-11-11,1,0,0,1,63,False
2007-11-12,4,0,0,0,50,False
2007-11-13,0,0,0,0,53,False
2007-11-14,2,0,0,1,58,False
2007-11-15,3,0,0,0,47,False
2007-11-16,1,1,0,1,64,False
2007-11-17,0,0,0,0,51,False
2007-11-18,1,0,1,1,54,False
2007-11-19,3,1,0,0,54,False
2007-11-20,3,0,0,0,49,False
2007-11-21,2,0,0,1,71,False
2007-11-22,3,0,0,0,65,False
2007-11-23,1,0,0,0,65,False
2007-11-24,0,0,0,1,53,False
2007-11-25,1,0,0,1,62,False
2007-11-26,2,1,0,1,60,False
2007-11-27,3,0,0,0,55,False
2007-11-28,6,1,0,1,58,False
2007-11-29,2,1,0,0,62,False
2007-11-30,2,0,0,1,61,False
2007-12-01,0,0,0,0,57,False
2007-12-02,3,0,0,1,67,False
2007-12-03,4,1,0,0,65,False
2007-12-04,6,0,0,1,58,False
2007-12-05,2,0,0,3,66,False
2007-12-06,4,0,0,1,77,False
2007-12-07,2,0,0,0,73,False
2007-12-08,3,1,0,0,69,False
2007-12-09,4,0,0,3,69,False
2007-12-10,4,0,0,0,58,False
2007-12-11,4,0,0,1,67,False
2007-12-12,4,0,1,0,89,False
2007-12-13,5,0,0,0,73,False
2007-12-14,3,0,0,2,77,False
2007-12-15,4,0,0,0,66,False
2007-12-16,4,1,0,0,67,False
2007-12-17,8,1,0,1,70,False
2007-12-18,4,0,0,0,76,False
2007-12-19,2,0,0,0,81,False
2007-12-20,5,2,1,0,65,False
2007-12-21,5,0,0,1,100,False
2007-12-22,5,0,0,0,57,False
2007-12-23,3,0,0,0,78,False
2007-12-24,3,2,0,0,62,False
2007-12-25,0,0,0,0,71,False
2007-12-26,5,0,0,0,76,False
2007-12-27,2,0,0,0,65,False
2007-12-28,5,0,0,0,69,False
2007-12-29,3,0,0,0,57,False
2007-12-30,0,2,0,0,71,False
2007-12-31,1,0,0,0,56,False
2008-01-01,2,0,0,0,69,False
2008-01-02,1,1,0,2,70,False
2008-01-03,3,1,0,0,50,False
2008-01-04,2,0,0,0,65,False
2008-01-05,0,0,0,0,67,False
2008-01-06,4,0,0,0,69,False
2008-01-07,2,2,0,0,67,False
2008-01-08,4,0,0,0,64,False
2008-01-09,4,0,0,0,53,False
2008-01-10,5,1,0,1,48,False
2008-01-11,3,0,0,0,61,False
2008-01-12,5,0,1,0,80,False
2008-01-13,7,0,0,0,52,False
2008-01-14,5,0,0,0,74,False
2008-01-15,2,0,0,1,73,False
2008-01-16,5,1,0,1,62,False
2008-01-17,3,0,0,0,65,False
2008-01-18,4,0,0,2,56,False
2008-01-19,3,0,0,0,72,False
2008-01-20,3,0,0,0,64,False
2008-01-21,5,0,0,0,63,False
2008-01-22,2,0,0,0,44,False
2008-01-23,7,0,0,0,67,False
2008-01-24,3,0,0,0,62,False
2008-01-25,2,2,0,0,64,False
2008-01-26,5,0,0,0,60,False
2008-01-27,5,1,0,0,62,False
2008-01-28,2,2,0,0,66,False
2008-01-29,4,2,0,0,64,False
2008-01-30,4,0,0,1,65,False
2008-01-31,3,2,0,1,66,False
2008-02-01,3,0,0,1,60,False
2008-02-02,3,0,0,0,67,False
2008-02-03,3,0,0,1,78,False
2008-02-04,1,0,0,0,71,False
2008-02-05,5,0,0,0,47,False
2008-02-06,2,0,0,0,55,False
2008-02-07,2,0,0,0,51,False
2008-02-08,6,1,0,0,61,False
2008-02-09,1,0,0,1,65,False
2008-02-10,0,0,0,1,85,False
2008-02-11,4,2,0,0,64,False
2008-02-12,2,0,0,0,65,False
2008-02-13,5,1,0,0,46,False
2008-02-14,4,0,0,0,48,False
2008-02-15,0,0,0,0,53,False
2008-02-16,4,0,0,0,71,False
2008-02-17,4,0,0,0,51,False
2008-02-18,2,0,1,1,49,False
2008-02-19,5,0,2,2,59,False
2008-02-20,4,0,0,0,57,False
2008-02-21,1,1,0,0,53,False
2008-02-22,3,0,1,1,56,False
2008-02-23,3,0,0,1,58,False
2008-02-24,5,1,0,1,62,False
2008-02-25,4,2,0,0,70,False
2008-02-26,3,0,0,0,53,False
2008-02-27,3,1,0,0,49,False
2008-02-28,5,0,0,0,56,False
2008-02-29,5,1,0,0,74,False
2008-03-01,3,1,0,0,71,False
2008-03-02,3,1,0,0,64,False
2008-03-03,3,0,0,0,63,False
2008-03-04,4,0,0,1,67,False
2008-03-05,3,0,0,2,61,False
2008-03-06,4,1,1,1,61,False
2008-03-07,7,0,0,1,49,False
2008-03-08,3,0,0,0,59,False
2008-03-09,3,0,0,0,73,False
2008-03-10,4,0,0,0,37,False
2008-03-11,4,0,0,2,70,False
2008-03-12,3,2,0,0,60,False
2008-03-13,2,0,0,1,49,False
2008-03-14,6,0,0,1,71,False
2008-03-15,1,0,0,1,78,False
2008-03-16,1,0,0,0,56,False
2008-03-17,4,0,0,0,69,False
2008-03-18,4,1,0,0,58,False
2008-03-19,6,1,0,3,48,False
