date,advantage,affluence,affluent,afloat,allowance,isPartial
2016-07-08,62,0,2,0,10,False
2016-07-09,42,0,1,0,11,False
2016-07-10,49,0,1,0,8,False
2016-07-11,78,1,1,0,9,False
2016-07-12,73,1,2,1,12,False
2016-07-13,76,0,1,1,13,False
2016-07-14,76,1,2,0,12,False
2016-07-15,70,0,2,1,10,False
2016-07-16,50,0,1,1,12,False
2016-07-17,50,0,1,1,9,False
2016-07-18,69,1,2,1,13,False
2016-07-19,70,0,1,1,12,False
2016-07-20,70,0,1,1,14,False
2016-07-21,78,0,2,1,12,False
2016-07-22,62,0,2,0,14,False
2016-07-23,48,1,2,1,9,False
2016-07-24,45,0,2,0,11,False
2016-07-25,69,0,1,1,13,False
2016-07-26,73,0,2,1,13,False
2016-07-27,72,0,0,0,13,False
2016-07-28,77,0,1,1,13,False
2016-07-29,69,0,1,0,11,False
2016-07-30,45,0,2,0,10,False
2016-07-31,43,0,2,0,10,False
2016-08-01,72,1,1,0,13,False
2016-08-02,70,0,2,0,12,False
2016-08-03,75,0,2,1,13,False
2016-08-04,67,0,2,1,13,False
2016-08-05,74,0,1,1,12,False
2016-08-06,48,0,2,1,9,False
2016-08-07,49,0,1,0,10,False
2016-08-08,64,0,2,0,13,False
2016-08-09,71,1,2,0,13,False
2016-08-10,69,1,1,0,13,False
2016-08-11,69,1,2,1,13,False
2016-08-12,68,0,1,0,11,False
2016-08-13,46,0,2,0,9,False
2016-08-14,42,0,1,1,10,False
2016-08-15,65,1,2,1,11,False
2016-08-16,76,0,2,1,16,False
2016-08-17,70,0,1,1,11,False
2016-08-18,68,0,1,1,14,False
2016-08-19,63,0,2,0,12,False
2016-08-20,49,0,2,2,9,False
2016-08-21,41,1,1,1,10,False
2016-08-22,79,0,3,0,11,False
2016-08-23,80,1,2,1,12,False
2016-08-24,77,0,2,0,10,False
2016-08-25,75,1,3,1,11,False
2016-08-26,73,1,3,1,12,False
2016-08-27,49,0,1,0,7,False
2016-08-28,50,0,2,1,11,False
2016-08-29,73,1,2,0,12,False
2016-08-30,82,1,3,1,14,False
2016-08-31,84,1,3,1,12,False
2016-09-01,75,1,3,1,14,False
2016-09-02,73,0,1,0,10,False
2016-09-03,47,0,1,1,6,False
2016-09-04,49,0,1,0,9,False
2016-09-05,48,1,2,1,7,False
2016-09-06,89,0,3,0,10,False
2016-09-07,84,1,3,1,13,False
2016-09-08,85,1,2,1,12,False
2016-09-09,74,1,2,0,11,False
2016-09-10,49,1,1,1,10,False
2016-09-11,54,0,2,0,7,False
2016-09-12,82,1,2,1,12,False
2016-09-13,85,1,3,2,14,False
2016-09-14,86,1,3,1,12,False
2016-09-15,85,1,2,1,12,False
2016-09-16,75,1,4,2,11,False
2016-09-17,52,0,2,1,8,False
2016-09-18,54,1,2,1,8,False
2016-09-19,87,2,3,1,11,False
2016-09-20,86,1,2,1,11,False
2016-09-21,77,1,3,1,13,False
2016-09-22,78,0,3,1,10,False
2016-09-23,73,1,2,1,11,False
2016-09-24,48,0,1,1,8,False
2016-09-25,51,0,2,1,9,False
2016-09-26,80,1,3,1,12,False
2016-09-27,87,1,2,1,12,False
2016-09-28,86,0,3,1,11,False
2016-09-29,82,1,3,0,12,False
2016-09-30,79,1,2,1,12,False
2016-10-01,55,0,2,0,8,False
2016-10-02,52,0,2,0,11,False
2016-10-03,86,2,4,1,10,False
2016-10-04,87,1,2,1,15,False
2016-10-05,90,1,2,0,13,False
2016-10-06,82,1,2,1,12,False
2016-10-07,77,0,2,1,12,False
2016-10-08,52,1,1,0,8,False
2016-10-09,50,1,2,1,9,False
2016-10-10,76,1,2,0,15,False
2016-10-11,79,1,2,0,13,False
2016-10-12,83,0,3,1,14,False
2016-10-13,81,1,3,0,13,False
2016-10-14,75,1,3,0,9,False
2016-10-15,56,0,2,0,8,False
2016-10-16,55,0,1,0,12,False
2016-10-17,90,1,2,0,15,False
2016-10-18,95,1,2,1,14,False
2016-10-19,83,1,3,1,14,False
2016-10-20,86,1,3,1,13,False
2016-10-21,84,1,2,0,12,False
2016-10-22,54,0,1,0,10,False
2016-10-23,60,0,2,0,9,False
2016-10-24,94,0,3,1,14,False
2016-10-25,92,1,3,1,15,False
2016-10-26,91,0,3,0,16,False
2016-10-27,87,0,3,1,13,False
2016-10-28,83,1,2,0,12,False
2016-10-29,57,0,1,0,7,False
2016-10-30,48,0,1,0,11,False
2016-10-31,82,1,3,1,12,False
2016-11-01,86,0,3,1,14,False
2016-11-02,91,0,3,1,17,False
2016-11-03,88,1,3,1,12,False
2016-11-04,78,1,3,0,10,False
2016-11-05,48,0,2,0,9,False
2016-11-06,50,1,1,1,11,False
2016-11-07,84,0,2,1,13,False
2016-11-08,75,1,2,0,15,False
2016-11-09,58,1,1,0,9,False
2016-11-10,85,1,3,0,11,False
2016-11-11,71,1,1,0,11,False
2016-11-12,51,0,2,1,8,False
2016-11-13,53,0,1,1,8,False
2016-11-14,81,1,3,0,14,False
2016-11-15,93,1,2,0,15,False
2016-11-16,79,1,3,0,12,False
2016-11-17,83,1,2,1,11,False
2016-11-18,74,1,2,1,12,False
2016-11-19,47,0,2,0,9,False
2016-11-20,53,0,1,0,11,False
2016-11-21,76,1,2,0,13,False
2016-11-22,75,1,2,1,13,False
2016-11-23,68,0,1,1,13,False
2016-11-24,36,1,1,0,8,False
2016-11-25,54,0,1,0,6,False
2016-11-26,50,1,1,0,8,False
2016-11-27,50,0,1,0,8,False
2016-11-28,79,1,3,1,13,False
2016-11-29,79,0,2,0,14,False
2016-11-30,89,1,3,1,12,False
2016-12-01,87,2,3,0,13,False
2016-12-02,76,1,2,1,10,False
2016-12-03,55,0,2,0,9,False
2016-12-04,55,1,1,0,11,False
2016-12-05,94,1,3,0,14,False
2016-12-06,92,2,2,1,15,False
2016-12-07,84,2,2,0,14,False
2016-12-08,83,1,2,0,14,False
2016-12-09,72,0,2,0,13,False
2016-12-10,50,0,1,0,9,False
2016-12-11,58,1,2,1,9,False
2016-12-12,80,1,2,0,11,False
2016-12-13,73,1,2,0,14,False
2016-12-14,81,1,2,0,13,False
2016-12-15,72,1,2,1,14,False
2016-12-16,67,1,2,1,12,False
2016-12-17,45,0,1,0,9,False
2016-12-18,43,0,2,0,9,False
2016-12-19,72,0,2,0,13,False
2016-12-20,73,0,1,1,12,False
2016-12-21,59,1,1,1,10,False
2016-12-22,57,0,1,1,11,False
2016-12-23,55,0,1,0,10,False
2016-12-24,36,0,1,0,6,False
2016-12-25,32,0,1,0,7,False
2016-12-26,40,0,1,0,10,False
2016-12-27,61,0,2,0,14,False
2016-12-28,61,0,2,1,13,False
2016-12-29,61,1,1,0,12,False
2016-12-30,56,0,1,1,10,False
2016-12-31,39,0,1,0,8,False
2017-01-01,38,0,1,0,6,False
2017-01-02,54,0,2,1,11,False
2017-01-03,70,0,2,1,16,False
2017-01-04,79,1,2,1,15,False
2017-01-05,76,1,2,1,13,False
2017-01-06,70,0,2,0,12,False
2017-01-07,44,0,2,0,12,False
2017-01-08,43,0,1,0,11,False
2017-01-09,79,1,1,1,11,False
2017-01-10,72,0,2,1,16,False
2017-01-11,68,1,3,0,14,False
2017-01-12,79,0,2,1,16,False
2017-01-13,72,0,2,0,13,False
2017-01-14,50,0,1,0,10,False
2017-01-15,47,0,2,0,11,False
2017-01-16,65,0,2,1,10,False
2017-01-17,81,1,3,1,12,False
2017-01-18,76,1,2,0,16,False
2017-01-19,78,0,2,1,16,False
2017-01-20,73,1,2,0,13,False
2017-01-21,57,0,1,1,11,False
2017-01-22,48,1,1,0,12,False
2017-01-23,81,1,3,0,17,False
2017-01-24,100,0,3,0,17,False
2017-01-25,85,1,2,1,14,False
2017-01-26,91,1,3,1,15,False
2017-01-27,81,1,2,0,13,False
2017-01-28,55,1,1,1,9,False
2017-01-29,56,1,2,1,10,False
2017-01-30,90,1,2,0,15,False
2017-01-31,87,1,3,1,15,False
2017-02-01,88,1,2,1,15,False
2017-02-02,88,0,2,1,12,False
2017-02-03,81,0,2,1,14,False
2017-02-04,54,0,1,0,11,False
2017-02-05,54,0,2,0,12,False
2017-02-06,80,1,3,1,16,False
2017-02-07,85,0,2,0,15,False
2017-02-08,86,1,3,1,13,False
2017-02-09,80,1,1,1,13,False
2017-02-10,79,1,3,0,13,False
2017-02-11,47,0,2,0,11,False
2017-02-12,54,0,2,1,11,False
2017-02-13,82,1,2,0,13,False
2017-02-14,82,1,3,0,11,False
2017-02-15,89,1,3,1,13,False
2017-02-16,88,1,2,0,12,False
2017-02-17,73,0,2,0,11,False
2017-02-18,55,0,1,0,12,False
2017-02-19,50,0,1,0,11,False
2017-02-20,86,1,1,1,14,False
2017-02-21,91,1,4,1,15,False
2017-02-22,90,1,3,1,15,False
2017-02-23,90,0,3,1,13,False
2017-02-24,81,1,2,0,13,False
2017-02-25,51,0,2,0,12,False
2017-02-26,54,1,1,1,11,False
2017-02-27,84,1,3,1,14,False
2017-02-28,89,1,2,1,14,False
2017-03-01,89,1,2,1,16,False
2017-03-02,83,1,3,1,15,False
2017-03-03,79,1,1,1,13,False
2017-03-04,56,1,2,0,11,False
2017-03-05,60,0,2,1,14,False
2017-03-06,88,2,3,1,14,False
2017-03-07,86,1,3,1,16,False
2017-03-08,87,1,2,1,15,False
2017-03-09,83,1,2,0,14,False
2017-03-10,74,1,2,0,12,False
2017-03-11,55,0,1,1,12,False
2017-03-12,56,0,2,0,11,False
2017-03-13,85,1,3,0,13,False
2017-03-14,82,1,2,1,15,False
2017-03-15,80,1,2,1,15,False
2017-03-16,78,0,3,1,13,False
2017-03-17,67,1,3,1,13,False
2017-03-18,46,0,1,0,13,False
2017-03-19,54,1,1,0,13,False
2017-03-20,84,1,3,1,17,False
2017-03-21,83,2,2,0,13,False
2017-03-22,85,2,4,1,16,False
2017-03-23,79,1,2,1,13,False
2017-03-24,69,1,3,0,13,False
2017-03-25,52,1,1,1,12,False
2017-03-26,55,1,2,0,14,False
2017-03-27,80,1,3,0,15,False
2017-03-28,83,1,2,1,13,False
2017-03-29,76,2,3,0,16,False
2017-03-30,85,1,3,1,14,False
2017-03-31,81,1,3,1,13,False
2017-04-01,48,0,2,0,11,False
2017-04-02,49,1,2,0,11,False
2017-04-03,83,1,3,0,15,False
