date,advantage,affluence,affluent,afloat,allowance,isPartial
2005-05-23,56,0,0,2,13,False
2005-05-24,82,0,1,2,8,False
2005-05-25,69,1,0,2,10,False
2005-05-26,59,2,0,0,7,False
2005-05-27,44,1,0,0,14,False
2005-05-28,46,0,2,0,5,False
2005-05-29,67,0,0,2,10,False
2005-05-30,54,0,0,0,10,False
2005-05-31,73,0,0,0,8,False
2005-06-01,93,0,0,1,13,False
2005-06-02,78,0,0,2,5,False
2005-06-03,63,0,1,1,8,False
2005-06-04,46,0,2,0,8,False
2005-06-05,66,2,0,0,4,False
2005-06-06,68,0,0,0,9,False
2005-06-07,78,0,1,5,13,False
2005-06-08,62,0,4,1,11,False
2005-06-09,93,0,3,0,9,False
2005-06-10,75,0,5,1,12,False
2005-06-11,77,0,0,0,11,False
2005-06-12,65,0,2,2,6,False
2005-06-13,69,0,1,1,7,False
2005-06-14,91,0,1,2,15,False
2005-06-15,79,0,1,0,8,False
2005-06-16,72,0,1,1,17,False
2005-06-17,77,0,1,0,7,False
2005-06-18,59,0,4,0,4,False
2005-06-19,43,0,2,0,7,False
2005-06-20,64,0,0,0,10,False
2005-06-21,76,0,0,0,14,False
2005-06-22,83,0,0,1,8,False
2005-06-23,61,0,1,1,12,False
2005-06-24,75,0,0,1,15,False
2005-06-25,37,0,4,0,11,False
2005-06-26,64,0,2,2,4,False
2005-06-27,69,0,0,0,11,False
2005-06-28,82,0,1,0,15,False
2005-06-29,60,0,1,1,9,False
2005-06-30,73,0,0,0,4,False
2005-07-01,66,0,3,1,15,False
2005-07-02,61,0,2,0,7,False
2005-07-03,57,0,0,0,7,False
2005-07-04,56,0,0,2,6,False
2005-07-05,71,0,0,0,9,False
2005-07-06,67,0,1,1,10,False
2005-07-07,94,0,2,2,9,False
2005-07-08,86,0,1,0,10,False
2005-07-09,40,0,0,0,8,False
2005-07-10,58,0,0,2,8,False
2005-07-11,60,0,0,0,7,False
2005-07-12,85,0,2,1,7,False
2005-07-13,82,0,0,0,7,False
2005-07-14,82,0,0,0,16,False
2005-07-15,60,0,3,0,16,False
2005-07-16,43,0,0,0,0,False
2005-07-17,42,2,2,2,4,False
2005-07-18,73,1,1,0,12,False
2005-07-19,63,0,2,0,16,False
2005-07-20,79,0,0,0,13,False
2005-07-21,74,0,0,0,9,False
2005-07-22,82,0,0,0,11,False
2005-07-23,66,0,0,0,6,False
2005-07-24,63,0,0,0,2,False
2005-07-25,74,0,2,0,16,False
2005-07-26,71,1,3,3,14,False
2005-07-27,96,1,1,0,10,False
2005-07-28,96,1,2,1,14,False
2005-07-29,98,0,0,0,8,False
2005-07-30,96,0,0,0,10,False
2005-07-31,95,0,0,0,10,False
2005-08-01,91,0,0,4,8,False
2005-08-02,84,0,0,1,16,False
2005-08-03,82,1,4,1,15,False
2005-08-04,67,1,0,0,9,False
2005-08-05,63,0,0,0,7,False
2005-08-06,84,0,4,0,8,False
2005-08-07,69,0,0,2,6,False
2005-08-08,84,0,0,0,12,False
2005-08-09,94,1,0,1,12,False
2005-08-10,100,0,0,0,11,False
2005-08-11,88,0,1,0,12,False
2005-08-12,56,0,0,0,6,False
2005-08-13,76,0,0,2,21,False
2005-08-14,51,0,0,0,4,False
2005-08-15,86,0,1,0,13,False
2005-08-16,80,0,0,1,14,False
2005-08-17,85,0,0,2,8,False
2005-08-18,93,0,2,1,11,False
2005-08-19,86,0,0,0,8,False
2005-08-20,45,2,2,0,6,False
2005-08-21,54,0,0,4,6,False
2005-08-22,54,0,1,3,9,False
2005-08-23,76,0,3,1,17,False
2005-08-24,48,0,0,0,0,False
2005-08-25,62,0,2,0,14,False
2005-08-26,76,0,1,0,7,False
2005-08-27,51,0,0,0,11,False
2005-08-28,60,0,2,0,9,False
2005-08-29,71,0,0,1,12,False
2005-08-30,76,0,1,3,9,False
2005-08-31,63,1,0,0,13,False
2005-09-01,65,0,1,2,12,False
2005-09-02,73,0,1,1,13,False
2005-09-03,47,0,0,0,12,False
2005-09-04,52,0,2,2,4,False
2005-09-05,73,0,0,2,7,False
2005-09-06,72,2,1,1,13,False
2005-09-07,67,0,0,0,12,False
2005-09-08,67,0,1,1,23,False
2005-09-09,59,0,1,0,15,False
2005-09-10,43,0,0,0,12,False
2005-09-11,70,0,0,0,17,False
2005-09-12,68,0,2,1,21,False
2005-09-13,76,0,1,0,9,False
2005-09-14,69,0,1,1,11,False
2005-09-15,75,0,0,2,13,False
2005-09-16,70,0,2,0,9,False
2005-09-17,62,0,2,7,0,False
2005-09-18,42,0,0,5,9,False
2005-09-19,77,0,1,0,12,False
2005-09-20,85,1,0,1,12,False
