date,radical,ruin,segregation,shortage,steal
2004-01-01,49.5812345364,0.0,0.0,11.2178430707,110.406274634
2004-01-02,20.9342990265,19.4210256024,13.7007502987,29.5743135502,64.2663389658
2004-01-03,13.221662543,9.71051280122,0.0,18.3564704794,49.4356453583
2004-01-04,26.4433250861,9.71051280122,0.0,18.3564704794,77.449177728
2004-01-05,30.8505459337,0.0,38.3621008362,14.2772548173,23.0699678339
2004-01-06,11.0180521192,8.09209400102,26.0314255674,24.4752939725,62.6184841205
2004-01-07,30.8505459337,5.66446580071,9.59052520906,14.2772548173,80.7448874186
2004-01-08,27.545130298,3.23683760041,24.6613505376,25.4950978881,41.1963711319
2004-01-09,31.9523511457,3.23683760041,0.0,7.13862740866,36.2528065961
2004-01-10,25.3415198741,0.0,15.0708253285,0.0,74.1534680375
2004-01-11,6.61083127151,4.85525640061,23.2912755077,23.455490057,75.8013228827
2004-01-12,30.8505459337,2.4276282003,28.7715756272,14.2772548173,62.6184841205
2004-01-13,22.0361042384,2.4276282003,36.9920258064,13.2574509018,44.4920808225
2004-01-14,22.0361042384,2.4276282003,9.59052520906,27.5347057191,39.5485162866
2004-01-15,40.766792841,2.4276282003,56.1730762245,7.13862740866,60.9706292752
2004-01-16,19.8324938145,0.0,30.141650657,11.2178430707,65.9141938111
2004-01-17,6.61083127151,8.90130340112,8.22045017919,6.11882349314,74.1534680375
2004-01-18,18.7306886026,4.85525640061,8.22045017919,11.2178430707,84.0405971091
2004-01-19,8.81444169535,0.0,0.0,8.15843132418,88.9841616449
2004-01-20,44.0722084768,5.66446580071,36.9920258064,3.05941174657,56.0270647394
2004-01-21,7.71263648343,8.09209400102,13.7007502987,13.2574509018,37.9006614414
2004-01-22,14.3234677549,5.66446580071,41.102250896,10.1980391552,65.9141938111
2004-01-23,23.1379094503,5.66446580071,9.59052520906,24.4752939725,34.6049517508
2004-01-24,59.4974814436,4.04604700051,0.0,11.2178430707,115.349839169
2004-01-25,11.0180521192,12.9473504016,28.7715756272,5.09901957761,77.449177728
2004-01-26,28.6469355099,8.09209400102,31.5117256869,13.2574509018,32.9570969055
2004-01-27,31.9523511457,4.85525640061,4.1102250896,19.3762743949,31.3092420603
2004-01-28,17.6288833907,2.4276282003,9.59052520906,10.1980391552,54.3792098941
2004-01-29,11.0180521192,8.09209400102,9.59052520906,3.05941174657,70.8577583469
2004-01-30,38.5631824172,5.66446580071,24.6613505376,7.13862740866,57.6749195847
2004-01-31,29.7487407218,4.04604700051,0.0,21.415882226,88.9841616449
2004-02-01,12.1198573311,4.04604700051,6.85037514933,5.09901957761,115.349839169
2004-02-02,28.6469355099,2.4276282003,13.7007502987,10.1980391552,47.787790513
2004-02-03,13.221662543,7.28288460091,45.2124759856,18.3564704794,39.5485162866
2004-02-04,20.9342990265,2.4276282003,12.3306752688,9.1782352397,41.1963711319
2004-02-05,27.545130298,2.4276282003,30.141650657,16.3168626484,70.8577583469
2004-02-06,20.9342990265,4.85525640061,17.8109753883,10.1980391552,54.3792098941
2004-02-07,0.0,22.6578632028,19.1810504181,0.0,23.0699678339
2004-02-08,26.4433250861,6.47367520081,54.8030011946,0.0,65.9141938111
