date,liquidation,pollution,poor,poverty,race,isPartial
2006-02-01,2,9,10,8,33,False
2006-02-02,3,9,10,6,34,False
2006-02-03,2,5,10,7,34,False
2006-02-04,3,4,9,6,44,False
2006-02-05,3,6,9,5,39,False
2006-02-06,1,9,10,8,40,False
2006-02-07,1,6,10,8,38,False
2006-02-08,3,8,10,9,38,False
2006-02-09,1,8,10,9,32,False
2006-02-10,2,5,9,7,36,False
2006-02-11,1,3,8,6,40,False
2006-02-12,1,5,9,7,40,False
2006-02-13,1,8,11,8,40,False
2006-02-14,2,7,8,6,39,False
2006-02-15,1,10,9,8,39,False
2006-02-16,2,8,10,8,42,False
2006-02-17,2,5,9,6,42,False
2006-02-18,1,2,9,6,48,False
2006-02-19,1,3,10,6,56,False
2006-02-20,1,7,8,8,49,False
2006-02-21,1,8,10,8,42,False
2006-02-22,2,7,10,10,43,False
2006-02-23,1,8,7,8,37,False
2006-02-24,2,8,9,8,39,False
2006-02-25,2,4,7,4,52,False
2006-02-26,2,5,11,6,54,False
2006-02-27,1,9,12,7,54,False
2006-02-28,2,8,8,9,52,False
2006-03-01,2,8,9,8,73,False
2006-03-02,1,9,9,7,48,False
2006-03-03,2,7,10,7,42,False
2006-03-04,3,3,8,5,48,False
2006-03-05,0,6,8,6,54,False
2006-03-06,2,8,9,9,42,False
2006-03-07,1,9,12,10,52,False
2006-03-08,2,8,11,8,60,False
2006-03-09,2,6,11,9,45,False
2006-03-10,1,6,9,7,49,False
2006-03-11,1,4,9,5,40,False
2006-03-12,2,3,8,7,46,False
2006-03-13,1,5,12,8,45,False
2006-03-14,1,8,8,7,48,False
2006-03-15,1,8,10,10,54,False
2006-03-16,2,5,11,7,36,False
2006-03-17,2,7,8,5,39,False
2006-03-18,3,3,11,4,42,False
2006-03-19,2,6,11,7,52,False
2006-03-20,1,8,11,9,59,False
2006-03-21,1,6,10,7,39,False
2006-03-22,1,7,11,8,52,False
2006-03-23,3,10,9,6,36,False
2006-03-24,3,8,8,5,38,False
2006-03-25,1,4,9,5,43,False
2006-03-26,2,4,10,5,47,False
2006-03-27,1,8,10,10,55,False
2006-03-28,1,7,9,9,48,False
2006-03-29,1,8,9,9,51,False
