date,liquidation,pollution,poor,poverty,race,isPartial
2009-07-25,1,1,4,2,30,False
2009-07-26,1,1,4,2,37,False
2009-07-27,1,1,4,2,28,False
2009-07-28,1,2,5,3,25,False
2009-07-29,1,2,5,2,27,False
2009-07-30,1,1,5,2,27,False
2009-07-31,1,1,4,2,27,False
2009-08-01,1,1,4,2,34,False
2009-08-02,1,1,5,1,35,False
2009-08-03,1,1,5,3,32,False
2009-08-04,1,2,4,3,25,False
2009-08-05,1,1,4,2,23,False
2009-08-06,1,1,4,3,24,False
2009-08-07,2,1,4,3,28,False
2009-08-08,1,1,4,2,31,False
2009-08-09,1,1,4,2,38,False
2009-08-10,1,1,4,3,30,False
2009-08-11,1,2,5,2,23,False
2009-08-12,1,2,4,3,25,False
2009-08-13,1,1,4,3,23,False
2009-08-14,1,2,3,3,24,False
2009-08-15,1,1,4,2,31,False
2009-08-16,1,1,5,2,35,False
2009-08-17,1,1,6,2,29,False
2009-08-18,1,2,5,3,25,False
2009-08-19,1,1,4,2,26,False
2009-08-20,1,1,4,3,27,False
2009-08-21,2,1,4,2,28,False
2009-08-22,1,1,4,2,33,False
2009-08-23,1,1,6,2,32,False
2009-08-24,1,2,5,2,29,False
2009-08-25,1,2,5,3,22,False
2009-08-26,1,2,5,3,27,False
2009-08-27,1,2,6,3,24,False
2009-08-28,2,2,4,2,25,False
2009-08-29,1,1,5,2,32,False
2009-08-30,1,1,4,2,29,False
2009-08-31,1,2,4,3,25,False
2009-09-01,1,2,5,3,23,False
2009-09-02,1,2,6,4,26,False
2009-09-03,1,2,5,3,24,False
2009-09-04,0,2,5,3,25,False
2009-09-05,0,2,5,2,34,False
2009-09-06,1,1,5,2,33,False
2009-09-07,1,2,4,2,33,False
2009-09-08,1,2,5,4,29,False
2009-09-09,1,2,4,3,28,False
2009-09-10,1,2,5,4,25,False
2009-09-11,1,2,4,4,27,False
2009-09-12,1,2,6,2,33,False
2009-09-13,2,2,5,3,33,False
2009-09-14,1,3,6,4,28,False
2009-09-15,1,3,4,4,26,False
2009-09-16,1,3,5,5,25,False
2009-09-17,1,3,5,5,23,False
2009-09-18,1,2,4,3,27,False
2009-09-19,1,1,5,3,35,False
2009-09-20,1,2,5,4,35,False
2009-09-21,1,3,6,4,33,False
2009-09-22,1,3,5,5,24,False
2009-09-23,1,3,5,5,25,False
2009-09-24,1,3,5,5,24,False
2009-09-25,1,3,4,4,26,False
2009-09-26,1,1,5,2,34,False
2009-09-27,1,2,5,3,40,False
2009-09-28,1,3,7,4,49,False
2009-09-29,1,3,5,5,31,False
2009-09-30,1,3,5,5,27,False
2009-10-01,1,4,5,5,27,False
2009-10-02,1,3,5,4,25,False
2009-10-03,1,1,4,3,32,False
2009-10-04,1,2,6,3,36,False
2009-10-05,1,3,6,5,36,False
2009-10-06,1,4,6,5,26,False
2009-10-07,1,3,5,5,25,False
2009-10-08,1,3,5,3,26,False
2009-10-09,1,3,5,3,24,False
2009-10-10,1,1,5,3,28,False
2009-10-11,1,2,4,3,34,False
2009-10-12,1,3,6,5,41,False
2009-10-13,1,3,6,4,27,False
2009-10-14,1,4,6,5,25,False
2009-10-15,1,3,5,4,25,False
2009-10-16,1,3,5,4,29,False
2009-10-17,1,1,5,3,28,False
2009-10-18,1,2,6,3,34,False
2009-10-19,1,4,6,5,37,False
2009-10-20,1,3,5,5,26,False
2009-10-21,1,4,7,5,26,False
2009-10-22,1,4,5,5,26,False
2009-10-23,1,3,6,3,28,False
2009-10-24,1,2,4,2,29,False
2009-10-25,1,3,5,3,32,False
2009-10-26,1,4,5,5,33,False
2009-10-27,1,4,5,5,27,False
2009-10-28,1,4,5,4,24,False
2009-10-29,1,4,6,4,24,False
2009-10-30,1,3,6,4,24,False
2009-10-31,1,2,5,3,25,False
2009-11-01,1,3,5,3,31,False
2009-11-02,1,4,6,5,38,False
2009-11-03,1,4,6,6,39,False
2009-11-04,1,3,6,6,55,False
2009-11-05,1,3,6,5,25,False
2009-11-06,2,3,5,4,25,False
2009-11-07,2,2,5,3,27,False
2009-11-08,1,2,6,3,30,False
2009-11-09,1,4,6,5,31,False
2009-11-10,1,4,7,5,23,False
2009-11-11,1,3,7,6,22,False
2009-11-12,1,4,6,5,22,False
2009-11-13,1,4,6,4,23,False
2009-11-14,1,3,5,3,22,False
2009-11-15,1,3,6,4,28,False
2009-11-16,1,4,6,4,31,False
2009-11-17,1,5,6,5,22,False
2009-11-18,1,5,6,6,20,False
2009-11-19,1,4,6,6,20,False
2009-11-20,2,4,6,4,21,False
2009-11-21,1,2,4,3,23,False
2009-11-22,1,2,5,4,25,False
2009-11-23,1,4,5,5,32,False
2009-11-24,1,4,6,5,24,False
2009-11-25,1,2,6,4,23,False
2009-11-26,1,1,4,3,26,False
2009-11-27,1,1,4,2,25,False
2009-11-28,1,2,4,2,24,False
2009-11-29,1,3,4,4,25,False
2009-11-30,2,4,6,6,33,False
2009-12-01,1,5,6,5,26,False
2009-12-02,1,5,5,7,24,False
2009-12-03,1,4,7,6,23,False
2009-12-04,1,4,6,5,20,False
2009-12-05,1,2,4,3,28,False
2009-12-06,1,3,6,4,29,False
2009-12-07,1,4,7,4,42,False
2009-12-08,1,4,7,5,27,False
2009-12-09,1,4,6,5,22,False
2009-12-10,1,5,6,5,22,False
2009-12-11,1,3,5,4,21,False
2009-12-12,1,2,5,4,22,False
2009-12-13,1,3,5,3,24,False
2009-12-14,1,3,5,4,25,False
2009-12-15,1,4,6,4,20,False
2009-12-16,1,4,7,4,20,False
2009-12-17,1,3,6,3,19,False
2009-12-18,1,2,6,3,20,False
2009-12-19,1,1,4,2,19,False
2009-12-20,1,1,4,2,19,False
2009-12-21,1,1,4,2,20,False
2009-12-22,1,1,5,2,18,False
2009-12-23,1,1,4,2,18,False
2009-12-24,1,1,4,1,17,False
2009-12-25,1,1,4,1,17,False
2009-12-26,1,1,3,1,21,False
2009-12-27,0,0,3,1,22,False
2009-12-28,1,0,5,2,20,False
2009-12-29,1,1,5,2,17,False
2009-12-30,1,1,4,1,19,False
2009-12-31,1,1,4,1,20,False
2010-01-01,1,1,4,1,21,False
2010-01-02,2,1,5,2,23,False
2010-01-03,1,1,5,2,21,False
2010-01-04,1,2,4,3,20,False
2010-01-05,1,3,4,3,21,False
2010-01-06,1,4,6,4,20,False
2010-01-07,1,3,6,3,20,False
2010-01-08,1,2,4,3,19,False
2010-01-09,1,2,4,2,23,False
2010-01-10,1,1,4,2,25,False
2010-01-11,1,3,5,3,25,False
2010-01-12,1,3,5,4,24,False
2010-01-13,1,3,6,4,25,False
2010-01-14,1,3,7,5,25,False
2010-01-15,1,2,6,4,30,False
2010-01-16,1,1,6,2,30,False
2010-01-17,1,2,6,2,33,False
2010-01-18,1,2,5,3,39,False
2010-01-19,1,3,6,3,100,False
2010-01-20,1,2,5,4,84,False
2010-01-21,1,3,6,4,26,False
2010-01-22,1,2,5,4,23,False
2010-01-23,1,1,5,3,23,False
2010-01-24,1,2,5,3,28,False
2010-01-25,1,3,5,4,22,False
2010-01-26,1,3,6,5,24,False
2010-01-27,1,3,7,4,21,False
2010-01-28,1,4,5,4,22,False
2010-01-29,1,3,6,3,22,False
2010-01-30,1,1,4,2,25,False
2010-01-31,1,1,4,3,27,False
2010-02-01,1,3,5,3,24,False
2010-02-02,1,3,6,4,24,False
2010-02-03,1,3,5,5,26,False
2010-02-04,1,4,5,4,24,False
2010-02-05,1,2,5,4,23,False
2010-02-06,1,1,5,3,28,False
2010-02-07,1,1,5,3,28,False
2010-02-08,1,3,5,3,27,False
2010-02-09,1,3,6,4,26,False
2010-02-10,1,3,5,3,24,False
2010-02-11,1,3,5,3,24,False
2010-02-12,1,3,5,3,26,False
2010-02-13,1,1,4,2,29,False
2010-02-14,1,2,5,2,37,False
2010-02-15,1,2,4,3,43,False
2010-02-16,1,3,4,4,30,False
2010-02-17,1,3,5,5,25,False
2010-02-18,1,3,6,4,26,False
2010-02-19,1,3,5,4,28,False
2010-02-20,1,2,4,2,28,False
2010-02-21,1,2,5,3,33,False
2010-02-22,1,4,5,5,38,False
2010-02-23,1,4,6,4,28,False
2010-02-24,1,4,6,4,25,False
2010-02-25,1,3,5,3,25,False
2010-02-26,1,3,6,4,25,False
2010-02-27,1,1,5,3,27,False
2010-02-28,1,2,6,3,32,False
2010-03-01,1,4,5,5,34,False
2010-03-02,1,3,5,5,29,False
2010-03-03,1,3,5,5,29,False
2010-03-04,1,4,6,4,28,False
2010-03-05,1,4,5,4,25,False
2010-03-06,1,2,5,3,29,False
2010-03-07,1,2,6,2,30,False
2010-03-08,1,4,6,4,34,False
2010-03-09,1,4,6,4,27,False
2010-03-10,1,4,6,4,26,False
2010-03-11,1,4,5,4,25,False
2010-03-12,1,3,6,4,24,False
2010-03-13,1,1,5,2,27,False
2010-03-14,1,2,4,3,34,False
2010-03-15,1,3,6,4,36,False
2010-03-16,1,3,6,4,29,False
2010-03-17,1,4,5,4,27,False
2010-03-18,1,4,6,4,25,False
2010-03-19,1,3,6,4,27,False
2010-03-20,1,1,4,3,30,False
2010-03-21,1,2,5,3,38,False
2010-03-22,1,4,6,9,40,False
2010-03-23,1,4,7,5,32,False
2010-03-24,1,4,6,6,27,False
2010-03-25,1,4,6,5,27,False
2010-03-26,1,3,5,5,26,False
2010-03-27,1,2,4,3,29,False
2010-03-28,1,2,4,3,35,False
2010-03-29,1,3,5,4,46,False
2010-03-30,0,4,4,6,30,False
2010-03-31,1,3,5,5,27,False
2010-04-01,1,3,4,3,26,False
2010-04-02,1,2,4,3,27,False
2010-04-03,1,2,4,2,29,False
2010-04-04,1,2,5,4,30,False
2010-04-05,1,3,5,4,37,False
2010-04-06,1,3,5,5,30,False
2010-04-07,1,3,6,4,29,False
2010-04-08,1,4,5,4,26,False
2010-04-09,1,3,5,4,28,False
2010-04-10,1,2,4,3,30,False
2010-04-11,1,2,6,3,36,False
2010-04-12,1,5,6,5,45,False
2010-04-13,1,5,6,5,34,False
2010-04-14,1,4,5,5,30,False
2010-04-15,1,4,6,5,26,False
2010-04-16,1,5,5,3,27,False
2010-04-17,1,2,5,2,32,False
2010-04-18,1,3,5,4,36,False
2010-04-19,1,5,5,5,42,False
2010-04-20,1,5,5,5,33,False
