date,partnership,patron,patronage,precious,priceless,isPartial
2004-09-11,18,26,0,26,18,False
2004-09-12,14,21,0,29,21,False
2004-09-13,58,25,2,33,23,False
2004-09-14,35,4,0,27,35,False
2004-09-15,39,6,2,17,21,False
2004-09-16,54,19,0,37,37,False
2004-09-17,69,11,0,21,25,False
2004-09-18,25,25,0,14,21,False
2004-09-19,36,22,0,11,32,False
2004-09-20,76,27,2,27,25,False
2004-09-21,35,14,0,25,16,False
2004-09-22,46,19,0,27,31,False
2004-09-23,61,21,0,30,38,False
2004-09-24,41,27,0,30,39,False
2004-09-25,7,22,0,18,29,False
2004-09-26,11,14,0,43,14,False
2004-09-27,74,21,2,25,29,False
2004-09-28,73,14,0,40,20,False
2004-09-29,55,12,0,27,8,False
2004-09-30,57,23,0,23,29,False
2004-10-01,56,19,2,35,23,False
2004-10-02,18,47,0,36,15,False
2004-10-03,28,7,7,49,42,False
2004-10-04,62,14,0,26,30,False
2004-10-05,72,34,2,24,34,False
2004-10-06,44,17,0,27,19,False
2004-10-07,49,11,0,28,24,False
2004-10-08,41,16,0,41,32,False
2004-10-09,22,26,0,37,26,False
2004-10-10,7,18,4,36,25,False
2004-10-11,32,24,0,37,34,False
2004-10-12,9,34,9,43,26,False
2004-10-13,49,22,0,43,24,False
2004-10-14,57,10,0,23,38,False
2004-10-15,60,16,0,49,13,False
2004-10-16,21,21,0,36,29,False
2004-10-17,28,21,0,38,24,False
2004-10-18,75,12,2,12,28,False
2004-10-19,36,14,0,40,18,False
2004-10-20,65,20,4,24,28,False
2004-10-21,52,14,4,29,31,False
2004-10-22,52,24,0,22,24,False
2004-10-23,11,14,4,53,42,False
2004-10-24,31,7,0,61,14,False
2004-10-25,57,22,0,30,24,False
2004-10-26,36,13,0,35,21,False
2004-10-27,54,30,0,26,36,False
2004-10-28,62,25,0,35,29,False
2004-10-29,45,18,0,45,27,False
2004-10-30,46,20,0,46,26,False
2004-10-31,25,28,0,36,32,False
2004-11-01,52,21,0,31,37,False
2004-11-02,47,26,2,26,34,False
2004-11-03,33,13,2,31,35,False
2004-11-04,46,32,0,34,32,False
2004-11-05,51,28,0,40,28,False
2004-11-06,28,17,0,41,31,False
2004-11-07,20,17,0,31,27,False
2004-11-08,54,8,0,46,31,False
2004-11-09,0,0,0,0,0,True
2004-11-10,49,22,3,19,22,False
2004-11-11,34,19,0,23,29,False
2004-11-12,27,29,0,32,23,False
2004-11-13,24,20,0,27,31,False
2004-11-14,27,7,0,50,17,False
2004-11-15,38,27,0,29,19,False
2004-11-16,59,25,2,23,19,False
2004-11-17,61,29,2,49,22,False
2004-11-18,63,20,0,30,20,False
2004-11-19,7,14,0,29,22,False
2004-11-20,10,5,0,16,26,False
2004-11-21,29,13,0,48,23,False
2004-11-22,59,15,2,46,17,False
2004-11-23,59,8,2,34,24,False
2004-11-24,32,9,0,39,35,False
2004-11-25,38,4,0,53,38,False
2004-11-26,30,20,0,30,57,False
2004-11-27,25,42,0,53,35,False
2004-11-28,29,19,0,29,19,False
2004-11-29,45,13,0,39,17,False
2004-11-30,35,20,4,28,26,False
2004-12-01,59,13,0,49,28,False
2004-12-02,59,27,0,44,25,False
2004-12-03,44,30,2,52,26,False
2004-12-04,41,9,0,28,32,False
2004-12-05,41,16,3,31,19,False
2004-12-06,45,15,6,45,28,False
2004-12-07,39,17,0,30,23,False
2004-12-08,43,19,0,53,28,False
2004-12-09,39,22,2,47,32,False
2004-12-10,38,14,2,40,22,False
2004-12-11,25,19,0,51,25,False
