date,radical,ruin,segregation,shortage,steal,isPartial
2013-09-26,56,23,18,21,74,False
2013-09-27,51,27,11,27,76,False
2013-09-28,32,31,10,22,89,False
2013-09-29,49,29,7,17,100,False
2013-09-30,62,26,17,23,61,False
2013-10-01,56,22,18,27,78,False
2013-10-02,60,25,23,27,69,False
2013-10-03,66,31,19,23,70,False
2013-10-04,44,27,16,19,68,False
2013-10-05,31,38,14,23,97,False
2013-10-06,45,23,12,16,77,False
2013-10-07,61,29,17,26,73,False
2013-10-08,50,32,20,22,76,False
2013-10-09,60,28,23,24,74,False
2013-10-10,56,26,21,25,80,False
2013-10-11,51,29,15,23,73,False
2013-10-12,37,27,10,20,88,False
2013-10-13,37,26,13,18,95,False
2013-10-14,55,29,16,22,80,False
2013-10-15,53,25,22,23,73,False
2013-10-16,58,27,23,23,70,False
2013-10-17,52,20,23,23,73,False
2013-10-18,45,33,16,18,71,False
2013-10-19,25,29,9,15,80,False
2013-10-20,42,28,15,17,82,False
2013-10-21,63,23,21,21,76,False
2013-10-22,64,31,24,22,64,False
2013-10-23,58,25,22,25,65,False
2013-10-24,61,23,26,24,71,False
2013-10-25,46,29,20,19,68,False
2013-10-26,33,27,7,14,85,False
2013-10-27,46,25,11,16,80,False
2013-10-28,58,23,26,24,67,False
2013-10-29,55,28,23,29,67,False
2013-10-30,51,23,23,74,70,False
2013-10-31,58,23,20,63,67,False
2013-11-01,40,22,20,42,70,False
2013-11-02,28,20,9,26,75,False
2013-11-03,43,24,13,20,78,False
2013-11-04,55,21,27,32,66,False
2013-11-05,55,22,21,33,60,False
2013-11-06,52,20,24,24,66,False
2013-11-07,53,26,24,20,67,False
2013-11-08,51,24,20,22,74,False
2013-11-09,31,28,8,18,72,False
2013-11-10,39,25,12,24,68,False
2013-11-11,49,25,18,21,74,False
2013-11-12,52,27,27,20,68,False
2013-11-13,65,29,25,22,68,False
2013-11-14,52,33,26,21,61,False
2013-11-15,49,29,22,23,71,False
2013-11-16,30,26,11,27,77,False
2013-11-17,44,30,16,19,71,False
2013-11-18,55,26,28,29,71,False
2013-11-19,56,24,24,32,63,False
2013-11-20,59,23,28,25,61,False
2013-11-21,68,26,29,25,64,False
2013-11-22,50,28,21,21,60,False
2013-11-23,30,27,13,22,67,False
2013-11-24,44,27,15,17,70,False
2013-11-25,52,30,17,19,52,False
2013-11-26,49,24,18,19,68,False
2013-11-27,38,27,11,20,57,False
2013-11-28,28,25,4,24,73,False
2013-11-29,23,22,5,22,71,False
2013-11-30,29,24,8,16,73,False
2013-12-01,40,29,14,22,68,False
2013-12-02,50,24,24,24,59,False
2013-12-03,53,25,32,25,54,False
2013-12-04,67,30,21,19,66,False
2013-12-05,54,25,30,22,60,False
2013-12-06,58,24,30,15,65,False
2013-12-07,40,27,14,14,71,False
2013-12-08,40,36,19,12,72,False
2013-12-09,56,26,24,23,62,False
2013-12-10,71,32,33,21,72,False
2013-12-11,65,29,31,17,55,False
2013-12-12,64,26,29,19,66,False
2013-12-13,48,30,30,20,58,False
