date,radical,ruin,segregation,shortage,steal,isPartial
2005-05-23,8,3,6,2,16,False
2005-05-24,15,4,4,3,13,False
2005-05-25,9,1,6,4,12,False
2005-05-26,7,1,10,3,18,False
2005-05-27,6,2,2,2,16,False
2005-05-28,7,4,1,3,11,False
2005-05-29,6,7,3,4,25,False
2005-05-30,8,1,6,7,19,False
2005-05-31,8,4,2,3,16,False
2005-06-01,11,3,1,4,16,False
2005-06-02,9,1,1,4,9,False
2005-06-03,6,3,2,1,15,False
2005-06-04,7,7,1,6,15,False
2005-06-05,11,3,5,1,16,False
2005-06-06,9,1,6,2,12,False
2005-06-07,11,4,3,8,11,False
2005-06-08,9,5,2,3,13,False
2005-06-09,9,2,5,2,14,False
2005-06-10,5,2,2,3,14,False
2005-06-11,2,7,1,5,11,False
2005-06-12,8,1,1,5,14,False
2005-06-13,7,1,6,5,18,False
2005-06-14,7,3,2,3,11,False
2005-06-15,10,0,3,3,11,False
2005-06-16,16,3,1,1,11,False
2005-06-17,7,2,3,5,11,False
2005-06-18,8,1,0,4,10,False
2005-06-19,5,4,0,3,19,False
2005-06-20,4,4,1,4,12,False
2005-06-21,7,4,1,7,9,False
2005-06-22,12,3,0,2,9,False
2005-06-23,6,1,2,2,11,False
2005-06-24,4,3,0,2,10,False
2005-06-25,9,5,0,4,23,False
2005-06-26,3,5,0,4,16,False
2005-06-27,7,4,1,2,13,False
2005-06-28,7,1,1,3,10,False
2005-06-29,9,3,5,3,12,False
2005-06-30,6,3,2,5,12,False
2005-07-01,6,2,1,2,14,False
2005-07-02,11,4,0,3,21,False
2005-07-03,12,1,1,6,9,False
2005-07-04,8,3,0,4,15,False
2005-07-05,5,2,2,4,8,False
2005-07-06,13,2,1,1,9,False
2005-07-07,5,4,1,6,9,False
2005-07-08,5,3,3,3,9,False
2005-07-09,6,4,0,0,15,False
2005-07-10,2,5,0,2,24,False
2005-07-11,6,7,1,1,11,False
2005-07-12,6,3,1,3,14,False
2005-07-13,9,1,2,6,18,False
2005-07-14,9,1,3,6,13,False
2005-07-15,7,3,2,4,16,False
2005-07-16,8,2,0,2,14,False
2005-07-17,12,1,1,7,16,False
2005-07-18,5,3,1,3,13,False
2005-07-19,7,1,1,8,15,False
2005-07-20,9,3,4,4,11,False
2005-07-21,6,2,0,5,6,False
2005-07-22,8,4,2,1,16,False
2005-07-23,16,5,0,4,24,False
2005-07-24,7,7,0,2,10,False
2005-07-25,8,3,3,6,13,False
2005-07-26,9,2,2,3,9,False
2005-07-27,6,4,1,2,16,False
2005-07-28,5,3,5,1,7,False
2005-07-29,8,5,1,2,11,False
2005-07-30,7,2,2,4,24,False
2005-07-31,5,0,1,6,10,False
2005-08-01,4,3,1,3,10,False
2005-08-02,6,2,2,4,14,False
2005-08-03,7,3,2,3,10,False
2005-08-04,4,4,3,3,12,False
2005-08-05,6,2,1,2,10,False
2005-08-06,6,2,1,0,14,False
2005-08-07,5,2,2,7,13,False
2005-08-08,8,6,1,2,11,False
2005-08-09,6,4,1,5,16,False
2005-08-10,10,1,1,3,15,False
2005-08-11,4,3,1,4,15,False
2005-08-12,9,2,2,9,14,False
2005-08-13,6,7,1,1,17,False
2005-08-14,6,6,0,5,10,False
2005-08-15,7,1,1,3,10,False
2005-08-16,11,5,1,5,11,False
2005-08-17,3,1,1,6,15,False
2005-08-18,9,2,1,2,16,False
2005-08-19,8,1,1,7,19,False
2005-08-20,6,2,1,4,12,False
2005-08-21,9,5,2,5,11,False
2005-08-22,3,3,1,5,20,False
2005-08-23,7,3,1,6,10,False
2005-08-24,17,0,0,3,11,False
2005-08-25,11,1,2,4,11,False
2005-08-26,11,1,1,5,12,False
2005-08-27,5,2,1,3,18,False
2005-08-28,5,3,0,7,20,False
2005-08-29,7,3,1,3,15,False
2005-08-30,7,3,1,3,15,False
2005-08-31,6,3,1,70,13,False
2005-09-01,7,3,1,100,13,False
2005-09-02,4,3,3,74,12,False
2005-09-03,7,0,1,27,13,False
2005-09-04,6,2,0,12,25,False
2005-09-05,5,3,0,16,14,False
2005-09-06,7,5,3,7,13,False
2005-09-07,4,3,2,8,12,False
2005-09-08,4,1,4,9,14,False
2005-09-09,5,2,3,4,10,False
2005-09-10,6,2,0,4,26,False
2005-09-11,12,4,2,3,24,False
2005-09-12,8,3,1,4,16,False
2005-09-13,11,2,2,7,13,False
2005-09-14,7,2,4,5,11,False
2005-09-15,8,2,3,3,15,False
2005-09-16,7,5,4,7,18,False
2005-09-17,7,2,1,4,24,False
2005-09-18,7,3,4,3,15,False
2005-09-19,7,2,2,6,13,False
2005-09-20,7,2,1,4,9,False
2005-09-21,7,2,1,5,15,False
2005-09-22,9,2,4,9,11,False
2005-09-23,7,1,5,8,10,False
2005-09-24,11,3,2,6,15,False
2005-09-25,6,7,2,8,18,False
2005-09-26,6,2,4,6,10,False
2005-09-27,9,5,5,8,8,False
2005-09-28,7,1,6,3,4,False
2005-09-29,9,2,4,7,11,False
2005-09-30,12,4,1,3,11,False
2005-10-01,3,4,2,3,13,False
2005-10-02,9,2,1,4,22,False
2005-10-03,10,1,5,6,16,False
2005-10-04,7,1,1,5,10,False
2005-10-05,10,0,5,8,14,False
2005-10-06,7,4,4,5,16,False
2005-10-07,8,5,3,3,8,False
2005-10-08,8,4,2,3,12,False
2005-10-09,7,3,5,6,9,False
2005-10-10,11,3,4,6,17,False
2005-10-11,8,5,5,9,13,False
2005-10-12,12,2,3,5,15,False
2005-10-13,10,5,2,6,23,False
2005-10-14,8,5,3,4,11,False
2005-10-15,5,3,1,5,17,False
2005-10-16,10,8,2,8,19,False
2005-10-17,7,5,4,6,20,False
2005-10-18,5,2,5,5,16,False
2005-10-19,6,4,4,9,18,False
