date,squander,tariff,underworld,uneconomical,unemployed,isPartial
2004-06-15,0,4,6,0,2,False
2004-06-16,0,4,8,0,6,False
2004-06-17,0,2,13,0,0,False
2004-06-18,0,11,14,0,5,False
2004-06-19,0,8,11,0,8,False
2004-06-20,0,0,12,0,0,False
2004-06-21,0,6,11,0,4,False
2004-06-22,0,10,10,0,10,False
2004-06-23,0,8,4,0,8,False
2004-06-24,0,11,4,0,7,False
2004-06-25,0,2,7,0,2,False
2004-06-26,0,0,15,0,0,False
2004-06-27,0,4,16,0,4,False
2004-06-28,0,8,21,0,6,False
2004-06-29,0,2,10,0,2,False
2004-06-30,0,6,17,0,0,False
2004-07-01,0,2,4,0,2,False
2004-07-02,0,7,12,0,5,False
2004-07-03,0,4,23,0,4,False
2004-07-04,0,0,42,0,4,False
2004-07-05,0,10,21,0,0,False
2004-07-06,0,14,10,0,4,False
2004-07-07,0,12,10,0,6,False
2004-07-08,0,6,8,0,0,False
2004-07-09,0,4,4,0,2,False
2004-07-10,0,0,14,0,0,False
2004-07-11,0,4,11,0,7,False
2004-07-12,0,10,2,0,2,False
2004-07-13,0,8,16,0,4,False
2004-07-14,0,0,9,0,0,False
2004-07-15,0,3,5,0,5,False
2004-07-16,0,7,7,0,0,False
2004-07-17,0,4,7,0,0,False
2004-07-18,0,0,11,0,4,False
2004-07-19,0,6,4,0,6,False
2004-07-20,0,8,14,0,6,False
2004-07-21,0,2,10,0,2,False
2004-07-22,0,19,8,0,6,False
2004-07-23,0,2,16,0,4,False
2004-07-24,0,4,11,0,4,False
2004-07-25,0,0,18,0,7,False
2004-07-26,0,6,11,0,0,False
2004-07-27,0,2,16,0,2,False
2004-07-28,0,4,12,0,6,False
2004-07-29,0,8,10,0,6,False
2004-07-30,0,7,7,0,11,False
2004-07-31,0,0,7,0,0,False
2004-08-01,0,4,11,0,0,False
2004-08-02,0,6,4,0,2,False
2004-08-03,0,12,6,0,4,False
2004-08-04,0,10,12,0,8,False
2004-08-05,0,8,8,0,10,False
2004-08-06,0,4,11,0,2,False
2004-08-07,0,0,11,0,0,False
2004-08-08,0,7,15,0,4,False
2004-08-09,0,16,12,0,2,False
2004-08-10,0,8,4,0,4,False
2004-08-11,0,4,8,0,0,False
2004-08-12,0,2,8,0,4,False
2004-08-13,0,4,9,0,6,False
2004-08-14,0,0,7,0,0,False
2004-08-15,0,0,4,0,7,False
2004-08-16,0,12,12,0,0,False
2004-08-17,0,2,12,0,2,False
2004-08-18,0,0,6,0,6,False
2004-08-19,0,4,12,0,8,False
2004-08-20,0,2,6,0,4,False
2004-08-21,0,3,7,0,7,False
2004-08-22,0,0,7,0,0,False
2004-08-23,0,10,8,0,6,False
2004-08-24,2,10,10,0,0,False
2004-08-25,0,10,4,0,4,False
2004-08-26,0,8,12,0,4,False
2004-08-27,0,8,13,0,4,False
2004-08-28,0,3,26,0,0,False
2004-08-29,0,0,36,0,0,False
2004-08-30,0,6,15,0,9,False
2004-08-31,0,8,23,0,6,False
2004-09-01,0,4,40,0,4,False
2004-09-02,0,12,8,0,10,False
2004-09-03,0,4,11,0,4,False
2004-09-04,0,0,27,0,7,False
2004-09-05,0,7,21,0,0,False
2004-09-06,0,3,41,0,3,False
2004-09-07,0,6,15,0,2,False
2004-09-08,0,11,22,0,5,False
2004-09-09,0,4,18,0,4,False
2004-09-10,0,12,20,0,4,False
2004-09-11,0,6,31,0,3,False
2004-09-12,0,3,21,0,0,False
2004-09-13,0,0,18,0,4,False
2004-09-14,0,5,11,0,2,False
2004-09-15,0,5,9,0,2,False
2004-09-16,0,13,7,0,4,False
2004-09-17,0,8,21,0,0,False
2004-09-18,0,0,31,0,3,False
2004-09-19,3,3,24,0,3,False
2004-09-20,0,7,9,0,4,False
2004-09-21,0,12,12,0,2,False
2004-09-22,0,11,9,0,5,False
2004-09-23,0,13,9,0,4,False
2004-09-24,0,8,16,0,2,False
2004-09-25,0,3,9,0,6,False
2004-09-26,0,12,21,0,3,False
