date,privileged,productive,productivity,profit,profitable
2004-01-01,0.0,0.0,16.7285277709,30.4030489587,0.0
2004-01-02,0.0,119.221486363,27.8808796182,47.9432695118,11.4083701816
2004-01-03,23.4518778755,54.1915847104,9.2936265394,44.4352254012,14.260462727
2004-01-04,0.0,54.1915847104,9.2936265394,43.2658773643,25.6688329086
2004-01-05,0.0,0.0,20.4459783867,50.2819655855,0.0
2004-01-06,0.0,86.7065355367,48.3268580049,70.1608822123,31.3730179994
2004-01-07,0.0,0.0,14.869802463,51.4513136224,8.5562776362
2004-01-08,0.0,0.0,26.0221543103,74.8382743598,0.0
2004-01-09,14.0711267253,0.0,20.4459783867,66.6528381017,8.5562776362
2004-01-10,0.0,0.0,16.7285277709,42.0965293274,25.6688329086
2004-01-11,23.4518778755,151.736437189,16.7285277709,91.209146876,0.0
2004-01-12,0.0,119.221486363,35.3157808497,87.7011027654,14.260462727
2004-01-13,0.0,32.5149508263,44.6094073891,94.7171909867,22.8167403632
2004-01-14,14.0711267253,0.0,9.2936265394,65.4834900649,8.5562776362
2004-01-15,0.0,0.0,24.1634290024,65.4834900649,8.5562776362
2004-01-16,0.0,65.0299016525,11.1523518473,56.1287057699,0.0
2004-01-17,0.0,0.0,0.0,61.9754459542,0.0
2004-01-18,0.0,43.3532677683,24.1634290024,57.2980538067,11.4083701816
2004-01-19,0.0,32.5149508263,22.3047036946,84.1930586548,8.5562776362
2004-01-20,14.0711267253,0.0,20.4459783867,61.9754459542,8.5562776362
2004-01-21,0.0,54.1915847104,29.7396049261,85.3624066917,14.260462727
2004-01-22,0.0,32.5149508263,5.57617592364,76.0076223967,14.260462727
2004-01-23,14.0711267253,54.1915847104,26.0221543103,71.3302302492,0.0
2004-01-24,0.0,0.0,0.0,19.8789166268,22.8167403632
2004-01-25,0.0,43.3532677683,14.869802463,57.2980538067,0.0
2004-01-26,14.0711267253,0.0,29.7396049261,102.902627245,8.5562776362
2004-01-27,0.0,0.0,46.468132697,65.4834900649,14.260462727
2004-01-28,0.0,0.0,33.4570555418,74.8382743598,8.5562776362
2004-01-29,14.0711267253,32.5149508263,29.7396049261,66.6528381017,14.260462727
2004-01-30,0.0,65.0299016525,20.4459783867,100.563931171,8.5562776362
2004-01-31,0.0,43.3532677683,31.598330234,53.7900096961,0.0
2004-02-01,0.0,0.0,16.7285277709,50.2819655855,37.0772030902
2004-02-02,9.38075115019,54.1915847104,13.0110771552,81.8543625811,14.260462727
2004-02-03,9.38075115019,21.6766338842,22.3047036946,86.5317547286,14.260462727
2004-02-04,0.0,21.6766338842,31.598330234,71.3302302492,5.7041850908
2004-02-05,0.0,0.0,9.2936265394,71.3302302492,14.260462727
2004-02-06,0.0,0.0,39.0332314655,84.1930586548,0.0
2004-02-07,103.188262652,0.0,20.4459783867,38.5884852168,0.0
2004-02-08,0.0,0.0,35.3157808497,65.4834900649,0.0
2004-02-09,0.0,32.5149508263,27.8808796182,76.0076223967,14.260462727
2004-02-10,0.0,21.6766338842,22.3047036946,53.7900096961,19.9646478178
2004-02-11,0.0,0.0,55.7617592364,108.749367429,14.260462727
2004-02-12,0.0,86.7065355367,33.4570555418,53.7900096961,0.0
2004-02-13,0.0,32.5149508263,20.4459783867,67.8221861386,8.5562776362
2004-02-14,18.7615023004,43.3532677683,7.43490123152,40.9271812905,0.0
2004-02-15,0.0,0.0,7.43490123152,88.8704508023,0.0
2004-02-16,14.0711267253,65.0299016525,31.598330234,66.6528381017,8.5562776362
2004-02-17,9.38075115019,54.1915847104,9.2936265394,87.7011027654,5.7041850908
2004-02-18,0.0,54.1915847104,37.1745061576,57.2980538067,5.7041850908
2004-02-19,0.0,86.7065355367,18.5872530788,88.8704508023,0.0
2004-02-20,0.0,54.1915847104,20.4459783867,59.6367498805,31.3730179994
2004-02-21,0.0,0.0,14.869802463,47.9432695118,34.2251105448
2004-02-22,0.0,0.0,22.3047036946,56.1287057699,11.4083701816
2004-02-23,9.38075115019,54.1915847104,26.0221543103,70.1608822123,14.260462727
2004-02-24,0.0,54.1915847104,22.3047036946,74.8382743598,0.0
2004-02-25,0.0,75.8682185946,22.3047036946,85.3624066917,14.260462727
2004-02-26,0.0,75.8682185946,13.0110771552,93.5478429498,14.260462727
2004-02-27,0.0,32.5149508263,44.6094073891,72.4995782861,14.260462727
2004-02-28,18.7615023004,86.7065355367,7.43490123152,24.5563087743,0.0
2004-02-29,0.0,0.0,0.0,42.0965293274,0.0
2004-03-01,0.0,0.0,31.598330234,74.8382743598,0.0
2004-03-02,0.0,0.0,9.2936265394,78.3463184705,0.0
2004-03-03,0.0,0.0,31.598330234,99.3945831342,48.4855732718
2004-03-04,14.0711267253,32.5149508263,13.0110771552,92.3784949129,8.5562776362
2004-03-05,0.0,0.0,16.7285277709,107.580019392,51.3376658172
2004-03-06,0.0,0.0,13.0110771552,60.8060979174,0.0
2004-03-07,0.0,0.0,22.3047036946,68.9915341755,0.0
2004-03-08,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0
2004-03-10,0.0,32.5149508263,76.2077376231,67.8221861386,8.5562776362
2004-03-11,0.0,0.0,16.7285277709,105.241323319,0.0
2004-03-12,0.0,43.3532677683,7.43490123152,78.3463184705,11.4083701816
2004-03-13,0.0,0.0,39.0332314655,15.2015244793,0.0
2004-03-14,0.0,0.0,7.43490123152,68.9915341755,0.0
2004-03-15,0.0,54.1915847104,50.1855833128,60.8060979174,5.7041850908
2004-03-16,0.0,0.0,26.0221543103,90.0397988392,5.7041850908
2004-03-17,0.0,0.0,37.1745061576,100.563931171,14.260462727
2004-03-18,0.0,32.5149508263,27.8808796182,71.3302302492,8.5562776362
2004-03-19,0.0,32.5149508263,44.6094073891,88.8704508023,8.5562776362
2004-03-20,0.0,43.3532677683,16.7285277709,54.959357733,11.4083701816
2004-03-21,0.0,43.3532677683,7.43490123152,88.8704508023,11.4083701816
2004-03-22,0.0,108.383169421,37.1745061576,46.7739214749,28.520925454
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,14.0711267253,32.5149508263,13.0110771552,70.1608822123,19.9646478178
2004-03-25,0.0,0.0,50.1855833128,64.314142028,0.0
2004-03-26,18.7615023004,0.0,20.4459783867,53.7900096961,22.8167403632
2004-03-27,37.5230046008,0.0,39.0332314655,39.7578332537,11.4083701816
2004-03-28,0.0,43.3532677683,40.8919567734,36.249789143,11.4083701816
2004-03-29,0.0,54.1915847104,37.1745061576,77.1769704336,5.7041850908
2004-03-30,0.0,21.6766338842,29.7396049261,76.0076223967,0.0
2004-03-31,0.0,21.6766338842,26.0221543103,93.5478429498,5.7041850908
2004-04-01,32.8326290257,21.6766338842,18.5872530788,61.9754459542,28.520925454
2004-04-02,0.0,32.5149508263,5.57617592364,65.4834900649,8.5562776362
2004-04-03,18.7615023004,0.0,14.869802463,93.5478429498,22.8167403632
2004-04-04,0.0,0.0,14.869802463,47.9432695118,11.4083701816
2004-04-05,9.38075115019,0.0,22.3047036946,84.1930586548,5.7041850908
2004-04-06,0.0,0.0,37.1745061576,88.8704508023,0.0
2004-04-07,9.38075115019,0.0,40.8919567734,72.4995782861,0.0
2004-04-08,0.0,32.5149508263,14.869802463,50.2819655855,0.0
2004-04-09,28.1422534506,0.0,39.0332314655,46.7739214749,8.5562776362
2004-04-10,0.0,0.0,31.598330234,60.8060979174,11.4083701816
2004-04-11,0.0,0.0,0.0,65.4834900649,0.0
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,0.0,54.1915847104,3.71745061576,74.8382743598,0.0
2004-04-15,0.0,54.1915847104,35.3157808497,56.1287057699,14.260462727
2004-04-16,14.0711267253,0.0,24.1634290024,79.5156665073,0.0
2004-04-17,0.0,0.0,16.7285277709,61.9754459542,11.4083701816
2004-04-18,0.0,0.0,7.43490123152,52.6206616593,11.4083701816
2004-04-19,0.0,54.1915847104,44.6094073891,79.5156665073,34.2251105448
2004-04-20,9.38075115019,54.1915847104,50.1855833128,71.3302302492,5.7041850908
2004-04-21,9.38075115019,54.1915847104,33.4570555418,49.1126175486,14.260462727
2004-04-22,9.38075115019,0.0,22.3047036946,101.733279208,5.7041850908
2004-04-23,23.4518778755,32.5149508263,9.2936265394,80.6850145442,0.0
2004-04-24,18.7615023004,0.0,0.0,54.959357733,0.0
2004-04-25,0.0,43.3532677683,22.3047036946,90.0397988392,0.0
2004-04-26,0.0,0.0,29.7396049261,56.1287057699,5.7041850908
2004-04-27,0.0,75.8682185946,20.4459783867,95.8865390235,5.7041850908
2004-04-28,9.38075115019,0.0,33.4570555418,78.3463184705,19.9646478178
2004-04-29,9.38075115019,75.8682185946,44.6094073891,70.1608822123,0.0
2004-04-30,14.0711267253,54.1915847104,37.1745061576,65.4834900649,22.8167403632
2004-05-01,18.7615023004,86.7065355367,14.869802463,61.9754459542,11.4083701816
2004-05-02,0.0,43.3532677683,29.7396049261,83.0237106179,0.0
2004-05-03,0.0,21.6766338842,26.0221543103,93.5478429498,0.0
2004-05-04,9.38075115019,0.0,16.7285277709,85.3624066917,14.260462727
