date,radical,ruin,segregation,shortage,steal,isPartial
2011-08-26,38,22,6,21,59,False
2011-08-27,31,26,6,15,68,False
2011-08-28,41,18,7,10,66,False
2011-08-29,42,22,7,16,54,False
2011-08-30,45,20,8,20,50,False
2011-08-31,52,22,8,20,52,False
2011-09-01,45,23,10,19,59,False
2011-09-02,46,20,7,16,56,False
2011-09-03,32,21,5,15,57,False
2011-09-04,33,29,4,18,59,False
2011-09-05,38,22,12,12,55,False
2011-09-06,51,19,8,18,63,False
2011-09-07,50,18,8,17,58,False
2011-09-08,56,24,14,20,42,False
2011-09-09,48,16,10,14,59,False
2011-09-10,41,25,7,15,58,False
2011-09-11,49,24,9,15,73,False
2011-09-12,57,19,11,21,59,False
2011-09-13,71,19,15,21,56,False
2011-09-14,54,18,15,20,55,False
2011-09-15,50,21,16,21,52,False
2011-09-16,46,20,9,19,56,False
2011-09-17,33,27,5,14,64,False
2011-09-18,47,17,14,14,59,False
2011-09-19,51,23,15,19,52,False
2011-09-20,47,22,17,30,45,False
2011-09-21,50,17,19,23,56,False
2011-09-22,47,25,13,27,60,False
2011-09-23,44,21,11,30,61,False
2011-09-24,34,19,7,24,60,False
2011-09-25,35,31,16,14,62,False
2011-09-26,55,18,14,28,65,False
2011-09-27,62,17,15,28,61,False
2011-09-28,53,21,10,28,54,False
2011-09-29,59,31,22,19,58,False
2011-09-30,51,18,9,20,63,False
2011-10-01,47,21,7,14,68,False
2011-10-02,37,23,13,17,87,False
2011-10-03,49,19,17,22,50,False
2011-10-04,60,20,20,30,58,False
2011-10-05,60,20,15,21,58,False
2011-10-06,51,17,12,29,72,False
2011-10-07,46,17,8,23,71,False
2011-10-08,28,21,7,17,92,False
2011-10-09,38,23,9,22,100,False
2011-10-10,49,21,16,25,76,False
2011-10-11,51,19,20,27,61,False
2011-10-12,51,15,17,26,66,False
2011-10-13,48,23,20,33,67,False
2011-10-14,42,24,15,26,63,False
2011-10-15,35,21,7,28,81,False
2011-10-16,45,26,12,26,71,False
2011-10-17,48,26,23,33,57,False
2011-10-18,50,25,21,31,64,False
2011-10-19,53,15,18,23,57,False
2011-10-20,44,22,19,32,55,False
2011-10-21,47,28,11,27,61,False
2011-10-22,27,20,5,25,64,False
2011-10-23,32,20,12,18,64,False
2011-10-24,42,22,18,27,62,False
2011-10-25,40,19,20,26,68,False
2011-10-26,43,16,18,33,65,False
2011-10-27,49,19,17,31,53,False
2011-10-28,42,28,12,24,52,False
2011-10-29,31,19,11,15,80,False
2011-10-30,37,20,16,16,67,False
2011-10-31,40,19,21,44,61,False
2011-11-01,43,24,16,53,57,False
2011-11-02,50,28,15,45,65,False
2011-11-03,48,24,18,34,59,False
2011-11-04,37,28,17,36,67,False
2011-11-05,24,15,7,28,68,False
2011-11-06,39,14,6,18,66,False
2011-11-07,54,22,20,39,65,False
2011-11-08,46,23,19,41,54,False
2011-11-09,50,23,21,37,60,False
2011-11-10,43,22,18,34,46,False
2011-11-11,34,33,12,25,58,False
2011-11-12,33,18,6,20,73,False
2011-11-13,31,26,12,18,66,False
2011-11-14,58,33,19,29,66,False
2011-11-15,48,19,19,29,66,False
2011-11-16,53,25,26,31,63,False
2011-11-17,43,20,28,32,65,False
2011-11-18,47,30,19,32,51,False
2011-11-19,36,24,10,19,74,False
2011-11-20,35,24,12,31,64,False
2011-11-21,46,18,17,24,58,False
2011-11-22,44,26,14,31,61,False
2011-11-23,32,21,11,25,54,False
2011-11-24,29,25,3,22,58,False
2011-11-25,28,22,6,22,64,False
2011-11-26,35,37,9,15,79,False
2011-11-27,33,28,11,21,69,False
2011-11-28,49,21,14,34,65,False
2011-11-29,49,18,19,33,62,False
2011-11-30,53,23,28,32,69,False
2011-12-01,49,23,24,26,69,False
2011-12-02,48,21,17,29,62,False
2011-12-03,39,19,10,23,53,False
2011-12-04,38,30,14,24,57,False
2011-12-05,55,27,20,30,59,False
2011-12-06,52,20,26,30,47,False
2011-12-07,61,23,25,33,51,False
2011-12-08,58,29,25,31,61,False
2011-12-09,43,20,14,28,70,False
2011-12-10,35,20,15,17,52,False
2011-12-11,36,29,21,24,64,False
2011-12-12,67,23,22,35,57,False
2011-12-13,53,21,27,42,65,False
2011-12-14,60,25,21,46,65,False
2011-12-15,50,18,20,39,59,False
2011-12-16,44,22,16,29,52,False
2011-12-17,26,29,7,27,58,False
2011-12-18,33,25,7,25,59,False
2011-12-19,33,21,11,34,54,False
2011-12-20,36,23,13,37,60,False
2011-12-21,28,20,12,31,59,False
2011-12-22,29,30,8,40,58,False
2011-12-23,21,22,6,25,63,False
2011-12-24,19,21,3,26,60,False
2011-12-25,20,25,5,15,66,False
2011-12-26,14,27,4,11,67,False
2011-12-27,24,24,7,20,65,False
2011-12-28,21,23,7,20,77,False
2011-12-29,22,21,8,26,67,False
2011-12-30,23,28,5,12,61,False
2011-12-31,18,31,4,20,56,False
2012-01-01,25,23,7,28,65,False
