date,destitute,extravagant,fire,gamble,hole,isPartial
2005-11-06,0,0,66,3,10,False
2005-11-07,0,0,68,2,9,False
2005-11-08,0,0,60,2,10,False
2005-11-09,1,0,62,1,11,False
2005-11-10,0,0,52,2,10,False
2005-11-11,0,0,60,1,11,False
2005-11-12,0,0,62,2,11,False
2005-11-13,0,0,68,2,9,False
2005-11-14,0,0,61,3,9,False
2005-11-15,0,0,63,2,9,False
2005-11-16,0,0,65,2,8,False
2005-11-17,0,0,70,3,8,False
2005-11-18,0,0,87,2,7,False
2005-11-19,0,0,98,2,10,False
2005-11-20,0,0,93,2,8,False
2005-11-21,0,0,71,2,11,False
2005-11-22,0,0,63,2,9,False
2005-11-23,0,0,64,1,8,False
2005-11-24,0,0,72,1,10,False
2005-11-25,0,0,69,1,10,False
2005-11-26,0,0,69,0,9,False
2005-11-27,0,0,69,1,12,False
2005-11-28,0,0,57,1,10,False
2005-11-29,0,0,54,2,8,False
2005-11-30,0,0,58,1,8,False
2005-12-01,0,0,60,2,9,False
2005-12-02,0,0,54,2,9,False
2005-12-03,0,0,56,0,9,False
2005-12-04,0,0,54,1,10,False
2005-12-05,0,0,52,2,8,False
2005-12-06,0,0,54,2,8,False
2005-12-07,0,0,56,1,7,False
2005-12-08,0,0,54,2,9,False
2005-12-09,0,0,51,2,10,False
2005-12-10,0,0,61,1,11,False
2005-12-11,0,0,64,3,12,False
2005-12-12,0,0,54,2,8,False
2005-12-13,0,0,59,2,9,False
2005-12-14,0,0,53,2,9,False
2005-12-15,0,0,53,2,10,False
2005-12-16,0,0,54,2,8,False
2005-12-17,0,0,60,1,11,False
2005-12-18,0,0,53,1,9,False
2005-12-19,0,0,57,2,10,False
2005-12-20,0,0,54,1,9,False
2005-12-21,0,0,51,2,10,False
2005-12-22,0,0,50,2,11,False
2005-12-23,0,0,51,1,8,False
2005-12-24,0,0,53,1,9,False
2005-12-25,0,0,54,2,9,False
2005-12-26,0,0,51,1,10,False
2005-12-27,0,0,55,2,9,False
2005-12-28,0,0,55,3,10,False
2005-12-29,0,0,54,1,11,False
2005-12-30,0,0,56,2,10,False
2005-12-31,0,0,53,1,12,False
2006-01-01,0,0,61,1,13,False
2006-01-02,0,0,64,2,11,False
2006-01-03,0,0,54,2,10,False
2006-01-04,0,0,54,2,11,False
2006-01-05,0,0,48,2,11,False
2006-01-06,0,0,50,3,8,False
2006-01-07,0,0,53,1,10,False
2006-01-08,0,0,52,1,12,False
2006-01-09,0,0,57,2,9,False
2006-01-10,0,0,58,2,9,False
2006-01-11,0,0,51,2,10,False
2006-01-12,0,0,50,2,9,False
2006-01-13,0,0,55,2,10,False
2006-01-14,0,0,54,2,10,False
2006-01-15,0,0,52,1,12,False
2006-01-16,0,0,54,2,9,False
2006-01-17,0,0,52,2,9,False
2006-01-18,0,0,49,2,10,False
2006-01-19,0,0,54,3,9,False
2006-01-20,0,0,48,1,9,False
2006-01-21,0,0,46,1,10,False
2006-01-22,0,0,55,2,13,False
2006-01-23,0,0,56,3,10,False
2006-01-24,0,0,55,3,9,False
2006-01-25,0,0,54,2,9,False
2006-01-26,0,0,54,2,8,False
2006-01-27,0,0,47,1,11,False
2006-01-28,0,0,46,2,10,False
2006-01-29,0,0,52,1,10,False
2006-01-30,0,0,54,2,10,False
2006-01-31,0,0,50,3,11,False
2006-02-01,0,0,50,2,9,False
2006-02-02,0,0,49,3,8,False
2006-02-03,0,0,51,2,10,False
2006-02-04,0,0,53,1,9,False
2006-02-05,0,0,47,1,11,False
2006-02-06,0,0,61,2,10,False
2006-02-07,0,0,56,2,9,False
2006-02-08,0,0,58,2,9,False
2006-02-09,0,0,57,3,10,False
2006-02-10,0,0,49,1,8,False
2006-02-11,0,0,53,2,9,False
2006-02-12,0,0,51,2,10,False
2006-02-13,0,0,48,2,9,False
2006-02-14,0,0,51,1,7,False
2006-02-15,0,0,51,2,10,False
2006-02-16,0,0,48,2,8,False
