date,partnership,patron,patronage,precious,priceless,isPartial
2006-02-01,65,54,0,45,43,False
2006-02-02,67,21,0,30,41,False
2006-02-03,69,32,4,44,40,False
2006-02-04,37,37,0,49,23,False
2006-02-05,38,29,3,61,44,False
2006-02-06,84,19,0,55,52,False
2006-02-07,80,11,0,45,24,False
2006-02-08,88,18,2,59,29,False
2006-02-09,69,32,0,65,35,False
2006-02-10,77,21,0,42,48,False
2006-02-11,42,31,0,42,34,False
2006-02-12,36,31,0,62,28,False
2006-02-13,86,31,0,38,29,False
2006-02-14,94,20,2,42,27,False
2006-02-15,88,30,2,51,36,False
2006-02-16,73,22,0,54,39,False
2006-02-17,82,30,0,60,68,False
2006-02-18,40,38,0,66,55,False
2006-02-19,41,18,0,47,59,False
2006-02-20,63,25,2,37,44,False
2006-02-21,59,33,7,29,37,False
2006-02-22,76,46,0,41,41,False
2006-02-23,98,18,0,33,33,False
2006-02-24,65,21,0,52,50,False
2006-02-25,51,21,0,62,18,False
2006-02-26,32,20,0,46,32,False
2006-02-27,61,16,2,47,25,False
2006-02-28,73,19,4,49,39,False
2006-03-01,84,34,5,60,25,False
2006-03-02,71,27,0,49,25,False
2006-03-03,77,25,0,54,29,False
2006-03-04,37,17,3,60,31,False
2006-03-05,54,34,0,54,29,False
2006-03-06,80,34,4,42,62,False
2006-03-07,78,32,2,46,43,False
2006-03-08,82,22,5,47,49,False
2006-03-09,83,28,0,37,50,False
2006-03-10,70,23,2,41,35,False
2006-03-11,26,46,3,41,58,False
2006-03-12,49,38,0,46,38,False
2006-03-13,83,33,2,46,33,False
2006-03-14,100,21,4,50,55,False
2006-03-15,79,37,0,53,39,False
2006-03-16,77,26,4,49,34,False
2006-03-17,61,59,6,67,37,False
2006-03-18,44,29,0,53,29,False
2006-03-19,40,34,0,54,34,False
2006-03-20,65,33,5,51,27,False
2006-03-21,79,44,3,35,39,False
2006-03-22,100,27,0,49,47,False
2006-03-23,93,24,0,47,24,False
2006-03-24,70,31,0,56,42,False
2006-03-25,59,20,0,40,37,False
2006-03-26,37,26,0,51,17,False
2006-03-27,72,34,2,47,27,False
2006-03-28,79,26,4,47,42,False
2006-03-29,73,28,2,46,37,False
2006-03-30,89,28,6,54,41,False
2006-03-31,91,28,2,55,51,False
2006-04-01,46,29,0,41,41,False
2006-04-02,49,26,3,70,23,False
2006-04-03,68,34,5,50,27,False
2006-04-04,83,35,4,67,48,False
2006-04-05,84,29,2,50,36,False
2006-04-06,69,18,2,44,45,False
2006-04-07,68,21,0,52,47,False
2006-04-08,43,11,0,66,14,False
2006-04-09,44,26,0,82,29,False
2006-04-10,94,38,2,32,51,False
2006-04-11,70,27,5,56,27,False
2006-04-12,79,25,0,38,40,False
2006-04-13,74,25,2,57,32,False
2006-04-14,51,26,0,54,30,False
2006-04-15,60,27,0,42,33,False
2006-04-16,38,28,0,69,44,False
2006-04-17,55,18,2,64,36,False
2006-04-18,98,32,0,59,37,False
2006-04-19,92,23,5,42,48,False
2006-04-20,74,13,0,49,32,False
2006-04-21,57,15,2,46,46,False
2006-04-22,48,25,3,45,48,False
2006-04-23,53,17,0,61,22,False
2006-04-24,64,24,0,41,24,False
2006-04-25,68,34,0,60,29,False
2006-04-26,59,26,0,57,30,False
2006-04-27,78,31,0,53,33,False
2006-04-28,91,29,0,62,48,False
2006-04-29,35,33,3,62,47,False
2006-04-30,28,34,0,43,28,False
2006-05-01,83,40,0,37,24,False
2006-05-02,85,25,5,49,32,False
2006-05-03,87,24,0,45,38,False
2006-05-04,74,35,4,55,14,False
2006-05-05,55,40,0,57,38,False
2006-05-06,42,56,0,47,15,False
2006-05-07,29,41,3,56,41,False
2006-05-08,66,26,5,45,26,False
2006-05-09,91,34,0,51,39,False
2006-05-10,47,30,0,49,26,False
2006-05-11,71,22,2,52,24,False
2006-05-12,44,40,2,40,27,False
2006-05-13,38,12,0,77,35,False
2006-05-14,24,24,0,60,33,False
2006-05-15,81,33,2,55,21,False
2006-05-16,62,24,2,48,36,False
2006-05-17,67,23,2,51,37,False
2006-05-18,74,25,2,59,49,False
2006-05-19,72,29,2,56,44,False
2006-05-20,39,21,0,46,46,False
2006-05-21,33,9,0,50,27,False
2006-05-22,44,30,0,55,16,False
2006-05-23,53,26,2,69,35,False
2006-05-24,78,22,2,38,42,False
2006-05-25,65,17,4,44,28,False
2006-05-26,71,24,0,36,40,False
2006-05-27,19,13,0,45,32,False
2006-05-28,24,24,7,52,42,False
2006-05-29,41,20,0,32,41,False
2006-05-30,79,22,0,42,36,False
2006-05-31,72,27,0,51,32,False
2006-06-01,42,35,4,40,31,False
2006-06-02,61,31,0,55,26,False
2006-06-03,32,32,0,50,32,False
2006-06-04,39,30,0,45,24,False
2006-06-05,83,23,0,45,33,False
2006-06-06,75,29,0,56,33,False
2006-06-07,69,29,0,52,27,False
2006-06-08,52,28,0,51,30,False
2006-06-09,71,31,0,35,31,False
2006-06-10,30,33,3,54,24,False
2006-06-11,55,24,0,67,30,False
2006-06-12,72,20,0,44,28,False
2006-06-13,68,40,0,42,51,False
2006-06-14,75,28,0,51,20,False
2006-06-15,77,21,0,46,42,False
2006-06-16,62,33,2,54,45,False
2006-06-17,31,13,0,50,44,False
2006-06-18,38,35,0,51,19,False
2006-06-19,87,31,0,33,37,False
2006-06-20,72,33,0,44,33,False
2006-06-21,91,19,0,40,30,False
2006-06-22,74,15,4,45,41,False
2006-06-23,72,24,0,30,48,False
2006-06-24,44,18,0,53,35,False
2006-06-25,32,20,0,82,29,False
2006-06-26,62,24,2,33,25,False
2006-06-27,77,23,0,41,54,False
2006-06-28,85,23,0,41,40,False
2006-06-29,64,23,0,30,34,False
2006-06-30,54,22,0,40,30,False
2006-07-01,12,28,0,31,21,False
2006-07-02,26,26,0,45,23,False
2006-07-03,34,20,0,47,38,False
2006-07-04,50,33,0,72,17,False
2006-07-05,59,10,0,39,31,False
2006-07-06,82,22,0,45,27,False
2006-07-07,52,27,0,35,35,False
2006-07-08,31,26,3,37,37,False
2006-07-09,26,26,3,35,26,False
2006-07-10,53,19,0,49,25,False
2006-07-11,75,17,0,35,40,False
2006-07-12,82,23,2,41,30,False
2006-07-13,85,33,2,48,27,False
2006-07-14,60,35,2,46,46,False
2006-07-15,22,28,3,25,36,False
2006-07-16,23,38,0,47,32,False
2006-07-17,55,21,0,48,39,False
2006-07-18,67,23,0,32,37,False
2006-07-19,77,21,2,57,32,False
2006-07-20,49,38,2,36,36,False
2006-07-21,69,29,2,30,25,False
2006-07-22,39,28,3,36,36,False
2006-07-23,26,28,0,34,26,False
2006-07-24,91,24,0,37,21,False
2006-07-25,82,26,2,42,35,False
2006-07-26,60,35,0,35,28,False
2006-07-27,68,28,4,34,30,False
2006-07-28,84,25,2,48,48,False
2006-07-29,20,14,0,31,45,False
2006-07-30,28,31,0,26,20,False
2006-07-31,51,21,2,37,30,False
2006-08-01,79,24,0,56,36,False
2006-08-02,65,34,0,45,15,False
2006-08-03,61,20,0,34,38,False
2006-08-04,57,32,2,63,31,False
2006-08-05,31,25,3,39,28,False
2006-08-06,20,17,0,52,32,False
2006-08-07,74,21,0,51,39,False
2006-08-08,72,19,0,43,21,False
2006-08-09,71,29,0,41,31,False
2006-08-10,71,17,0,50,24,False
2006-08-11,64,26,0,36,30,False
2006-08-12,25,31,0,20,28,False
2006-08-13,28,23,6,31,34,False
2006-08-14,62,18,0,39,35,False
2006-08-15,71,20,2,42,22,False
2006-08-16,77,14,0,59,35,False
2006-08-17,76,19,2,46,30,False
2006-08-18,37,28,0,46,37,False
2006-08-19,32,27,0,56,16,False
2006-08-20,41,36,0,47,38,False
2006-08-21,57,31,0,43,26,False
2006-08-22,55,17,0,28,23,False
2006-08-23,76,25,2,41,29,False
2006-08-24,71,24,0,40,36,False
2006-08-25,75,43,0,43,43,False
2006-08-26,21,26,3,62,31,False
2006-08-27,38,31,0,36,33,False
2006-08-28,65,22,0,60,33,False
2006-08-29,62,24,0,54,47,False
2006-08-30,66,33,2,39,30,False
2006-08-31,46,29,0,41,22,False
2006-09-01,60,55,4,44,35,False
2006-09-02,18,31,0,34,34,False
2006-09-03,14,33,0,47,42,False
2006-09-04,27,25,0,39,30,False
2006-09-05,55,29,3,39,32,False
2006-09-06,69,26,0,50,24,False
2006-09-07,55,28,0,31,28,False
2006-09-08,61,35,2,51,42,False
2006-09-09,30,23,3,63,30,False
2006-09-10,22,69,0,42,22,False
2006-09-11,57,32,0,31,40,False
2006-09-12,55,22,2,41,31,False
2006-09-13,63,36,0,51,35,False
2006-09-14,75,21,5,58,36,False
2006-09-15,71,22,2,45,38,False
2006-09-16,30,20,3,48,33,False
2006-09-17,28,28,3,55,25,False
2006-09-18,76,32,0,39,35,False
2006-09-19,85,28,2,49,29,False
2006-09-20,92,19,2,47,24,False
2006-09-21,89,24,0,42,29,False
2006-09-22,60,27,0,48,29,False
2006-09-23,22,40,0,44,37,False
2006-09-24,29,24,2,43,27,False
2006-09-25,64,28,2,47,25,False
2006-09-26,88,36,0,39,36,False
2006-09-27,85,25,0,31,46,False
2006-09-28,64,35,0,30,16,False
2006-09-29,52,26,0,41,26,False
2006-09-30,36,28,0,28,28,False
2006-10-01,42,35,0,62,27,False
2006-10-02,88,25,2,35,35,False
2006-10-03,83,25,2,47,31,False
2006-10-04,72,20,0,28,28,False
2006-10-05,80,16,0,52,30,False
2006-10-06,94,27,0,44,42,False
2006-10-07,38,38,0,56,35,False
2006-10-08,23,20,0,59,28,False
