date,expense,expensive,fine,ghetto,intervention,isPartial
2013-09-26,20,44,85,36,19,False
2013-09-27,14,46,80,38,17,False
2013-09-28,9,47,88,42,10,False
2013-09-29,10,50,71,39,13,False
2013-09-30,15,48,80,32,18,False
2013-10-01,17,43,85,38,18,False
2013-10-02,15,47,82,41,17,False
2013-10-03,15,43,85,35,18,False
2013-10-04,12,43,82,36,15,False
2013-10-05,10,50,82,41,9,False
2013-10-06,11,48,78,44,14,False
2013-10-07,16,48,78,36,20,False
2013-10-08,16,47,84,40,21,False
2013-10-09,16,45,82,38,21,False
2013-10-10,15,43,86,39,20,False
2013-10-11,11,47,76,38,16,False
2013-10-12,6,49,88,40,10,False
2013-10-13,10,49,75,40,13,False
2013-10-14,16,45,79,40,19,False
2013-10-15,20,44,84,33,16,False
2013-10-16,15,43,85,37,20,False
2013-10-17,14,46,84,38,19,False
2013-10-18,12,51,84,40,16,False
2013-10-19,8,49,89,40,10,False
2013-10-20,9,53,84,39,13,False
2013-10-21,16,45,84,33,21,False
2013-10-22,17,51,86,37,22,False
2013-10-23,18,47,87,36,19,False
2013-10-24,16,48,86,36,16,False
2013-10-25,14,48,87,32,16,False
2013-10-26,8,48,77,46,12,False
2013-10-27,11,50,75,39,12,False
2013-10-28,16,48,82,37,20,False
2013-10-29,16,51,85,38,17,False
2013-10-30,17,51,84,42,21,False
2013-10-31,17,46,80,41,17,False
2013-11-01,13,45,80,39,17,False
2013-11-02,8,46,89,43,13,False
2013-11-03,9,55,77,42,14,False
2013-11-04,16,46,85,35,19,False
2013-11-05,15,48,84,36,21,False
2013-11-06,17,55,88,36,21,False
2013-11-07,19,47,84,39,19,False
2013-11-08,16,49,88,41,18,False
2013-11-09,8,46,91,41,12,False
2013-11-10,7,54,81,45,16,False
2013-11-11,17,46,83,37,16,False
2013-11-12,13,51,81,37,23,False
2013-11-13,16,55,89,38,20,False
2013-11-14,17,52,89,36,22,False
2013-11-15,14,49,88,39,18,False
2013-11-16,8,51,85,41,12,False
2013-11-17,10,49,82,38,15,False
2013-11-18,15,46,82,34,19,False
2013-11-19,17,49,92,39,21,False
2013-11-20,15,50,94,39,22,False
2013-11-21,17,46,92,41,21,False
2013-11-22,16,44,86,35,14,False
2013-11-23,9,50,79,39,10,False
2013-11-24,10,54,81,41,11,False
2013-11-25,17,46,82,38,19,False
2013-11-26,13,49,80,42,17,False
2013-11-27,11,47,82,37,13,False
2013-11-28,4,47,67,42,8,False
2013-11-29,6,48,70,37,6,False
2013-11-30,7,53,74,40,9,False
2013-12-01,9,48,71,44,13,False
2013-12-02,11,47,85,38,17,False
2013-12-03,15,46,93,36,21,False
2013-12-04,13,54,99,41,18,False
2013-12-05,16,53,100,37,19,False
2013-12-06,13,54,76,40,15,False
2013-12-07,10,50,84,40,9,False
2013-12-08,11,52,84,41,13,False
2013-12-09,12,49,83,42,18,False
2013-12-10,16,50,79,35,16,False
2013-12-11,15,55,84,41,18,False
2013-12-12,14,47,85,38,19,False
2013-12-13,15,53,80,37,15,False
2013-12-14,8,50,86,47,9,False
2013-12-15,9,51,80,42,10,False
2013-12-16,14,48,87,40,15,False
2013-12-17,12,49,82,41,15,False
2013-12-18,11,49,82,41,14,False
2013-12-19,12,52,83,41,14,False
2013-12-20,10,47,81,41,9,False
2013-12-21,7,53,83,46,7,False
2013-12-22,8,51,82,46,7,False
2013-12-23,10,54,84,42,9,False
2013-12-24,7,50,77,49,6,False
2013-12-25,4,59,75,55,6,False
2013-12-26,6,52,86,41,8,False
2013-12-27,7,57,83,42,9,False
2013-12-28,8,49,87,43,8,False
2013-12-29,8,54,77,45,7,False
2013-12-30,11,50,78,40,11,False
2013-12-31,10,61,85,40,9,False
2014-01-01,6,48,70,42,8,False
2014-01-02,12,51,81,35,12,False
2014-01-03,10,50,82,40,10,False
2014-01-04,7,55,83,41,9,False
2014-01-05,6,52,91,44,9,False
2014-01-06,14,43,78,39,12,False
2014-01-07,15,50,83,37,14,False
2014-01-08,10,53,81,40,15,False
2014-01-09,16,46,77,37,17,False
2014-01-10,16,55,87,45,14,False
2014-01-11,8,51,86,43,8,False
2014-01-12,11,55,80,46,9,False
2014-01-13,15,48,84,37,16,False
2014-01-14,15,49,90,36,15,False
2014-01-15,17,50,88,37,14,False
2014-01-16,15,50,85,41,15,False
2014-01-17,14,51,94,39,14,False
2014-01-18,11,54,91,43,11,False
2014-01-19,10,54,91,46,10,False
2014-01-20,14,50,92,41,13,False
2014-01-21,15,49,79,38,14,False
2014-01-22,20,49,93,39,17,False
2014-01-23,21,49,82,40,18,False
2014-01-24,19,53,84,38,17,False
2014-01-25,13,54,87,49,10,False
2014-01-26,10,54,92,41,14,False
2014-01-27,19,49,78,36,16,False
2014-01-28,20,52,83,39,17,False
2014-01-29,18,49,76,38,14,False
2014-01-30,20,51,85,39,20,False
2014-01-31,19,52,88,40,16,False
2014-02-01,16,50,84,38,10,False
